actual_label,Deformation,DepositAttachment,JointAnomaly,Normal,Roots,WallDamage
Deformation,0.841667,0.05,0.016667,0.066667,0.0,0.025
DepositAttachment,0.075,0.633333,0.075,0.058333,0.05,0.108333
JointAnomaly,0.016667,0.108333,0.608333,0.016667,0.108333,0.141667
Normal,0.066667,0.025,0.05,0.741667,0.016667,0.1
Roots,0.008333,0.041667,0.141667,0.008333,0.741667,0.058333
WallDamage,0.016667,0.133333,0.15,0.05,0.083333,0.566667
