threshold,tpr,recall,fpr,specificity,tp,fn,fp,tn
1.0,0.276667,0.276667,0.0,1.0,166,434,0,120
1.0,0.28,0.28,0.0,1.0,168,432,0,120
1.0,0.28,0.28,0.0,1.0,168,432,0,120
1.0,0.283333,0.283333,0.0,1.0,170,430,0,120
1.0,0.283333,0.283333,0.0,1.0,170,430,0,120
1.0,0.285,0.285,0.0,1.0,171,429,0,120
1.0,0.286667,0.286667,0.0,1.0,172,428,0,120
1.0,0.288333,0.288333,0.0,1.0,173,427,0,120
1.0,0.29,0.29,0.0,1.0,174,426,0,120
1.0,0.293333,0.293333,0.0,1.0,176,424,0,120
1.0,0.295,0.295,0.0,1.0,177,423,0,120
1.0,0.295,0.295,0.0,1.0,177,423,0,120
1.0,0.296667,0.296667,0.0,1.0,178,422,0,120
1.0,0.3,0.3,0.0,1.0,180,420,0,120
1.0,0.3,0.3,0.0,1.0,180,420,0,120
1.0,0.301667,0.301667,0.0,1.0,181,419,0,120
1.0,0.303333,0.303333,0.0,1.0,182,418,0,120
1.0,0.303333,0.303333,0.008333,0.991667,182,418,1,119
1.0,0.306667,0.306667,0.008333,0.991667,184,416,1,119
1.0,0.308333,0.308333,0.008333,0.991667,185,415,1,119
1.0,0.308333,0.308333,0.008333,0.991667,185,415,1,119
1.0,0.31,0.31,0.008333,0.991667,186,414,1,119
1.0,0.311667,0.311667,0.008333,0.991667,187,413,1,119
1.0,0.315,0.315,0.008333,0.991667,189,411,1,119
1.0,0.315,0.315,0.008333,0.991667,189,411,1,119
1.0,0.318333,0.318333,0.008333,0.991667,191,409,1,119
1.0,0.318333,0.318333,0.008333,0.991667,191,409,1,119
1.0,0.321667,0.321667,0.008333,0.991667,193,407,1,119
1.0,0.321667,0.321667,0.008333,0.991667,193,407,1,119
1.0,0.323333,0.323333,0.008333,0.991667,194,406,1,119
1.0,0.326667,0.326667,0.008333,0.991667,196,404,1,119
1.0,0.328333,0.328333,0.008333,0.991667,197,403,1,119
1.0,0.33,0.33,0.008333,0.991667,198,402,1,119
1.0,0.331667,0.331667,0.008333,0.991667,199,401,1,119
1.0,0.331667,0.331667,0.008333,0.991667,199,401,1,119
1.0,0.335,0.335,0.008333,0.991667,201,399,1,119
1.0,0.336667,0.336667,0.008333,0.991667,202,398,1,119
1.0,0.338333,0.338333,0.008333,0.991667,203,397,1,119
1.0,0.34,0.34,0.008333,0.991667,204,396,1,119
1.0,0.34,0.34,0.008333,0.991667,204,396,1,119
1.0,0.343333,0.343333,0.008333,0.991667,206,394,1,119
1.0,0.343333,0.343333,0.016667,0.983333,206,394,2,118
1.0,0.345,0.345,0.016667,0.983333,207,393,2,118
1.0,0.346667,0.346667,0.016667,0.983333,208,392,2,118
1.0,0.348333,0.348333,0.016667,0.983333,209,391,2,118
1.0,0.35,0.35,0.016667,0.983333,210,390,2,118
1.0,0.351667,0.351667,0.016667,0.983333,211,389,2,118
1.0,0.353333,0.353333,0.016667,0.983333,212,388,2,118
1.0,0.353333,0.353333,0.016667,0.983333,212,388,2,118
1.0,0.355,0.355,0.016667,0.983333,213,387,2,118
1.0,0.356667,0.356667,0.016667,0.983333,214,386,2,118
1.0,0.358333,0.358333,0.016667,0.983333,215,385,2,118
1.0,0.36,0.36,0.016667,0.983333,216,384,2,118
1.0,0.361667,0.361667,0.016667,0.983333,217,383,2,118
1.0,0.363333,0.363333,0.016667,0.983333,218,382,2,118
