task,model,run_dir,summary_dir,best_epoch,best_checkpoint_path,commit_hash,machine_name,dataset_manifest_path
cls6,yolo11l-cls,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_cls6\yolo11l_cls6_formal_200ep,C:\GitHub\YOLO-CV\research\materials\stage1_formal\cls6_capacity\yolo11l_cls6_formal,104,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_cls6\yolo11l_cls6_formal_200ep\weights\epoch_104.pt,,DESKTOP-DGQTJ9O,C:\GitHub\YOLO-CV\research\materials\stage1_formal\cls6_capacity\yolo11l_cls6_formal\dataset_manifest.json
cls6,yolo11m-cls,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_cls6\yolo11m_cls6_formal_200ep,C:\GitHub\YOLO-CV\research\materials\stage1_formal\cls6_capacity\yolo11m_cls6_formal,130,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_cls6\yolo11m_cls6_formal_200ep\weights\epoch_130.pt,,DESKTOP-DGQTJ9O,C:\GitHub\YOLO-CV\research\materials\stage1_formal\cls6_capacity\yolo11m_cls6_formal\dataset_manifest.json
cls6,yolo11n-cls,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_cls6\yolo11n_cls6_formal_200ep,C:\GitHub\YOLO-CV\research\materials\stage1_formal\cls6_capacity\yolo11n_cls6_formal,117,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_cls6\yolo11n_cls6_formal_200ep\weights\epoch_117.pt,,DESKTOP-DGQTJ9O,C:\GitHub\YOLO-CV\research\materials\stage1_formal\cls6_capacity\yolo11n_cls6_formal\dataset_manifest.json
cls6,yolo11s-cls,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_cls6\yolo11s_cls6_formal_200ep,C:\GitHub\YOLO-CV\research\materials\stage1_formal\cls6_capacity\yolo11s_cls6_formal,167,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_cls6\yolo11s_cls6_formal_200ep\weights\epoch_167.pt,,DESKTOP-DGQTJ9O,C:\GitHub\YOLO-CV\research\materials\stage1_formal\cls6_capacity\yolo11s_cls6_formal\dataset_manifest.json
cls6,yolo11x-cls,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_cls6\yolo11x_cls6_formal_200ep,C:\GitHub\YOLO-CV\research\materials\stage1_formal\cls6_capacity\yolo11x_cls6_formal,161,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_cls6\yolo11x_cls6_formal_200ep\weights\epoch_161.pt,,DESKTOP-DGQTJ9O,C:\GitHub\YOLO-CV\research\materials\stage1_formal\cls6_capacity\yolo11x_cls6_formal\dataset_manifest.json
gate,yolo11l-cls,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate\yolo11l_gate2_formal_200ep,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\research\materials\stage1_formal\gate_capacity\yolo11l_gate2_formal,54,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate\yolo11l_gate2_formal_200ep\weights\epoch_054.pt,75ee788a140e8322530bdcc7c30a0d8d7e1af3dc,DESKTOP-DGQTJ9O,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\research\materials\stage1_formal\gate_capacity\yolo11l_gate2_formal\dataset_manifest.json
gate,yolo11m-cls,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate\yolo11m_gate2_formal_200ep,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\research\materials\stage1_formal\gate_capacity\yolo11m_gate2_formal,78,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate\yolo11m_gate2_formal_200ep\weights\epoch_078.pt,75ee788a140e8322530bdcc7c30a0d8d7e1af3dc,DESKTOP-DGQTJ9O,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\research\materials\stage1_formal\gate_capacity\yolo11m_gate2_formal\dataset_manifest.json
gate,yolo11n-cls,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate\yolo11n_gate2_formal_200ep,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\research\materials\stage1_formal\gate_capacity\yolo11n_gate2_formal,76,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate\yolo11n_gate2_formal_200ep\weights\epoch_076.pt,75ee788a140e8322530bdcc7c30a0d8d7e1af3dc,DESKTOP-DGQTJ9O,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\research\materials\stage1_formal\gate_capacity\yolo11n_gate2_formal\dataset_manifest.json
gate,yolo11s-cls,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate\yolo11s_gate2_formal_200ep,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\research\materials\stage1_formal\gate_capacity\yolo11s_gate2_formal,77,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate\yolo11s_gate2_formal_200ep\weights\epoch_077.pt,75ee788a140e8322530bdcc7c30a0d8d7e1af3dc,DESKTOP-DGQTJ9O,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\research\materials\stage1_formal\gate_capacity\yolo11s_gate2_formal\dataset_manifest.json
gate,yolo11x-cls,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate\yolo11x_gate2_formal_200ep,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\research\materials\stage1_formal\gate_capacity\yolo11x_gate2_formal,125,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate\yolo11x_gate2_formal_200ep\weights\epoch_125.pt,75ee788a140e8322530bdcc7c30a0d8d7e1af3dc,DESKTOP-DGQTJ9O,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\research\materials\stage1_formal\gate_capacity\yolo11x_gate2_formal\dataset_manifest.json
