bin_index,lower,upper,count,avg_confidence,empirical_positive_rate,gap
0,0.0,0.1,0,,,
1,0.1,0.2,41,0.180518,0.073171,0.107347
2,0.2,0.3,49,0.249149,0.367347,0.118198
3,0.3,0.4,397,0.378288,0.962217,0.583928
4,0.4,0.5,17,0.401914,1.0,0.598086
5,0.5,0.6,0,,,
6,0.6,0.7,0,,,
7,0.7,0.8,0,,,
8,0.8,0.9,0,,,
9,0.9,1.0,0,,,
