oof_fold,human_fold,epoch,checkpoint_id,checkpoint_path,exists,source
09,10,27,fold_09_epoch_027,C:\baidunetdiskdownload\stage1_oof_200epoch_fold_09_check\ssh\AI\runs\YOLOv11\stage1_oof_10fold\fold_09\full_yolo11l_cls_20260621-045150\weights\epoch26.pt,1,discovered
09,10,28,fold_09_epoch_028,C:\baidunetdiskdownload\stage1_oof_200epoch_fold_09_check\ssh\AI\runs\YOLOv11\stage1_oof_10fold\fold_09\full_yolo11l_cls_20260621-045150\weights\epoch27.pt,1,discovered
09,10,29,fold_09_epoch_029,C:\baidunetdiskdownload\stage1_oof_200epoch_fold_09_check\ssh\AI\runs\YOLOv11\stage1_oof_10fold\fold_09\full_yolo11l_cls_20260621-045150\weights\epoch28.pt,1,discovered
09,10,30,fold_09_epoch_030,C:\baidunetdiskdownload\stage1_oof_200epoch_fold_09_check\ssh\AI\runs\YOLOv11\stage1_oof_10fold\fold_09\full_yolo11l_cls_20260621-045150\weights\epoch29.pt,1,discovered
09,10,31,fold_09_epoch_031,C:\baidunetdiskdownload\stage1_oof_200epoch_fold_09_check\ssh\AI\runs\YOLOv11\stage1_oof_10fold\fold_09\full_yolo11l_cls_20260621-045150\weights\epoch30.pt,1,discovered
09,10,32,fold_09_epoch_032,C:\baidunetdiskdownload\stage1_oof_200epoch_fold_09_check\ssh\AI\runs\YOLOv11\stage1_oof_10fold\fold_09\full_yolo11l_cls_20260621-045150\weights\epoch31.pt,1,discovered
09,10,33,fold_09_epoch_033,C:\baidunetdiskdownload\stage1_oof_200epoch_fold_09_check\ssh\AI\runs\YOLOv11\stage1_oof_10fold\fold_09\full_yolo11l_cls_20260621-045150\weights\epoch32.pt,1,discovered
09,10,34,fold_09_epoch_034,C:\baidunetdiskdownload\stage1_oof_200epoch_fold_09_check\ssh\AI\runs\YOLOv11\stage1_oof_10fold\fold_09\full_yolo11l_cls_20260621-045150\weights\epoch33.pt,1,discovered
09,10,35,fold_09_epoch_035,C:\baidunetdiskdownload\stage1_oof_200epoch_fold_09_check\ssh\AI\runs\YOLOv11\stage1_oof_10fold\fold_09\full_yolo11l_cls_20260621-045150\weights\epoch34.pt,1,discovered
09,10,36,fold_09_epoch_036,C:\baidunetdiskdownload\stage1_oof_200epoch_fold_09_check\ssh\AI\runs\YOLOv11\stage1_oof_10fold\fold_09\full_yolo11l_cls_20260621-045150\weights\epoch35.pt,1,discovered
09,10,37,fold_09_epoch_037,C:\baidunetdiskdownload\stage1_oof_200epoch_fold_09_check\ssh\AI\runs\YOLOv11\stage1_oof_10fold\fold_09\full_yolo11l_cls_20260621-045150\weights\epoch36.pt,1,discovered
09,10,38,fold_09_epoch_038,C:\baidunetdiskdownload\stage1_oof_200epoch_fold_09_check\ssh\AI\runs\YOLOv11\stage1_oof_10fold\fold_09\full_yolo11l_cls_20260621-045150\weights\epoch37.pt,1,discovered
09,10,39,fold_09_epoch_039,C:\baidunetdiskdownload\stage1_oof_200epoch_fold_09_check\ssh\AI\runs\YOLOv11\stage1_oof_10fold\fold_09\full_yolo11l_cls_20260621-045150\weights\epoch38.pt,1,discovered
09,10,40,fold_09_epoch_040,C:\baidunetdiskdownload\stage1_oof_200epoch_fold_09_check\ssh\AI\runs\YOLOv11\stage1_oof_10fold\fold_09\full_yolo11l_cls_20260621-045150\weights\epoch39.pt,1,discovered
09,10,41,fold_09_epoch_041,C:\baidunetdiskdownload\stage1_oof_200epoch_fold_09_check\ssh\AI\runs\YOLOv11\stage1_oof_10fold\fold_09\full_yolo11l_cls_20260621-045150\weights\epoch40.pt,1,discovered
09,10,42,fold_09_epoch_042,C:\baidunetdiskdownload\stage1_oof_200epoch_fold_09_check\ssh\AI\runs\YOLOv11\stage1_oof_10fold\fold_09\full_yolo11l_cls_20260621-045150\weights\epoch41.pt,1,discovered
09,10,43,fold_09_epoch_043,C:\baidunetdiskdownload\stage1_oof_200epoch_fold_09_check\ssh\AI\runs\YOLOv11\stage1_oof_10fold\fold_09\full_yolo11l_cls_20260621-045150\weights\epoch42.pt,1,discovered
09,10,44,fold_09_epoch_044,C:\baidunetdiskdownload\stage1_oof_200epoch_fold_09_check\ssh\AI\runs\YOLOv11\stage1_oof_10fold\fold_09\full_yolo11l_cls_20260621-045150\weights\epoch43.pt,1,discovered
09,10,45,fold_09_epoch_045,C:\baidunetdiskdownload\stage1_oof_200epoch_fold_09_check\ssh\AI\runs\YOLOv11\stage1_oof_10fold\fold_09\full_yolo11l_cls_20260621-045150\weights\epoch44.pt,1,discovered
09,10,46,fold_09_epoch_046,C:\baidunetdiskdownload\stage1_oof_200epoch_fold_09_check\ssh\AI\runs\YOLOv11\stage1_oof_10fold\fold_09\full_yolo11l_cls_20260621-045150\weights\epoch45.pt,1,discovered
09,10,47,fold_09_epoch_047,C:\baidunetdiskdownload\stage1_oof_200epoch_fold_09_check\ssh\AI\runs\YOLOv11\stage1_oof_10fold\fold_09\full_yolo11l_cls_20260621-045150\weights\epoch46.pt,1,discovered
09,10,48,fold_09_epoch_048,C:\baidunetdiskdownload\stage1_oof_200epoch_fold_09_check\ssh\AI\runs\YOLOv11\stage1_oof_10fold\fold_09\full_yolo11l_cls_20260621-045150\weights\epoch47.pt,1,discovered
09,10,49,fold_09_epoch_049,C:\baidunetdiskdownload\stage1_oof_200epoch_fold_09_check\ssh\AI\runs\YOLOv11\stage1_oof_10fold\fold_09\full_yolo11l_cls_20260621-045150\weights\epoch48.pt,1,discovered
09,10,50,fold_09_epoch_050,C:\baidunetdiskdownload\stage1_oof_200epoch_fold_09_check\ssh\AI\runs\YOLOv11\stage1_oof_10fold\fold_09\full_yolo11l_cls_20260621-045150\weights\epoch49.pt,1,discovered
09,10,51,fold_09_epoch_051,C:\baidunetdiskdownload\stage1_oof_200epoch_fold_09_check\ssh\AI\runs\YOLOv11\stage1_oof_10fold\fold_09\full_yolo11l_cls_20260621-045150\weights\epoch50.pt,1,discovered
09,10,52,fold_09_epoch_052,C:\baidunetdiskdownload\stage1_oof_200epoch_fold_09_check\ssh\AI\runs\YOLOv11\stage1_oof_10fold\fold_09\full_yolo11l_cls_20260621-045150\weights\epoch51.pt,1,discovered
09,10,53,fold_09_epoch_053,C:\baidunetdiskdownload\stage1_oof_200epoch_fold_09_check\ssh\AI\runs\YOLOv11\stage1_oof_10fold\fold_09\full_yolo11l_cls_20260621-045150\weights\epoch52.pt,1,discovered
09,10,54,fold_09_epoch_054,C:\baidunetdiskdownload\stage1_oof_200epoch_fold_09_check\ssh\AI\runs\YOLOv11\stage1_oof_10fold\fold_09\full_yolo11l_cls_20260621-045150\weights\epoch53.pt,1,discovered
09,10,55,fold_09_epoch_055,C:\baidunetdiskdownload\stage1_oof_200epoch_fold_09_check\ssh\AI\runs\YOLOv11\stage1_oof_10fold\fold_09\full_yolo11l_cls_20260621-045150\weights\epoch54.pt,1,discovered
09,10,56,fold_09_epoch_056,C:\baidunetdiskdownload\stage1_oof_200epoch_fold_09_check\ssh\AI\runs\YOLOv11\stage1_oof_10fold\fold_09\full_yolo11l_cls_20260621-045150\weights\epoch55.pt,1,discovered
09,10,57,fold_09_epoch_057,C:\baidunetdiskdownload\stage1_oof_200epoch_fold_09_check\ssh\AI\runs\YOLOv11\stage1_oof_10fold\fold_09\full_yolo11l_cls_20260621-045150\weights\epoch56.pt,1,discovered
09,10,58,fold_09_epoch_058,C:\baidunetdiskdownload\stage1_oof_200epoch_fold_09_check\ssh\AI\runs\YOLOv11\stage1_oof_10fold\fold_09\full_yolo11l_cls_20260621-045150\weights\epoch57.pt,1,discovered
09,10,59,fold_09_epoch_059,C:\baidunetdiskdownload\stage1_oof_200epoch_fold_09_check\ssh\AI\runs\YOLOv11\stage1_oof_10fold\fold_09\full_yolo11l_cls_20260621-045150\weights\epoch58.pt,1,discovered
09,10,60,fold_09_epoch_060,C:\baidunetdiskdownload\stage1_oof_200epoch_fold_09_check\ssh\AI\runs\YOLOv11\stage1_oof_10fold\fold_09\full_yolo11l_cls_20260621-045150\weights\epoch59.pt,1,discovered
09,10,61,fold_09_epoch_061,C:\baidunetdiskdownload\stage1_oof_200epoch_fold_09_check\ssh\AI\runs\YOLOv11\stage1_oof_10fold\fold_09\full_yolo11l_cls_20260621-045150\weights\epoch60.pt,1,discovered
09,10,62,fold_09_epoch_062,C:\baidunetdiskdownload\stage1_oof_200epoch_fold_09_check\ssh\AI\runs\YOLOv11\stage1_oof_10fold\fold_09\full_yolo11l_cls_20260621-045150\weights\epoch61.pt,1,discovered
09,10,63,fold_09_epoch_063,C:\baidunetdiskdownload\stage1_oof_200epoch_fold_09_check\ssh\AI\runs\YOLOv11\stage1_oof_10fold\fold_09\full_yolo11l_cls_20260621-045150\weights\epoch62.pt,1,discovered
