variant,description,temperature,alpha,beta,gamma,auroc,average_precision,ece,brier_score,spec_at_r995,spec_at_r990,prec_at_r990,ptr_at_r990,threshold_at_r995,threshold_at_r990
P0,calibrated p_abnormal,2.24338869,1.0,1.0,0.5,0.952834,0.989424,0.024104,0.05359,0.380952,0.559524,0.918322,0.89881,0.12,0.3
P1,p_abnormal + uncertainty,2.24338869,1.0,1.0,0.5,0.820522,0.903245,0.40469,0.240992,0.369048,0.547619,0.9163,0.900794,0.3,0.39
P2,p_abnormal + trust,2.24338869,1.0,1.0,0.5,0.943254,0.984258,0.498518,0.335147,0.380952,0.47619,0.904348,0.912698,0.19,0.21
P3,p_abnormal + trust + uncertainty,2.24338869,1.0,1.0,0.5,0.901701,0.971573,0.492779,0.329825,0.404762,0.535714,0.914286,0.902778,0.2,0.26
P4,P3 + HN-aware normal bank,2.24338869,1.0,1.0,0.5,0.901842,0.971716,0.493174,0.330246,0.404762,0.535714,0.914286,0.902778,0.2,0.26
