variant,variant_desc,threshold,tp,fn,fp,tn,recall,precision,specificity,fpr,fnr,npv,accuracy,f1,ptr,normal_filtered,normal_left,abnormal_kept,abnormal_missed
P0,calibrated p_abnormal,0.75,377,43,14,70,0.897619,0.964194,0.833333,0.166667,0.102381,0.619469,0.886905,0.929716,0.775794,70,14,377,43
P0,calibrated p_abnormal,0.76,375,45,14,70,0.892857,0.96401,0.833333,0.166667,0.107143,0.608696,0.882937,0.92707,0.771825,70,14,375,45
P0,calibrated p_abnormal,0.77,372,48,14,70,0.885714,0.963731,0.833333,0.166667,0.114286,0.59322,0.876984,0.923077,0.765873,70,14,372,48
P0,calibrated p_abnormal,0.78,372,48,14,70,0.885714,0.963731,0.833333,0.166667,0.114286,0.59322,0.876984,0.923077,0.765873,70,14,372,48
P0,calibrated p_abnormal,0.79,370,50,13,71,0.880952,0.966057,0.845238,0.154762,0.119048,0.586777,0.875,0.921544,0.759921,71,13,370,50
P0,calibrated p_abnormal,0.8,366,54,13,71,0.871429,0.965699,0.845238,0.154762,0.128571,0.568,0.867063,0.916145,0.751984,71,13,366,54
P0,calibrated p_abnormal,0.81,364,56,13,71,0.866667,0.965517,0.845238,0.154762,0.133333,0.559055,0.863095,0.913425,0.748016,71,13,364,56
P0,calibrated p_abnormal,0.82,363,57,12,72,0.864286,0.968,0.857143,0.142857,0.135714,0.55814,0.863095,0.913208,0.744048,72,12,363,57
P0,calibrated p_abnormal,0.83,358,62,12,72,0.852381,0.967568,0.857143,0.142857,0.147619,0.537313,0.853175,0.906329,0.734127,72,12,358,62
P0,calibrated p_abnormal,0.84,354,66,12,72,0.842857,0.967213,0.857143,0.142857,0.157143,0.521739,0.845238,0.900763,0.72619,72,12,354,66
P0,calibrated p_abnormal,0.85,351,69,12,72,0.835714,0.966942,0.857143,0.142857,0.164286,0.510638,0.839286,0.896552,0.720238,72,12,351,69
P0,calibrated p_abnormal,0.86,345,75,11,73,0.821429,0.969101,0.869048,0.130952,0.178571,0.493243,0.829365,0.889175,0.706349,73,11,345,75
P0,calibrated p_abnormal,0.87,342,78,11,73,0.814286,0.968839,0.869048,0.130952,0.185714,0.483444,0.823413,0.884864,0.700397,73,11,342,78
P0,calibrated p_abnormal,0.88,337,83,11,73,0.802381,0.968391,0.869048,0.130952,0.197619,0.467949,0.813492,0.877604,0.690476,73,11,337,83
P0,calibrated p_abnormal,0.89,333,87,10,74,0.792857,0.970845,0.880952,0.119048,0.207143,0.459627,0.80754,0.87287,0.680556,74,10,333,87
P0,calibrated p_abnormal,0.9,328,92,9,75,0.780952,0.973294,0.892857,0.107143,0.219048,0.449102,0.799603,0.866579,0.668651,75,9,328,92
P0,calibrated p_abnormal,0.91,317,103,6,78,0.754762,0.981424,0.928571,0.071429,0.245238,0.430939,0.78373,0.853297,0.640873,78,6,317,103
P0,calibrated p_abnormal,0.92,306,114,6,78,0.728571,0.980769,0.928571,0.071429,0.271429,0.40625,0.761905,0.836066,0.619048,78,6,306,114
P0,calibrated p_abnormal,0.93,295,125,5,79,0.702381,0.983333,0.940476,0.059524,0.297619,0.387255,0.742063,0.819444,0.595238,79,5,295,125
P0,calibrated p_abnormal,0.94,279,141,5,79,0.664286,0.982394,0.940476,0.059524,0.335714,0.359091,0.710317,0.792614,0.563492,79,5,279,141
P0,calibrated p_abnormal,0.95,269,151,5,79,0.640476,0.981752,0.940476,0.059524,0.359524,0.343478,0.690476,0.775216,0.543651,79,5,269,151
