variant,description,temperature,alpha,beta,gamma,auroc,average_precision,ece,brier_score,spec_at_r995,spec_at_r990,prec_at_r990,ptr_at_r990,threshold_at_r995,threshold_at_r990
P0,calibrated p_abnormal,2.08121187,1.0,1.0,0.5,0.93964,0.985802,0.029802,0.059915,0.5,0.547619,0.916484,0.902778,0.24,0.31
P1,p_abnormal + uncertainty,2.08121187,1.0,1.0,0.5,0.871755,0.938849,0.406394,0.241167,0.5,0.547619,0.9163,0.900794,0.37,0.41
P2,p_abnormal + trust,2.08121187,1.0,1.0,0.5,0.929875,0.980856,0.498581,0.334955,0.52381,0.559524,0.918322,0.89881,0.21,0.22
P3,p_abnormal + trust + uncertainty,2.08121187,1.0,1.0,0.5,0.899206,0.97088,0.488623,0.324886,0.52381,0.559524,0.918322,0.89881,0.26,0.28
P4,P3 + HN-aware normal bank,2.08121187,1.0,1.0,0.5,0.899235,0.970918,0.488834,0.3251,0.52381,0.559524,0.918322,0.89881,0.26,0.28
