                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     64,                0.39207,                0.67361,                 0.9875,                 1.3742,              0.0068815,              0.0068815,              0.0068815
                     65,                0.40601,                0.68333,                 0.9875,                 1.3776,               0.006832,               0.006832,               0.006832
                     66,                0.38459,                0.66528,                0.99028,                 1.3842,              0.0067825,              0.0067825,              0.0067825
                     67,                0.38326,                0.66667,                 0.9875,                 1.3803,               0.006733,               0.006733,               0.006733
                     68,                0.37468,                0.65278,                0.99167,                 1.3883,              0.0066835,              0.0066835,              0.0066835
                     69,                0.36166,                0.66667,                0.99306,                  1.379,               0.006634,               0.006634,               0.006634
                     70,                0.37013,                0.65556,                0.99028,                 1.3884,              0.0065845,              0.0065845,              0.0065845
                     71,                0.32663,                0.66944,                0.99444,                 1.3794,               0.006535,               0.006535,               0.006535
                     72,                0.33554,                0.67361,                0.99167,                 1.3804,              0.0064855,              0.0064855,              0.0064855
                     73,                0.33963,                0.68056,                0.99444,                 1.3778,               0.006436,               0.006436,               0.006436
                     74,                0.33012,                0.66806,                0.99583,                 1.3813,              0.0063865,              0.0063865,              0.0063865
                     75,                0.30407,                0.67222,                0.99306,                 1.3725,               0.006337,               0.006337,               0.006337
                     76,                 0.3069,                0.64861,                0.99444,                 1.3854,              0.0062875,              0.0062875,              0.0062875
                     77,                0.31963,                  0.675,                0.98889,                 1.3749,               0.006238,               0.006238,               0.006238
                     78,                0.29917,                0.66528,                0.99444,                 1.3811,              0.0061885,              0.0061885,              0.0061885
                     79,                0.29461,                0.65972,                0.99722,                 1.3814,               0.006139,               0.006139,               0.006139
                     80,                0.29754,                0.66111,                0.99167,                  1.384,              0.0060895,              0.0060895,              0.0060895
                     81,                0.29185,                   0.65,                0.99167,                 1.3881,                0.00604,                0.00604,                0.00604
                     82,                0.27084,                0.65694,                0.99306,                 1.3884,              0.0059905,              0.0059905,              0.0059905
                     83,                0.28659,                 0.6625,                0.99167,                 1.3839,               0.005941,               0.005941,               0.005941
                     84,                0.27029,                 0.6625,                0.99306,                 1.3867,              0.0058915,              0.0058915,              0.0058915
                     85,                0.26822,                0.67083,                0.99167,                 1.3787,               0.005842,               0.005842,               0.005842
                     86,                0.26301,                0.67361,                0.99167,                  1.373,              0.0057925,              0.0057925,              0.0057925
                     87,                0.26632,                0.67639,                0.99306,                 1.3746,               0.005743,               0.005743,               0.005743
                     88,                0.25625,                0.66667,                0.99167,                 1.3692,              0.0056935,              0.0056935,              0.0056935
                     89,                0.22939,                0.68194,                0.99306,                 1.3686,               0.005644,               0.005644,               0.005644
                     90,                0.25591,                0.66667,                0.99306,                 1.3771,              0.0055945,              0.0055945,              0.0055945
                     91,                0.22858,                0.65556,                0.99444,                 1.3781,               0.005545,               0.005545,               0.005545
                     92,                0.23135,                0.67639,                0.99444,                 1.3644,              0.0054955,              0.0054955,              0.0054955
                     93,                0.21798,                0.67222,                0.99444,                 1.3675,               0.005446,               0.005446,               0.005446
                     94,                0.22239,                0.67778,                0.99583,                 1.3675,              0.0053965,              0.0053965,              0.0053965
                     95,                0.19618,                  0.675,                0.99167,                 1.3719,               0.005347,               0.005347,               0.005347
                     96,                0.22724,                0.68056,                0.99167,                 1.3673,              0.0052975,              0.0052975,              0.0052975
                     97,                0.20819,                0.67639,                0.99167,                  1.366,               0.005248,               0.005248,               0.005248
                     98,                0.22531,                0.68472,                0.99306,                 1.3665,              0.0051985,              0.0051985,              0.0051985
                     99,                0.20008,                0.67917,                0.99028,                 1.3713,               0.005149,               0.005149,               0.005149
                    100,                0.20246,                  0.675,                0.99306,                 1.3702,              0.0050995,              0.0050995,              0.0050995
                    101,                0.20192,                0.66389,                0.99167,                 1.3747,                0.00505,                0.00505,                0.00505
                    102,                0.18733,                0.67778,                0.99028,                 1.3716,              0.0050005,              0.0050005,              0.0050005
                    103,                0.21578,                0.67917,                0.99306,                 1.3658,               0.004951,               0.004951,               0.004951
                    104,                0.19829,                0.68194,                0.99028,                 1.3688,              0.0049015,              0.0049015,              0.0049015
                    105,                0.17088,                0.67083,                0.99167,                 1.3716,               0.004852,               0.004852,               0.004852
                    106,                0.16369,                0.67639,                0.99306,                 1.3655,              0.0048025,              0.0048025,              0.0048025
                    107,                0.17554,                0.67083,                0.99306,                 1.3683,               0.004753,               0.004753,               0.004753
                    108,                0.16955,                0.66389,                0.99306,                 1.3771,              0.0047035,              0.0047035,              0.0047035
                    109,                0.16882,                0.66667,                0.99444,                 1.3715,               0.004654,               0.004654,               0.004654
                    110,                0.15138,                0.66528,                0.99583,                 1.3737,              0.0046045,              0.0046045,              0.0046045
                    111,                0.17529,                0.65694,                0.99583,                 1.3762,               0.004555,               0.004555,               0.004555
                    112,                0.15807,                0.66111,                0.99444,                 1.3732,              0.0045055,              0.0045055,              0.0045055
                    113,                0.16529,                0.66944,                0.99583,                 1.3706,               0.004456,               0.004456,               0.004456
                    114,                0.14327,                0.67778,                0.99722,                 1.3682,              0.0044065,              0.0044065,              0.0044065
                    115,                0.14389,                0.66528,                0.99444,                 1.3697,               0.004357,               0.004357,               0.004357
                    116,                0.13919,                0.67361,                0.99444,                 1.3676,              0.0043075,              0.0043075,              0.0043075
                    117,                0.14062,                0.67361,                0.99306,                 1.3704,               0.004258,               0.004258,               0.004258
                    118,                0.14236,                  0.675,                0.99583,                 1.3702,              0.0042085,              0.0042085,              0.0042085
                    119,                0.12531,                0.66528,                0.99306,                 1.3697,               0.004159,               0.004159,               0.004159
                    120,                 0.1314,                0.67222,                0.99167,                  1.369,              0.0041095,              0.0041095,              0.0041095
                    121,                0.13111,                0.68194,                0.99306,                 1.3668,                0.00406,                0.00406,                0.00406
                    122,                0.12447,                0.68194,                0.99306,                 1.3628,              0.0040105,              0.0040105,              0.0040105
                    123,                0.13648,                0.67917,                0.99444,                  1.362,               0.003961,               0.003961,               0.003961
                    124,                 0.1267,                  0.675,                0.99444,                 1.3613,              0.0039115,              0.0039115,              0.0039115
                    125,                0.10818,                0.68194,                0.99444,                 1.3609,               0.003862,               0.003862,               0.003862
                    126,                0.12919,                0.68333,                0.99861,                 1.3615,              0.0038125,              0.0038125,              0.0038125
                    127,                0.10614,                0.67917,                0.99861,                 1.3615,               0.003763,               0.003763,               0.003763
                    128,                0.09927,                0.68889,                0.99722,                 1.3605,              0.0037135,              0.0037135,              0.0037135
                    129,                0.10717,                0.69306,                0.99722,                  1.358,               0.003664,               0.003664,               0.003664
                    130,                0.10751,                0.69444,                0.99722,                 1.3588,              0.0036145,              0.0036145,              0.0036145
                    131,                0.11649,                0.69167,                0.99583,                 1.3592,               0.003565,               0.003565,               0.003565
                    132,                0.10065,                0.68194,                0.99583,                 1.3598,              0.0035155,              0.0035155,              0.0035155
                    133,                0.10651,                0.68194,                0.99444,                 1.3623,               0.003466,               0.003466,               0.003466
                    134,                0.09503,                0.67778,                0.99444,                 1.3631,              0.0034165,              0.0034165,              0.0034165
                    135,                0.09154,                0.67917,                0.99444,                 1.3634,               0.003367,               0.003367,               0.003367
                    136,                0.10018,                0.68333,                0.99444,                 1.3624,              0.0033175,              0.0033175,              0.0033175
                    137,                0.08714,                0.68889,                0.99444,                 1.3635,               0.003268,               0.003268,               0.003268
                    138,                0.10133,                0.67639,                0.99444,                 1.3643,              0.0032185,              0.0032185,              0.0032185
                    139,                0.09591,                0.67778,                0.99444,                 1.3665,               0.003169,               0.003169,               0.003169
                    140,                0.08782,                0.68056,                0.99444,                 1.3675,              0.0031195,              0.0031195,              0.0031195
                    141,                 0.0792,                0.67639,                0.99444,                 1.3676,                0.00307,                0.00307,                0.00307
                    142,                0.09095,                0.67639,                0.99583,                 1.3674,              0.0030205,              0.0030205,              0.0030205
                    143,                0.08678,                  0.675,                0.99583,                 1.3678,               0.002971,               0.002971,               0.002971
                    144,                0.08344,                  0.675,                0.99583,                 1.3678,              0.0029215,              0.0029215,              0.0029215
                    145,                 0.0859,                0.67639,                0.99583,                 1.3671,               0.002872,               0.002872,               0.002872
                    146,                0.07514,                0.68056,                0.99444,                 1.3669,              0.0028225,              0.0028225,              0.0028225
                    147,                0.06271,                0.67639,                0.99444,                 1.3672,               0.002773,               0.002773,               0.002773
                    148,                0.07251,                0.67639,                0.99444,                 1.3676,              0.0027235,              0.0027235,              0.0027235
                    149,                 0.0713,                0.67917,                0.99444,                 1.3674,               0.002674,               0.002674,               0.002674
                    150,                0.06819,                0.67222,                0.99444,                 1.3675,              0.0026245,              0.0026245,              0.0026245
                    151,                0.06586,                0.67361,                0.99306,                 1.3676,               0.002575,               0.002575,               0.002575
                    152,                0.06983,                0.67361,                0.99306,                 1.3665,              0.0025255,              0.0025255,              0.0025255
                    153,                0.05133,                0.67361,                0.99306,                 1.3659,               0.002476,               0.002476,               0.002476
                    154,                0.05991,                0.67778,                0.99306,                 1.3663,              0.0024265,              0.0024265,              0.0024265
                    155,                0.05185,                0.67639,                0.99306,                 1.3667,               0.002377,               0.002377,               0.002377
                    156,                0.05739,                0.67778,                0.99306,                 1.3669,              0.0023275,              0.0023275,              0.0023275
                    157,                0.05849,                0.67778,                0.99306,                 1.3672,               0.002278,               0.002278,               0.002278
                    158,                 0.0606,                0.67639,                0.99306,                 1.3675,              0.0022285,              0.0022285,              0.0022285
                    159,                0.05098,                0.67778,                0.99306,                 1.3674,               0.002179,               0.002179,               0.002179
                    160,                0.05008,                0.67778,                0.99167,                 1.3675,              0.0021295,              0.0021295,              0.0021295
                    161,                0.05727,                0.67778,                0.99167,                 1.3677,                0.00208,                0.00208,                0.00208
                    162,                0.05426,                0.67778,                0.99167,                 1.3671,              0.0020305,              0.0020305,              0.0020305
                    163,                0.04563,                0.67361,                0.99167,                 1.3672,               0.001981,               0.001981,               0.001981
                    164,                0.04308,                0.67361,                0.99167,                  1.367,              0.0019315,              0.0019315,              0.0019315
                    165,                0.04188,                0.67083,                0.99167,                 1.3676,               0.001882,               0.001882,               0.001882
                    166,                0.04418,                0.67222,                0.99167,                 1.3679,              0.0018325,              0.0018325,              0.0018325
                    167,                0.04736,                0.67222,                0.99167,                 1.3676,               0.001783,               0.001783,               0.001783
                    168,                 0.0349,                0.67222,                0.99306,                 1.3677,              0.0017335,              0.0017335,              0.0017335
                    169,                0.04167,                0.67361,                0.99306,                 1.3678,               0.001684,               0.001684,               0.001684
                    170,                0.04593,                0.67222,                0.99306,                  1.368,              0.0016345,              0.0016345,              0.0016345
                    171,                0.04239,                0.67361,                0.99306,                 1.3683,               0.001585,               0.001585,               0.001585
                    172,                0.03388,                0.67361,                0.99306,                 1.3683,              0.0015355,              0.0015355,              0.0015355
                    173,                0.03806,                0.67083,                0.99306,                 1.3684,               0.001486,               0.001486,               0.001486
                    174,                0.03624,                0.67083,                0.99167,                 1.3683,              0.0014365,              0.0014365,              0.0014365
                    175,                0.03695,                  0.675,                0.99167,                 1.3679,               0.001387,               0.001387,               0.001387
                    176,                0.03397,                0.67639,                0.99306,                 1.3679,              0.0013375,              0.0013375,              0.0013375
                    177,                0.03555,                0.67639,                0.99306,                 1.3677,               0.001288,               0.001288,               0.001288
                    178,                0.03742,                0.67361,                0.99444,                 1.3676,              0.0012385,              0.0012385,              0.0012385
                    179,                0.02847,                  0.675,                0.99444,                 1.3673,               0.001189,               0.001189,               0.001189
