variant,description,temperature,alpha,beta,gamma,auroc,average_precision,ece,brier_score,spec_at_r995,spec_at_r990,prec_at_r990,ptr_at_r990,threshold_at_r995,threshold_at_r990
P0,calibrated p_abnormal,2.30029358,1.0,1.0,0.5,0.953373,0.9895,0.02527,0.053315,0.47619,0.559524,0.918322,0.89881,0.19,0.27
P1,p_abnormal + uncertainty,2.30029358,1.0,1.0,0.5,0.840476,0.90923,0.407344,0.240547,0.464286,0.559524,0.918322,0.89881,0.33,0.37
P2,p_abnormal + trust,2.30029358,1.0,1.0,0.5,0.94521,0.984836,0.501874,0.335654,0.452381,0.52381,0.912281,0.904762,0.2,0.21
P3,p_abnormal + trust + uncertainty,2.30029358,1.0,1.0,0.5,0.915505,0.97622,0.494204,0.328779,0.464286,0.511905,0.910284,0.906746,0.22,0.24
P4,P3 + HN-aware normal bank,2.30029358,1.0,1.0,0.5,0.915873,0.976588,0.494588,0.329197,0.464286,0.511905,0.910284,0.906746,0.22,0.24
