run_name,model,baseline_accuracy,baseline_macro_f1,baseline_auroc,baseline_auprc,temperature,val_cal_count,val_op_count,val_cal_abnormal,val_cal_normal,val_op_abnormal,val_op_normal,ece_before,ece_after,brier_before,brier_after,auroc_before,auroc_after,ap_before,ap_after,spec_r995_before,spec_r995_after,spec_r990_before,spec_r990_after,prec_r990_before,prec_r990_after,ptr_r990_before,ptr_r990_after
yolo11n_gate2_train7200,yolo11n,0.920833,0.85305,0.920611,0.981309,1.018594,216,504,180,36,420,84,0.049566,0.047025,0.071593,0.071667,0.920238,0.920238,0.981637,0.981637,0.369048,0.369048,0.440476,0.452381,0.898707,0.900433,0.920635,0.916667
yolo11s_gate2_train7200,yolo11s,0.934722,0.876214,0.938403,0.985368,2.802543,216,504,180,36,420,84,0.060465,0.039508,0.062355,0.061121,0.941468,0.941468,0.986815,0.986815,,0.357143,0.416667,0.416667,0.89485,0.89485,0.924603,0.924603
yolo11m_gate2_train7200,yolo11m,0.929167,0.862677,0.942764,0.987345,2.837092,216,504,180,36,420,84,0.05791,0.028544,0.066954,0.062189,0.945663,0.945663,0.988284,0.988284,0.345238,0.345238,0.452381,0.452381,0.900433,0.900433,0.916667,0.916667
yolo11l_gate2_train7200,yolo11l,0.933333,0.874036,0.943917,0.986695,2.222655,216,504,180,36,420,84,0.040708,0.030792,0.058129,0.05808,0.945238,0.945238,0.986853,0.986853,0.404762,0.428571,0.464286,0.47619,0.902597,0.904348,0.916667,0.912698
yolo11x_gate2_train7200,yolo11x,0.929167,0.860579,0.932847,0.982976,1.306686,216,504,180,36,420,84,0.039084,0.034085,0.066432,0.065672,0.931576,0.931576,0.983688,0.983688,0.166667,0.166667,0.392857,0.392857,0.890792,0.890792,0.926587,0.926587
