run_name,model,baseline_accuracy,baseline_macro_f1,baseline_auroc,baseline_auprc,temperature,val_cal_count,val_op_count,val_cal_abnormal,val_cal_normal,val_op_abnormal,val_op_normal,ece_before,ece_after,brier_before,brier_after,auroc_before,auroc_after,ap_before,ap_after,spec_r995_before,spec_r995_after,spec_r990_before,spec_r990_after,prec_r990_before,prec_r990_after,ptr_r990_before,ptr_r990_after
yolo11n_cls6_train7200_uniform,yolo11n,0.694444,0.694481,0.949569,0.988206,2.201816,216,504,180,36,420,84,0.034554,0.042565,0.054207,0.054617,0.955414,0.955414,0.989445,0.989445,0.452381,0.440476,0.547619,0.547619,0.9163,0.9163,0.900794,0.900794
yolo11s_cls6_train7200_uniform,yolo11s,0.688889,0.688052,0.946097,0.987014,2.75149,216,504,180,36,420,84,0.055932,0.041526,0.058644,0.057054,0.946287,0.946287,0.987636,0.987636,0.47619,0.47619,0.595238,0.595238,0.924444,0.924444,0.892857,0.892857
yolo11m_cls6_train7200_uniform,yolo11m,0.6875,0.688874,0.937333,0.984672,2.490024,216,504,180,36,420,84,0.065337,0.028674,0.068583,0.062327,0.934155,0.934155,0.983338,0.983338,,0.333333,0.392857,0.404762,0.890792,0.892704,0.926587,0.924603
yolo11l_cls6_train7200_uniform,yolo11l,0.688889,0.689243,0.936222,0.983921,3.10533,216,504,180,36,420,84,0.058985,0.026335,0.066709,0.06074,0.933362,0.933362,0.983183,0.983183,,0.285714,,0.452381,,0.900433,,0.916667
yolo11x_cls6_train7200_uniform,yolo11x,0.697222,0.697286,0.946736,0.9866,2.416255,216,504,180,36,420,84,0.052279,0.022062,0.05673,0.054373,0.939002,0.939002,0.982993,0.982993,,0.47619,0.607143,0.607143,0.926503,0.926503,0.890873,0.890873
