epoch,epoch_gap_group,row_count,normal_count,defect_count,normal_q68,normal_q90,normal_mean,defect_q50,defect_q05,defect_mean,gap_q68_q050,tail_gap_q90_q05
37,bad_gap_bottom20pct,120000,60000,60000,0.0754125714,0.4491952360,0.1281309774,0.9810388088,0.2672349215,0.8826208021,0.9056262374,-0.1819603145
38,bad_gap_bottom20pct,120000,60000,60000,0.0777429044,0.4497857392,0.1290669116,0.9796381593,0.2685987055,0.8808558339,0.9018952549,-0.1811870337
39,bad_gap_bottom20pct,120000,60000,60000,0.0795923024,0.4474252164,0.1296248316,0.9783104658,0.2676306665,0.8790648388,0.8987181634,-0.1797945499
40,bad_gap_bottom20pct,120000,60000,60000,0.0816161335,0.4479708672,0.1303716243,0.9770463109,0.2670105994,0.8775592925,0.8954301774,-0.1809602678
41,bad_gap_bottom20pct,120000,60000,60000,0.0828877166,0.4463806748,0.1306110445,0.9758780599,0.2666811645,0.8759498289,0.8929903433,-0.1796995103
42,bad_gap_bottom20pct,120000,60000,60000,0.0840930790,0.4460337162,0.1310482719,0.9748537540,0.2668584883,0.8746720237,0.8907606750,-0.1791752279
43,bad_gap_bottom20pct,120000,60000,60000,0.0852404311,0.4453737140,0.1313557278,0.9738537669,0.2665728033,0.8733866398,0.8886133358,-0.1788009107
44,bad_gap_bottom20pct,120000,60000,60000,0.0859283507,0.4412670732,0.1313842321,0.9729229808,0.2656367123,0.8721942113,0.8869946301,-0.1756303609
45,bad_gap_bottom20pct,120000,60000,60000,0.0861332566,0.4401596487,0.1314175479,0.9720705152,0.2646327615,0.8711921941,0.8859372586,-0.1755268872
46,bad_gap_bottom20pct,120000,60000,60000,0.0864786953,0.4399844706,0.1314455474,0.9714766741,0.2642700970,0.8703916633,0.8849979788,-0.1757143736
47,bad_gap_bottom20pct,120000,60000,60000,0.0869057998,0.4402400553,0.1316825699,0.9711841345,0.2643921673,0.8700864288,0.8842783347,-0.1758478880
48,bad_gap_bottom20pct,120000,60000,60000,0.0872576609,0.4412701130,0.1318341180,0.9710993767,0.2640938461,0.8700339700,0.8838417158,-0.1771762669
49,bad_gap_bottom20pct,120000,60000,60000,0.0876949802,0.4420862198,0.1320317292,0.9711398482,0.2653376460,0.8702109176,0.8834448680,-0.1767485738
50,bad_gap_bottom20pct,120000,60000,60000,0.0875123888,0.4425996542,0.1319028486,0.9711825848,0.2648047805,0.8703020061,0.8836701960,-0.1777948737
51,bad_gap_bottom20pct,120000,60000,60000,0.0879017040,0.4454930723,0.1323733441,0.9715284705,0.2649103701,0.8709536692,0.8836267665,-0.1805827022
52,bad_gap_bottom20pct,120000,60000,60000,0.0877893791,0.4471624196,0.1326302009,0.9718999267,0.2682298720,0.8717603746,0.8841105476,-0.1789325476
53,bad_gap_bottom20pct,120000,60000,60000,0.0872164816,0.4465051889,0.1326020668,0.9722687006,0.2709476948,0.8723221137,0.8850522190,-0.1755574941
54,bad_gap_bottom20pct,120000,60000,60000,0.0867995098,0.4469683170,0.1324628630,0.9726433158,0.2701733410,0.8730310220,0.8858438060,-0.1767949760
55,bad_gap_bottom20pct,120000,60000,60000,0.0852737203,0.4433601499,0.1316482961,0.9728859663,0.2690064013,0.8732602573,0.8876122460,-0.1743537486
56,bad_gap_bottom20pct,120000,60000,60000,0.0839440525,0.4418448210,0.1309079023,0.9733403325,0.2678044140,0.8736087666,0.8893962800,-0.1740404070
57,bad_gap_bottom20pct,120000,60000,60000,0.0830782652,0.4426423311,0.1305984945,0.9738875031,0.2693876624,0.8744181148,0.8908092379,-0.1732546687
58,bad_gap_bottom20pct,120000,60000,60000,0.0817609727,0.4433119595,0.1300098981,0.9744526744,0.2697288096,0.8750947546,0.8926917017,-0.1735831499
59,bad_gap_bottom20pct,120000,60000,60000,0.0807376653,0.4428754151,0.1296213754,0.9750685096,0.2719141543,0.8761054705,0.8943308443,-0.1709612608
60,bad_gap_bottom20pct,120000,60000,60000,0.0794507712,0.4420128167,0.1288942373,0.9756376743,0.2734877467,0.8768678827,0.8961869031,-0.1685250700
61,bad_gap_bottom20pct,120000,60000,60000,0.0779899955,0.4407986104,0.1283180180,0.9762839079,0.2742607892,0.8778594442,0.8982939124,-0.1665378212
62,bad_gap_bottom20pct,120000,60000,60000,0.0766700655,0.4411045015,0.1276380695,0.9769303799,0.2758565843,0.8787794052,0.9002603144,-0.1652479172
63,bad_gap_bottom20pct,120000,60000,60000,0.0750382766,0.4390245974,0.1266488096,0.9773284197,0.2733361423,0.8793276816,0.9022901431,-0.1656884551
64,bad_gap_bottom20pct,120000,60000,60000,0.0738119781,0.4367913604,0.1260025643,0.9777978659,0.2732115090,0.8801215827,0.9039858878,-0.1635798514
65,bad_gap_bottom20pct,120000,60000,60000,0.0725721568,0.4366371036,0.1254106929,0.9784133434,0.2738144100,0.8810028300,0.9058411866,-0.1628226936
66,bad_gap_bottom20pct,120000,60000,60000,0.0714219883,0.4365655184,0.1248156147,0.9789472818,0.2750437260,0.8818893346,0.9075252935,-0.1615217924
67,bad_gap_bottom20pct,120000,60000,60000,0.0701699182,0.4362463057,0.1242447443,0.9795008898,0.2766996920,0.8829193388,0.9093309716,-0.1595466137
68,middle,120000,60000,60000,0.0687545091,0.4351770878,0.1236283132,0.9801017046,0.2772985101,0.8838904410,0.9113471955,-0.1578785777
69,middle,120000,60000,60000,0.0672048107,0.4298736155,0.1226062753,0.9805207253,0.2752529085,0.8843058122,0.9133159146,-0.1546207070
70,middle,120000,60000,60000,0.0657121539,0.4274788499,0.1217596341,0.9810904860,0.2744759619,0.8849847231,0.9153783321,-0.1530028880
71,middle,120000,60000,60000,0.0645299554,0.4282672703,0.1211794392,0.9815881252,0.2768676281,0.8858455952,0.9170581698,-0.1513996422
72,middle,120000,60000,60000,0.0636498854,0.4263563752,0.1207767690,0.9821767807,0.2791184485,0.8868672211,0.9185268953,-0.1472379267
73,middle,120000,60000,60000,0.0631294176,0.4271296263,0.1207362794,0.9830082655,0.2839166522,0.8882581937,0.9198788479,-0.1432129741
74,middle,120000,60000,60000,0.0621307082,0.4293091595,0.1204232670,0.9837079644,0.2859853208,0.8894493252,0.9215772562,-0.1433238387
75,middle,120000,60000,60000,0.0609569885,0.4317536354,0.1201410219,0.9843986034,0.2891124785,0.8907079588,0.9234416149,-0.1426411569
