variant,description,temperature,alpha,beta,gamma,auroc,average_precision,ece,brier_score,spec_at_r995,spec_at_r990,prec_at_r990,ptr_at_r990,threshold_at_r995,threshold_at_r990
P0,calibrated p_abnormal,2.35837716,1.0,1.0,0.5,0.954238,0.989743,0.020109,0.053107,0.488095,0.559524,0.918322,0.89881,0.24,0.3
P1,p_abnormal + uncertainty,2.35837716,1.0,1.0,0.5,0.825326,0.899022,0.409981,0.241101,0.47619,0.547619,0.9163,0.900794,0.35,0.39
P2,p_abnormal + trust,2.35837716,1.0,1.0,0.5,0.94589,0.985022,0.504429,0.336183,0.440476,0.535714,0.914286,0.902778,0.2,0.22
P3,p_abnormal + trust + uncertainty,2.35837716,1.0,1.0,0.5,0.907738,0.974076,0.492804,0.330467,0.464286,0.52381,0.912281,0.904762,0.23,0.26
P4,P3 + HN-aware normal bank,2.35837716,1.0,1.0,0.5,0.908192,0.974388,0.493157,0.330846,0.464286,0.52381,0.912281,0.904762,0.23,0.26
