variant,variant_desc,threshold,tp,fn,fp,tn,recall,precision,specificity,fpr,fnr,npv,accuracy,f1,ptr,normal_filtered,normal_left,abnormal_kept,abnormal_missed
P0,calibrated p_abnormal,0.41,414,6,30,54,0.985714,0.932432,0.642857,0.357143,0.014286,0.9,0.928571,0.958333,0.880952,54,30,414,6
P0,calibrated p_abnormal,0.42,414,6,30,54,0.985714,0.932432,0.642857,0.357143,0.014286,0.9,0.928571,0.958333,0.880952,54,30,414,6
P0,calibrated p_abnormal,0.43,414,6,30,54,0.985714,0.932432,0.642857,0.357143,0.014286,0.9,0.928571,0.958333,0.880952,54,30,414,6
P0,calibrated p_abnormal,0.44,413,7,29,55,0.983333,0.934389,0.654762,0.345238,0.016667,0.887097,0.928571,0.958237,0.876984,55,29,413,7
P0,calibrated p_abnormal,0.45,413,7,28,56,0.983333,0.936508,0.666667,0.333333,0.016667,0.888889,0.930556,0.95935,0.875,56,28,413,7
P0,calibrated p_abnormal,0.46,413,7,28,56,0.983333,0.936508,0.666667,0.333333,0.016667,0.888889,0.930556,0.95935,0.875,56,28,413,7
P0,calibrated p_abnormal,0.47,413,7,27,57,0.983333,0.938636,0.678571,0.321429,0.016667,0.890625,0.93254,0.960465,0.873016,57,27,413,7
P0,calibrated p_abnormal,0.48,411,9,26,58,0.978571,0.940503,0.690476,0.309524,0.021429,0.865672,0.930556,0.95916,0.867063,58,26,411,9
P0,calibrated p_abnormal,0.49,411,9,26,58,0.978571,0.940503,0.690476,0.309524,0.021429,0.865672,0.930556,0.95916,0.867063,58,26,411,9
P0,calibrated p_abnormal,0.5,411,9,25,59,0.978571,0.942661,0.702381,0.297619,0.021429,0.867647,0.93254,0.96028,0.865079,59,25,411,9
P0,calibrated p_abnormal,0.51,411,9,24,60,0.978571,0.944828,0.714286,0.285714,0.021429,0.869565,0.934524,0.961404,0.863095,60,24,411,9
P0,calibrated p_abnormal,0.52,411,9,24,60,0.978571,0.944828,0.714286,0.285714,0.021429,0.869565,0.934524,0.961404,0.863095,60,24,411,9
