actual_label,Deformation,DepositAttachment,JointAnomaly,Normal,Roots,WallDamage
Deformation,0.858333,0.058333,0.008333,0.066667,0.0,0.008333
DepositAttachment,0.041667,0.733333,0.066667,0.033333,0.008333,0.116667
JointAnomaly,0.008333,0.075,0.608333,0.016667,0.125,0.166667
Normal,0.083333,0.025,0.033333,0.725,0.016667,0.116667
Roots,0.0,0.05,0.158333,0.008333,0.725,0.058333
WallDamage,0.008333,0.133333,0.091667,0.05,0.083333,0.633333
