reading_rank,selection_role,paper_id,queue_id,title,source_action,artifact_role,url,destination,source_authority,resolution_reason,broad_source_path,broad_source_format,primary_url,full_text_url,doi,screened_credit
10,PRIMARY,P0332,RG459DB09351F2B253,A Spatial-Spectral Disagreement-Based Sample Selection With an Application to Hyperspectral Data Classification,DISCOVERY_REQUIRED,METHOD_SOURCE,NOT_APPLICABLE_WITH_REASON:no verified direct PDF URL,NOT_APPLICABLE_WITH_REASON:full-text source must be discovered first,NOT_APPLICABLE_WITH_REASON:full-text source not selected,NO_FULL_TEXT_URL_IN_DISCOVERY_METADATA,sources/P0332.html,HTML,https://doi.org/10.1109/lgrs.2018.2868862,NOT_REPORTED_BY_SOURCE,10.1109/lgrs.2018.2868862,NOT_ASSESSED_AT_BROAD_LEVEL
15,PRIMARY,P0357,RG997C60ADE72707C8,Understanding and Improving Early Stopping for Learning with Noisy Labels,DISCOVERY_REQUIRED,METHOD_SOURCE,NOT_APPLICABLE_WITH_REASON:no verified direct PDF URL,NOT_APPLICABLE_WITH_REASON:full-text source must be discovered first,NOT_APPLICABLE_WITH_REASON:full-text source not selected,NO_FULL_TEXT_URL_IN_DISCOVERY_METADATA,sources/P0357.html,HTML,https://doi.org/10.48550/arxiv.2106.15853,NOT_REPORTED_BY_SOURCE,10.48550/arxiv.2106.15853,NOT_ASSESSED_AT_BROAD_LEVEL
16,PRIMARY,P0016,RG24189E116CB7F391,Domain Adaptation Using Class-Balanced Self-Paced Learning for Soil Classification With LIBS,DISCOVERY_REQUIRED,METHOD_SOURCE,NOT_APPLICABLE_WITH_REASON:no verified direct PDF URL,NOT_APPLICABLE_WITH_REASON:full-text source must be discovered first,NOT_APPLICABLE_WITH_REASON:full-text source not selected,NO_FULL_TEXT_URL_IN_DISCOVERY_METADATA,sources/P0016.html,HTML,https://doi.org/10.1109/tps.2023.3305559,NOT_REPORTED_BY_SOURCE,10.1109/tps.2023.3305559,NOT_ASSESSED_AT_BROAD_LEVEL
19,PRIMARY,P0031,RGD6B1DD78B1293E04,Group Self-Paced Learning With a Time-Varying Regularizer for Unsupervised Change Detection,DISCOVERY_REQUIRED,METHOD_SOURCE,NOT_APPLICABLE_WITH_REASON:no verified direct PDF URL,NOT_APPLICABLE_WITH_REASON:full-text source must be discovered first,NOT_APPLICABLE_WITH_REASON:full-text source not selected,NO_FULL_TEXT_URL_IN_DISCOVERY_METADATA,sources/P0031.html,HTML,https://doi.org/10.1109/tgrs.2019.2951441,NOT_REPORTED_BY_SOURCE,10.1109/tgrs.2019.2951441,NOT_ASSESSED_AT_BROAD_LEVEL
20,PRIMARY,P0438,RGF2CC19D4B7907D48,Training Data Attribution via Approximate Unrolling,DISCOVERY_REQUIRED,METHOD_SOURCE,NOT_APPLICABLE_WITH_REASON:no verified direct PDF URL,NOT_APPLICABLE_WITH_REASON:full-text source must be discovered first,NOT_APPLICABLE_WITH_REASON:full-text source not selected,NO_FULL_TEXT_URL_IN_DISCOVERY_METADATA,sources/P0438.html,HTML,https://proceedings.neurips.cc/paper_files/paper/2024/hash/7af60ccb99c7a434a0d9d9c1fb00ca94-Abstract-Conference.html,NOT_REPORTED_BY_SOURCE,10.52202/079017-2129,NOT_ASSESSED_AT_BROAD_LEVEL
21,PRIMARY,P0255,RGEF4F8968E69A57DD,Training data selection for cross-project defect prediction,DISCOVERY_REQUIRED,METHOD_SOURCE,NOT_APPLICABLE_WITH_REASON:no verified direct PDF URL,NOT_APPLICABLE_WITH_REASON:full-text source must be discovered first,NOT_APPLICABLE_WITH_REASON:full-text source not selected,NO_FULL_TEXT_URL_IN_DISCOVERY_METADATA,sources/P0255.html,HTML,https://doi.org/10.1145/2499393.2499395,NOT_REPORTED_BY_SOURCE,10.1145/2499393.2499395,NOT_ASSESSED_AT_BROAD_LEVEL
25,PRIMARY,P0021,RGB81B887DDB79BE81,Adaptive Hard Example Mining for Image Captioning,DISCOVERY_REQUIRED,METHOD_SOURCE,NOT_APPLICABLE_WITH_REASON:no verified direct PDF URL,NOT_APPLICABLE_WITH_REASON:full-text source must be discovered first,NOT_APPLICABLE_WITH_REASON:full-text source not selected,NO_FULL_TEXT_URL_IN_DISCOVERY_METADATA,sources/P0021.html,HTML,https://doi.org/10.1109/icip.2019.8803418,NOT_REPORTED_BY_SOURCE,10.1109/icip.2019.8803418,NOT_ASSESSED_AT_BROAD_LEVEL
26,PRIMARY,P0079,RG3508036A477D9A8C,DynImpt: A Dynamic Data Selection Method for Improving Model Training Efficiency,DISCOVERY_REQUIRED,METHOD_SOURCE,NOT_APPLICABLE_WITH_REASON:no verified direct PDF URL,NOT_APPLICABLE_WITH_REASON:full-text source must be discovered first,NOT_APPLICABLE_WITH_REASON:full-text source not selected,NO_FULL_TEXT_URL_IN_DISCOVERY_METADATA,sources/P0079.html,HTML,https://doi.org/10.1109/tkde.2024.3482466,NOT_REPORTED_BY_SOURCE,10.1109/tkde.2024.3482466,NOT_ASSESSED_AT_BROAD_LEVEL
29,PRIMARY,P0192,RG0446F40C92BDD5DD,RANSAC-based training data selection for emotion recognition from spontaneous speech,DISCOVERY_REQUIRED,METHOD_SOURCE,NOT_APPLICABLE_WITH_REASON:no verified direct PDF URL,NOT_APPLICABLE_WITH_REASON:full-text source must be discovered first,NOT_APPLICABLE_WITH_REASON:full-text source not selected,NO_FULL_TEXT_URL_IN_DISCOVERY_METADATA,sources/P0192.html,HTML,https://doi.org/10.1145/1877826.1877831,NOT_REPORTED_BY_SOURCE,10.1145/1877826.1877831,NOT_ASSESSED_AT_BROAD_LEVEL
32,PRIMARY,P0118,RGF88E946F45CEE8AD,Learning With Noisy Labels Over Imbalanced Subpopulations,DISCOVERY_REQUIRED,METHOD_SOURCE,NOT_APPLICABLE_WITH_REASON:no verified direct PDF URL,NOT_APPLICABLE_WITH_REASON:full-text source must be discovered first,NOT_APPLICABLE_WITH_REASON:full-text source not selected,NO_FULL_TEXT_URL_IN_DISCOVERY_METADATA,sources/P0118.html,HTML,https://doi.org/10.1109/tnnls.2024.3389676,NOT_REPORTED_BY_SOURCE,10.1109/tnnls.2024.3389676,NOT_ASSESSED_AT_BROAD_LEVEL
33,PRIMARY,P0131,RG53B5FDE56BE3AE5E,Hard Example Mining-based Training Strategy for Pointly-Supervised Instance Segmentation,DISCOVERY_REQUIRED,METHOD_SOURCE,NOT_APPLICABLE_WITH_REASON:no verified direct PDF URL,NOT_APPLICABLE_WITH_REASON:full-text source must be discovered first,NOT_APPLICABLE_WITH_REASON:full-text source not selected,NO_FULL_TEXT_URL_IN_DISCOVERY_METADATA,sources/P0131.html,HTML,https://doi.org/10.1109/icicml60161.2023.10424879,NOT_REPORTED_BY_SOURCE,10.1109/icicml60161.2023.10424879,NOT_ASSESSED_AT_BROAD_LEVEL
36,PRIMARY,P0120,RG2FE1022F8EA86700,A Comprehensive Empirical Evaluation on Online Continual Learning,DISCOVERY_REQUIRED,METHOD_SOURCE,NOT_APPLICABLE_WITH_REASON:no verified direct PDF URL,NOT_APPLICABLE_WITH_REASON:full-text source must be discovered first,NOT_APPLICABLE_WITH_REASON:full-text source not selected,NO_FULL_TEXT_URL_IN_DISCOVERY_METADATA,sources/P0120.html,HTML,https://doi.org/10.1109/iccvw60793.2023.00378,NOT_REPORTED_BY_SOURCE,10.1109/iccvw60793.2023.00378,NOT_ASSESSED_AT_BROAD_LEVEL
40,PRIMARY,P0077,RG5E66990BE6C44DBF,Attentive Experience Replay,DISCOVERY_REQUIRED,METHOD_SOURCE,NOT_APPLICABLE_WITH_REASON:no verified direct PDF URL,NOT_APPLICABLE_WITH_REASON:full-text source must be discovered first,NOT_APPLICABLE_WITH_REASON:full-text source not selected,FULL_TEXT_FIELD_IS_LANDING_PAGE,sources/P0077.html,HTML,https://doi.org/10.1609/aaai.v34i04.6049,https://doi.org/10.1609/aaai.v34i04.6049,10.1609/aaai.v34i04.6049,NOT_ASSESSED_AT_BROAD_LEVEL
41,PRIMARY,P0011,RG439267E702B435CD,SELC: Self-Ensemble Label Correction Improves Learning with Noisy Labels,DISCOVERY_REQUIRED,METHOD_SOURCE,NOT_APPLICABLE_WITH_REASON:no verified direct PDF URL,NOT_APPLICABLE_WITH_REASON:full-text source must be discovered first,NOT_APPLICABLE_WITH_REASON:full-text source not selected,NO_FULL_TEXT_URL_IN_DISCOVERY_METADATA,sources/P0011.html,HTML,https://doi.org/10.24963/ijcai.2022/455,NOT_REPORTED_BY_SOURCE,10.24963/ijcai.2022/455,NOT_ASSESSED_AT_BROAD_LEVEL
43,PRIMARY,P0478,RG33CEC9E185CAB661,Data Banzhaf: A Robust Data Valuation Framework for Machine Learning,DISCOVERY_REQUIRED,METHOD_SOURCE,NOT_APPLICABLE_WITH_REASON:no verified direct PDF URL,NOT_APPLICABLE_WITH_REASON:full-text source must be discovered first,NOT_APPLICABLE_WITH_REASON:full-text source not selected,NO_FULL_TEXT_URL_IN_DISCOVERY_METADATA,sources/P0478.html,HTML,https://doi.org/10.48550/arxiv.2205.15466,NOT_REPORTED_BY_SOURCE,10.48550/arxiv.2205.15466,NOT_ASSESSED_AT_BROAD_LEVEL
44,PRIMARY,P0196,RGE06C2EFF261D60BE,Application of Dataset Pruning and Dynamic Transfer Learning on Vision Transformers for MGMT Prediction on Brain MRI Images,DISCOVERY_REQUIRED,METHOD_SOURCE,NOT_APPLICABLE_WITH_REASON:no verified direct PDF URL,NOT_APPLICABLE_WITH_REASON:full-text source must be discovered first,NOT_APPLICABLE_WITH_REASON:full-text source not selected,NO_FULL_TEXT_URL_IN_DISCOVERY_METADATA,sources/P0196.html,HTML,https://doi.org/10.1109/ic3it63743.2024.10869431,NOT_REPORTED_BY_SOURCE,10.1109/ic3it63743.2024.10869431,NOT_ASSESSED_AT_BROAD_LEVEL
