paper_id,artifact_role,url,destination,attempts,error
P0491,METHOD_SOURCE,https://www.mdpi.com/1424-8220/24/23/7792/pdf?version=1733401504,sources/screened_method_v2/P0491.pdf,3,P0491: HTTP 403 from https://www.mdpi.com/1424-8220/24/23/7792/pdf?version=1733401504
P0026,METHOD_SOURCE,https://www.mdpi.com/1424-8220/21/22/7535/pdf?version=1637009148,sources/screened_method_v2/P0026.pdf,3,P0026: HTTP 403 from https://www.mdpi.com/1424-8220/21/22/7535/pdf?version=1637009148
P0308,METHOD_SOURCE,https://www.mdpi.com/2504-4990/8/1/17/pdf?version=1767885893,sources/screened_method_v2/P0308.pdf,3,P0308: HTTP 403 from https://www.mdpi.com/2504-4990/8/1/17/pdf?version=1767885893
P0458,METHOD_SOURCE,https://dl.acm.org/doi/pdf/10.1145/3709657,sources/screened_method_v2/P0458.pdf,3,P0458: HTTP 403 from https://dl.acm.org/doi/pdf/10.1145/3709657
P0117,METHOD_SOURCE,https://www.mdpi.com/2072-4292/10/1/124/pdf?version=1516264546,sources/screened_method_v2/P0117.pdf,3,P0117: HTTP 403 from https://www.mdpi.com/2072-4292/10/1/124/pdf?version=1516264546
P0457,METHOD_SOURCE,https://ieeexplore.ieee.org/ielx7/8782710/9006934/09519166.pdf,sources/screened_method_v2/P0457.pdf,3,P0457: HTTP 404 from https://ieeexplore.ieee.org/ielx7/8782710/9006934/09519166.pdf
P0084,METHOD_SOURCE,https://dl.acm.org/doi/pdf/10.1145/3599691.3603404,sources/screened_method_v2/P0084.pdf,3,P0084: HTTP 403 from https://dl.acm.org/doi/pdf/10.1145/3599691.3603404
P0097,METHOD_SOURCE,https://journals.kau.edu.sa/index.php/CITS/article/download/2035/887,sources/screened_method_v2/P0097.pdf,3,"HTTPSConnectionPool(host='journals.kau.edu.sa', port=443): Max retries exceeded with url: /index.php/CITS/article/download/2035/887 (Caused by SSLError(SSLEOFError(8, '[SSL: UNEXPECTED_EOF_WHILE_READING] EOF occurred in violation of protocol (_ssl.c:1016)')))"
P0322,METHOD_SOURCE,https://www.mdpi.com/1999-4893/18/8/519/pdf?version=1755336576,sources/screened_method_v2/P0322.pdf,3,P0322: HTTP 403 from https://www.mdpi.com/1999-4893/18/8/519/pdf?version=1755336576
P0142,METHOD_SOURCE,https://dl.acm.org/doi/pdf/10.1145/3617332,sources/screened_method_v2/P0142.pdf,3,P0142: HTTP 403 from https://dl.acm.org/doi/pdf/10.1145/3617332
P0070,METHOD_SOURCE,https://www.mdpi.com/2079-9292/11/7/1056/pdf?version=1648453224,sources/screened_method_v2/P0070.pdf,3,"HTTPSConnectionPool(host='www.mdpi.com', port=443): Max retries exceeded with url: /2079-9292/11/7/1056/pdf?version=1648453224 (Caused by SSLError(SSLEOFError(8, '[SSL: UNEXPECTED_EOF_WHILE_READING] EOF occurred in violation of protocol (_ssl.c:1016)')))"
P0278,METHOD_SOURCE,https://www.mdpi.com/1424-8220/21/5/1902/pdf?version=1615282803,sources/screened_method_v2/P0278.pdf,3,P0278: HTTP 403 from https://www.mdpi.com/1424-8220/21/5/1902/pdf?version=1615282803
