triad_id,phase,condition_slot,planned_method,planned_pool,budget,guard_ratio,training_seed,seed_index,arm,selection_seed,contract_sha256,requires_overlap_resolution,run_slot,entry_module
TRIAD_022,A,A08,Boundary-0.5-Clean,clean_normal,3000,,1829910790,1,T,1296989420,FA4050A76900C9F0D58F77606B977A5DD6AF671C43C87D113B66DDCBCCE936C3,False,RUN_064,scripts/stage1_gapvalue240/runs/run_064.py
TRIAD_022,A,A08,Boundary-0.5-Clean,clean_normal,3000,,1829910790,1,R1,217460578,FA4050A76900C9F0D58F77606B977A5DD6AF671C43C87D113B66DDCBCCE936C3,False,RUN_065,scripts/stage1_gapvalue240/runs/run_065.py
TRIAD_022,A,A08,Boundary-0.5-Clean,clean_normal,3000,,1829910790,1,R2,647296323,FA4050A76900C9F0D58F77606B977A5DD6AF671C43C87D113B66DDCBCCE936C3,False,RUN_066,scripts/stage1_gapvalue240/runs/run_066.py
TRIAD_023,A,A08,Boundary-0.5-Clean,clean_normal,3000,,1385197443,2,T,1296989420,FA4050A76900C9F0D58F77606B977A5DD6AF671C43C87D113B66DDCBCCE936C3,False,RUN_067,scripts/stage1_gapvalue240/runs/run_067.py
TRIAD_023,A,A08,Boundary-0.5-Clean,clean_normal,3000,,1385197443,2,R1,192626930,FA4050A76900C9F0D58F77606B977A5DD6AF671C43C87D113B66DDCBCCE936C3,False,RUN_068,scripts/stage1_gapvalue240/runs/run_068.py
TRIAD_023,A,A08,Boundary-0.5-Clean,clean_normal,3000,,1385197443,2,R2,1831033428,FA4050A76900C9F0D58F77606B977A5DD6AF671C43C87D113B66DDCBCCE936C3,False,RUN_069,scripts/stage1_gapvalue240/runs/run_069.py
TRIAD_024,A,A08,Boundary-0.5-Clean,clean_normal,3000,,1343723075,3,T,1296989420,FA4050A76900C9F0D58F77606B977A5DD6AF671C43C87D113B66DDCBCCE936C3,False,RUN_070,scripts/stage1_gapvalue240/runs/run_070.py
TRIAD_024,A,A08,Boundary-0.5-Clean,clean_normal,3000,,1343723075,3,R1,895689930,FA4050A76900C9F0D58F77606B977A5DD6AF671C43C87D113B66DDCBCCE936C3,False,RUN_071,scripts/stage1_gapvalue240/runs/run_071.py
TRIAD_024,A,A08,Boundary-0.5-Clean,clean_normal,3000,,1343723075,3,R2,1652831264,FA4050A76900C9F0D58F77606B977A5DD6AF671C43C87D113B66DDCBCCE936C3,False,RUN_072,scripts/stage1_gapvalue240/runs/run_072.py
TRIAD_025,A,A09,Persistent-0.5-Clean,clean_normal,600,,1829910790,1,T,910944071,FA4050A76900C9F0D58F77606B977A5DD6AF671C43C87D113B66DDCBCCE936C3,False,RUN_073,scripts/stage1_gapvalue240/runs/run_073.py
TRIAD_025,A,A09,Persistent-0.5-Clean,clean_normal,600,,1829910790,1,R1,738892972,FA4050A76900C9F0D58F77606B977A5DD6AF671C43C87D113B66DDCBCCE936C3,False,RUN_074,scripts/stage1_gapvalue240/runs/run_074.py
TRIAD_025,A,A09,Persistent-0.5-Clean,clean_normal,600,,1829910790,1,R2,149466457,FA4050A76900C9F0D58F77606B977A5DD6AF671C43C87D113B66DDCBCCE936C3,False,RUN_075,scripts/stage1_gapvalue240/runs/run_075.py
TRIAD_026,A,A09,Persistent-0.5-Clean,clean_normal,600,,1385197443,2,T,910944071,FA4050A76900C9F0D58F77606B977A5DD6AF671C43C87D113B66DDCBCCE936C3,False,RUN_076,scripts/stage1_gapvalue240/runs/run_076.py
TRIAD_026,A,A09,Persistent-0.5-Clean,clean_normal,600,,1385197443,2,R1,106984450,FA4050A76900C9F0D58F77606B977A5DD6AF671C43C87D113B66DDCBCCE936C3,False,RUN_077,scripts/stage1_gapvalue240/runs/run_077.py
TRIAD_026,A,A09,Persistent-0.5-Clean,clean_normal,600,,1385197443,2,R2,1779692036,FA4050A76900C9F0D58F77606B977A5DD6AF671C43C87D113B66DDCBCCE936C3,False,RUN_078,scripts/stage1_gapvalue240/runs/run_078.py
