run_slot,triad_id,phase,condition_slot,condition_id,method,budget,guard_ratio,arm,training_seed,selection_seed,discovery_or_confirmation
RUN_001,TRIAD_001,A,A01,A01_GapCritical-Strict_B600,GapCritical-Strict,600,0.0,T,1829910790,1228591616,discovery
RUN_002,TRIAD_001,A,A01,A01_GapCritical-Strict_B600,GapCritical-Strict,600,0.0,R1,1829910790,402136193,discovery
RUN_003,TRIAD_001,A,A01,A01_GapCritical-Strict_B600,GapCritical-Strict,600,0.0,R2,1829910790,496611123,discovery
RUN_004,TRIAD_002,A,A01,A01_GapCritical-Strict_B600,GapCritical-Strict,600,0.0,T,1385197443,1344845072,discovery
RUN_005,TRIAD_002,A,A01,A01_GapCritical-Strict_B600,GapCritical-Strict,600,0.0,R1,1385197443,1367143950,discovery
RUN_006,TRIAD_002,A,A01,A01_GapCritical-Strict_B600,GapCritical-Strict,600,0.0,R2,1385197443,1383653485,discovery
RUN_007,TRIAD_003,A,A01,A01_GapCritical-Strict_B600,GapCritical-Strict,600,0.0,T,1343723075,1633096071,discovery
RUN_008,TRIAD_003,A,A01,A01_GapCritical-Strict_B600,GapCritical-Strict,600,0.0,R1,1343723075,1901889585,discovery
RUN_009,TRIAD_003,A,A01,A01_GapCritical-Strict_B600,GapCritical-Strict,600,0.0,R2,1343723075,1965280128,discovery
RUN_010,TRIAD_004,A,A02,A02_GapCritical-Strict_B3000,GapCritical-Strict,3000,0.0,T,1829910790,213681350,discovery
RUN_011,TRIAD_004,A,A02,A02_GapCritical-Strict_B3000,GapCritical-Strict,3000,0.0,R1,1829910790,1871590197,discovery
RUN_012,TRIAD_004,A,A02,A02_GapCritical-Strict_B3000,GapCritical-Strict,3000,0.0,R2,1829910790,274805210,discovery
RUN_013,TRIAD_005,A,A02,A02_GapCritical-Strict_B3000,GapCritical-Strict,3000,0.0,T,1385197443,663082709,discovery
RUN_014,TRIAD_005,A,A02,A02_GapCritical-Strict_B3000,GapCritical-Strict,3000,0.0,R1,1385197443,587133428,discovery
RUN_015,TRIAD_005,A,A02,A02_GapCritical-Strict_B3000,GapCritical-Strict,3000,0.0,R2,1385197443,1066367518,discovery
RUN_016,TRIAD_006,A,A02,A02_GapCritical-Strict_B3000,GapCritical-Strict,3000,0.0,T,1343723075,1331300276,discovery
RUN_017,TRIAD_006,A,A02,A02_GapCritical-Strict_B3000,GapCritical-Strict,3000,0.0,R1,1343723075,672619350,discovery
RUN_018,TRIAD_006,A,A02,A02_GapCritical-Strict_B3000,GapCritical-Strict,3000,0.0,R2,1343723075,1774735714,discovery
RUN_019,TRIAD_007,A,A03,A03_GapCritical-Strict_B6000,GapCritical-Strict,6000,0.0,T,1829910790,2002562898,discovery
RUN_020,TRIAD_007,A,A03,A03_GapCritical-Strict_B6000,GapCritical-Strict,6000,0.0,R1,1829910790,590395092,discovery
RUN_021,TRIAD_007,A,A03,A03_GapCritical-Strict_B6000,GapCritical-Strict,6000,0.0,R2,1829910790,1003637770,discovery
RUN_022,TRIAD_008,A,A03,A03_GapCritical-Strict_B6000,GapCritical-Strict,6000,0.0,T,1385197443,201779297,discovery
RUN_023,TRIAD_008,A,A03,A03_GapCritical-Strict_B6000,GapCritical-Strict,6000,0.0,R1,1385197443,1733888523,discovery
RUN_024,TRIAD_008,A,A03,A03_GapCritical-Strict_B6000,GapCritical-Strict,6000,0.0,R2,1385197443,487722083,discovery
RUN_025,TRIAD_009,A,A03,A03_GapCritical-Strict_B6000,GapCritical-Strict,6000,0.0,T,1343723075,1424869338,discovery
RUN_026,TRIAD_009,A,A03,A03_GapCritical-Strict_B6000,GapCritical-Strict,6000,0.0,R1,1343723075,369244063,discovery
RUN_027,TRIAD_009,A,A03,A03_GapCritical-Strict_B6000,GapCritical-Strict,6000,0.0,R2,1343723075,1689982801,discovery
RUN_028,TRIAD_010,A,A04,A04_GapCritical-Global_B3000,GapCritical-Global,3000,0.0,T,1829910790,26275082,discovery
RUN_029,TRIAD_010,A,A04,A04_GapCritical-Global_B3000,GapCritical-Global,3000,0.0,R1,1829910790,1613901897,discovery
RUN_030,TRIAD_010,A,A04,A04_GapCritical-Global_B3000,GapCritical-Global,3000,0.0,R2,1829910790,2028548297,discovery
RUN_031,TRIAD_011,A,A04,A04_GapCritical-Global_B3000,GapCritical-Global,3000,0.0,T,1385197443,2116633375,discovery
RUN_032,TRIAD_011,A,A04,A04_GapCritical-Global_B3000,GapCritical-Global,3000,0.0,R1,1385197443,1148495985,discovery
RUN_033,TRIAD_011,A,A04,A04_GapCritical-Global_B3000,GapCritical-Global,3000,0.0,R2,1385197443,306811237,discovery
RUN_034,TRIAD_012,A,A04,A04_GapCritical-Global_B3000,GapCritical-Global,3000,0.0,T,1343723075,1223378721,discovery
RUN_035,TRIAD_012,A,A04,A04_GapCritical-Global_B3000,GapCritical-Global,3000,0.0,R1,1343723075,358501163,discovery
RUN_036,TRIAD_012,A,A04,A04_GapCritical-Global_B3000,GapCritical-Global,3000,0.0,R2,1343723075,1659700040,discovery
RUN_037,TRIAD_013,A,A05,A05_Confidence-Clean_B600,Confidence-Clean,600,0.0,T,1829910790,1661062879,discovery
RUN_038,TRIAD_013,A,A05,A05_Confidence-Clean_B600,Confidence-Clean,600,0.0,R1,1829910790,714304426,discovery
RUN_039,TRIAD_013,A,A05,A05_Confidence-Clean_B600,Confidence-Clean,600,0.0,R2,1829910790,917895674,discovery
RUN_040,TRIAD_014,A,A05,A05_Confidence-Clean_B600,Confidence-Clean,600,0.0,T,1385197443,518621082,discovery
RUN_041,TRIAD_014,A,A05,A05_Confidence-Clean_B600,Confidence-Clean,600,0.0,R1,1385197443,1185119600,discovery
RUN_042,TRIAD_014,A,A05,A05_Confidence-Clean_B600,Confidence-Clean,600,0.0,R2,1385197443,1321237343,discovery
RUN_043,TRIAD_015,A,A05,A05_Confidence-Clean_B600,Confidence-Clean,600,0.0,T,1343723075,939425895,discovery
RUN_044,TRIAD_015,A,A05,A05_Confidence-Clean_B600,Confidence-Clean,600,0.0,R1,1343723075,1966178195,discovery
RUN_045,TRIAD_015,A,A05,A05_Confidence-Clean_B600,Confidence-Clean,600,0.0,R2,1343723075,494129566,discovery
RUN_046,TRIAD_016,A,A06,A06_Confidence-Clean_B3000,Confidence-Clean,3000,0.0,T,1829910790,1978989517,discovery
RUN_047,TRIAD_016,A,A06,A06_Confidence-Clean_B3000,Confidence-Clean,3000,0.0,R1,1829910790,1134291800,discovery
RUN_048,TRIAD_016,A,A06,A06_Confidence-Clean_B3000,Confidence-Clean,3000,0.0,R2,1829910790,877555200,discovery
RUN_049,TRIAD_017,A,A06,A06_Confidence-Clean_B3000,Confidence-Clean,3000,0.0,T,1385197443,854885447,discovery
RUN_050,TRIAD_017,A,A06,A06_Confidence-Clean_B3000,Confidence-Clean,3000,0.0,R1,1385197443,928637557,discovery
RUN_051,TRIAD_017,A,A06,A06_Confidence-Clean_B3000,Confidence-Clean,3000,0.0,R2,1385197443,813857248,discovery
RUN_052,TRIAD_018,A,A06,A06_Confidence-Clean_B3000,Confidence-Clean,3000,0.0,T,1343723075,1099683289,discovery
RUN_053,TRIAD_018,A,A06,A06_Confidence-Clean_B3000,Confidence-Clean,3000,0.0,R1,1343723075,1114613193,discovery
RUN_054,TRIAD_018,A,A06,A06_Confidence-Clean_B3000,Confidence-Clean,3000,0.0,R2,1343723075,1214796635,discovery
RUN_055,TRIAD_019,A,A07,A07_Boundary-0.5-Clean_B600,Boundary-0.5-Clean,600,0.0,T,1829910790,1225039970,discovery
RUN_056,TRIAD_019,A,A07,A07_Boundary-0.5-Clean_B600,Boundary-0.5-Clean,600,0.0,R1,1829910790,1315427010,discovery
RUN_057,TRIAD_019,A,A07,A07_Boundary-0.5-Clean_B600,Boundary-0.5-Clean,600,0.0,R2,1829910790,1701643377,discovery
RUN_058,TRIAD_020,A,A07,A07_Boundary-0.5-Clean_B600,Boundary-0.5-Clean,600,0.0,T,1385197443,765669078,discovery
RUN_059,TRIAD_020,A,A07,A07_Boundary-0.5-Clean_B600,Boundary-0.5-Clean,600,0.0,R1,1385197443,219383886,discovery
RUN_060,TRIAD_020,A,A07,A07_Boundary-0.5-Clean_B600,Boundary-0.5-Clean,600,0.0,R2,1385197443,291105307,discovery
RUN_061,TRIAD_021,A,A07,A07_Boundary-0.5-Clean_B600,Boundary-0.5-Clean,600,0.0,T,1343723075,309254528,discovery
RUN_062,TRIAD_021,A,A07,A07_Boundary-0.5-Clean_B600,Boundary-0.5-Clean,600,0.0,R1,1343723075,1597834894,discovery
RUN_063,TRIAD_021,A,A07,A07_Boundary-0.5-Clean_B600,Boundary-0.5-Clean,600,0.0,R2,1343723075,1849050892,discovery
RUN_064,TRIAD_022,A,A08,A08_Boundary-0.5-Clean_B3000,Boundary-0.5-Clean,3000,0.0,T,1829910790,1855776552,discovery
RUN_065,TRIAD_022,A,A08,A08_Boundary-0.5-Clean_B3000,Boundary-0.5-Clean,3000,0.0,R1,1829910790,1140665071,discovery
RUN_066,TRIAD_022,A,A08,A08_Boundary-0.5-Clean_B3000,Boundary-0.5-Clean,3000,0.0,R2,1829910790,681057044,discovery
RUN_067,TRIAD_023,A,A08,A08_Boundary-0.5-Clean_B3000,Boundary-0.5-Clean,3000,0.0,T,1385197443,1003136148,discovery
RUN_068,TRIAD_023,A,A08,A08_Boundary-0.5-Clean_B3000,Boundary-0.5-Clean,3000,0.0,R1,1385197443,2026980879,discovery
RUN_069,TRIAD_023,A,A08,A08_Boundary-0.5-Clean_B3000,Boundary-0.5-Clean,3000,0.0,R2,1385197443,831269310,discovery
RUN_070,TRIAD_024,A,A08,A08_Boundary-0.5-Clean_B3000,Boundary-0.5-Clean,3000,0.0,T,1343723075,245025017,discovery
RUN_071,TRIAD_024,A,A08,A08_Boundary-0.5-Clean_B3000,Boundary-0.5-Clean,3000,0.0,R1,1343723075,2100154704,discovery
RUN_072,TRIAD_024,A,A08,A08_Boundary-0.5-Clean_B3000,Boundary-0.5-Clean,3000,0.0,R2,1343723075,1849420543,discovery
RUN_073,TRIAD_025,A,A09,A09_Persistent-0.5-Clean_B600,Persistent-0.5-Clean,600,0.0,T,1829910790,1345487629,discovery
RUN_074,TRIAD_025,A,A09,A09_Persistent-0.5-Clean_B600,Persistent-0.5-Clean,600,0.0,R1,1829910790,1505086467,discovery
RUN_075,TRIAD_025,A,A09,A09_Persistent-0.5-Clean_B600,Persistent-0.5-Clean,600,0.0,R2,1829910790,1347729858,discovery
RUN_076,TRIAD_026,A,A09,A09_Persistent-0.5-Clean_B600,Persistent-0.5-Clean,600,0.0,T,1385197443,2139884968,discovery
RUN_077,TRIAD_026,A,A09,A09_Persistent-0.5-Clean_B600,Persistent-0.5-Clean,600,0.0,R1,1385197443,919733015,discovery
RUN_078,TRIAD_026,A,A09,A09_Persistent-0.5-Clean_B600,Persistent-0.5-Clean,600,0.0,R2,1385197443,1212394420,discovery
