discovery_or_confirmation,arm,epoch,run_count,top1_mean,top1_std,val_loss_mean,val_loss_std,train_loss_mean,top1,val_loss,series
confirmation,R1,77,5,0.921808,0.0006384794436785,0.20246,0.000962247369443,0.216316,0.921808,0.20246,confirmation/R1
confirmation,R1,78,5,0.922124,0.0003660382493674,0.201822,0.0009017627182357,0.2161179999999999,0.922124,0.201822,confirmation/R1
confirmation,R1,79,5,0.922432,0.0003088948041,0.201696,0.0009075593644495,0.2151399999999999,0.922432,0.201696,confirmation/R1
confirmation,R1,80,5,0.922674,0.0003072197910291,0.201252,0.0008069547694883,0.214846,0.922674,0.201252,confirmation/R1
confirmation,R1,81,5,0.922958,0.0004080882257551,0.200754,0.0007154746676158,0.21409,0.922958,0.200754,confirmation/R1
confirmation,R1,82,5,0.923158,0.0003790725524223,0.20007,0.0007672287794393,0.213458,0.923158,0.20007,confirmation/R1
confirmation,R1,83,5,0.923108,0.0004928042207611,0.19961,0.0009318583583356,0.213064,0.923108,0.19961,confirmation/R1
confirmation,R1,84,5,0.923274,0.0005586984875583,0.19885,0.0010789439281074,0.212308,0.923274,0.19885,confirmation/R1
confirmation,R1,85,5,0.92351,0.000641529422552,0.198648,0.0010733759825895,0.211858,0.92351,0.198648,confirmation/R1
confirmation,R1,86,5,0.923794,0.000704431685829,0.198198,0.00119369007703,0.2103499999999999,0.923794,0.198198,confirmation/R1
confirmation,R1,87,5,0.92416,0.0007331848334492,0.197708,0.0014092324151821,0.21027,0.92416,0.197708,confirmation/R1
confirmation,R1,88,5,0.924418,0.0007032325362211,0.197556,0.0015301320204479,0.210182,0.924418,0.197556,confirmation/R1
confirmation,R1,89,5,0.924842,0.0005779757780391,0.196896,0.0015750631733362,0.208732,0.924842,0.196896,confirmation/R1
confirmation,R1,90,5,0.925082,0.0006038344143885,0.196548,0.001512605698786,0.20814,0.925082,0.196548,confirmation/R1
confirmation,R1,91,5,0.925434,0.0005504398241406,0.196118,0.001427380818142,0.207086,0.925434,0.196118,confirmation/R1
confirmation,R1,92,5,0.925484,0.0005888836897045,0.195818,0.001364337201721,0.206942,0.925484,0.195818,confirmation/R1
confirmation,R1,93,5,0.92561,0.000572258682765,0.195576,0.0014362952342746,0.206974,0.92561,0.195576,confirmation/R1
confirmation,R1,94,5,0.925926,0.0006451852447166,0.195454,0.0013862121049824,0.205648,0.925926,0.195454,confirmation/R1
confirmation,R1,95,5,0.926232,0.0005025693981929,0.194926,0.0013816598713142,0.204782,0.926232,0.194926,confirmation/R1
confirmation,R1,96,5,0.926602,0.0006867139142321,0.19479,0.001496836664436,0.204708,0.926602,0.19479,confirmation/R1
confirmation,R1,97,5,0.926776,0.0007282472107739,0.1944199999999999,0.0015288819444286,0.203768,0.926776,0.1944199999999999,confirmation/R1
confirmation,R1,98,5,0.927008,0.0006640903552981,0.194104,0.0014516004960043,0.20341,0.927008,0.194104,confirmation/R1
confirmation,R1,99,5,0.927368,0.0007750974132327,0.193392,0.0014899986577175,0.2020159999999999,0.927368,0.193392,confirmation/R1
confirmation,R1,100,5,0.92761,0.0006679820356866,0.1934779999999999,0.0013953694851185,0.20045,0.92761,0.1934779999999999,confirmation/R1
