control,subgroup_dimension,subgroup_value,n,normal_n,defect_n,raw_beneficial_rate,raw_mean_shift,calibrated_beneficial_rate,calibrated_mean_shift
R1,target_labels,PF;DE,1392,0,1392,0.3089080459770115,-0.0004354026446085,0.5459770114942529,0.0005902376531643
R1,target_labels,PF;DE;AF,16,0,16,0.25,-5.21540641715279e-08,0.6875,0.0004111045501059
R1,target_labels,PF;DE;FS,24,0,24,0.2916666666666667,3.733237584432891e-05,0.625,0.0044194150540289
R1,target_labels,PF;DE;RB;AF,16,0,16,0.5,-0.0007415488362312,0.5625,-0.0006297807126039
R1,target_labels,PF;FS,120,0,120,0.3333333333333333,-0.0145653050606294,0.5333333333333333,-0.0123260912522799
R1,target_labels,PF;FS;AF,8,0,8,0.25,-1.788139342984163e-07,0.5,0.0002570354752604
R1,target_labels,PF;FS;AF;OB,8,0,8,0.625,-0.0086012165993452,0.625,0.0013692967177199
R1,target_labels,PF;FS;OB,144,0,144,0.3680555555555556,-0.0002093894614113,0.5486111111111112,0.0014955390342945
R1,target_labels,PF;FS;RB;AF,8,0,8,0.125,-1.3877787807814457e-17,0.625,0.0006313300520474
R1,target_labels,PF;FS;RB;OB,8,0,8,0.0,-2.98023224015731e-08,0.5,0.0003871432427521
R1,target_labels,PF;OB,64,0,64,0.3125,-0.0415485684643499,0.40625,-0.0337040863308761
R1,target_labels,PF;RB,8,0,8,0.625,-1.2069940566877824e-06,0.5,0.004914298366334
R1,target_labels,PF;RB;AF,8,0,8,0.5,1.8328428268432615e-06,0.625,0.0029571968928108
R1,target_labels,PF;RB;OB,16,0,16,0.5,0.0023196972906589,0.625,0.0196112655730261
R1,target_labels,RB,2944,0,2944,0.3970788043478261,-0.0042791639290168,0.5149456521739131,-0.0012153608159117
R1,target_labels,RB;AF,464,0,464,0.3146551724137931,-0.0005132531554534,0.5431034482758621,-0.0004656802432557
R1,target_labels,RB;AF;OB,480,0,480,0.3270833333333333,0.0036767933079905,0.50625,0.0021134341068072
R1,target_labels,RB;OB,2400,0,2400,0.36625,-0.0023022680250117,0.5304166666666666,-0.0002018178894848
R2,WaterLevel,0,412088,334800,77288,0.4406121993360641,-0.0003263077675884,0.5372881520451942,-0.0001278900474802
R2,WaterLevel,1,240,240,0,0.5625,0.0026385962424135,0.6333333333333333,-0.0004800524053547
R2,WaterLevel,10,326424,279272,47152,0.4636852682400804,0.0001850779211928,0.5262204984927579,0.0002702635201713
R2,WaterLevel,100,1312,1288,24,0.541920731707317,-0.0024410117854203,0.5525914634146342,-0.0037487336911756
R2,WaterLevel,2,46992,41448,5544,0.473314606741573,-0.0005692806364046,0.5346016343207355,-0.000134034921372
R2,WaterLevel,20,49752,41056,8696,0.4667149059334298,0.0002328857568669,0.5179691268692715,0.0002735981992452
R2,WaterLevel,30,15656,13200,2456,0.4683188553909044,-0.0004114088370091,0.5202478283086357,-7.752475054002495e-06
R2,WaterLevel,4,48,8,40,0.5625,4.551043895163735e-05,0.6041666666666666,0.0027040103684173
R2,WaterLevel,40,4624,3824,800,0.4826989619377163,-0.0016697978522471,0.5181660899653979,-0.0010835172958427
R2,WaterLevel,5,97152,79776,17376,0.4617300724637681,-3.187512224964809e-05,0.5284914361001317,-3.158705059920092e-05
R2,WaterLevel,50,3672,3232,440,0.4782135076252723,-0.0030474466680431,0.4991830065359477,-0.0016776747629137
R2,WaterLevel,60,920,840,80,0.483695652173913,0.0029333677459863,0.5130434782608696,0.0017038928431169
R2,WaterLevel,70,304,272,32,0.506578947368421,-0.0027623065745784,0.5460526315789473,-0.0026414406631614
R2,WaterLevel,80,672,616,56,0.4791666666666667,-0.0046706298904325,0.4866071428571428,-0.0019287387657818
R2,WaterLevel,90,144,128,16,0.5625,-0.0127050443935111,0.5902777777777778,-0.0031465366807319
R2,defect_class,AF,29608,0,29608,0.3484868954336665,-0.0008157024878294,0.536341529316401,-0.0005141373434281
R2,defect_class,DE,8856,0,8856,0.4191508581752484,-0.0017128589449166,0.5123080397470642,-0.0005645750129867
R2,defect_class,FS,112520,0,112520,0.3567099182367579,-0.001219535339434,0.5270707429790259,-0.0008988512593092
R2,defect_class,OB,78288,0,78288,0.3643981197629266,-0.0011588818364161,0.5249335785816472,-0.0007856339108013
R2,defect_class,PF,7728,0,7728,0.3464026915113871,-0.0018690784530217,0.5427018633540373,-0.0006241539378165
R2,defect_class,RB,18288,0,18288,0.3772965879265091,-0.00080609288137,0.5301290463692039,-0.0001136345079673
R2,overall,all,960000,800000,160000,0.4546291666666666,-0.0001284835978648,0.5309864583333334,2.352387651089589e-05
R2,source_basename,SewerML_Train.csv,960000,800000,160000,0.4546291666666666,-0.0001284835978648,0.5309864583333334,2.352387651089589e-05
R2,target_labels,<missing>,800000,800000,0,0.47146375,8.003942455708156e-05,0.5319875,0.0001715109499163
R2,target_labels,AF,7944,0,7944,0.4060926485397784,-0.0007671142595967,0.5133434038267876,-0.0009132628058556
R2,target_labels,AF;OB,2896,0,2896,0.3853591160220994,-0.0014125401746827,0.5366022099447514,-0.0004311985436668
R2,target_labels,DE,5664,0,5664,0.4410310734463277,-0.0006136140602177,0.5063559322033898,5.562970722783773e-05
R2,target_labels,DE;AF,688,0,688,0.4258720930232558,-0.0072387388307815,0.498546511627907,-0.0042613475701522
R2,target_labels,DE;AF;OB,16,0,16,0.5625,0.0009142458438873,0.625,0.0051653359533946
R2,target_labels,DE;FS,680,0,680,0.4044117647058823,-0.0086521291376009,0.4661764705882353,-0.007284252354936
R2,target_labels,DE;FS;AF,144,0,144,0.3958333333333333,-0.0094616815654767,0.5138888888888888,-0.0047778982153799
R2,target_labels,DE;FS;OB,40,0,40,0.5,0.0001054018735885,0.525,0.005428435141653
R2,target_labels,DE;FS;RB,24,0,24,0.5833333333333334,-0.0067150195439656,0.5833333333333334,-0.0102270100547098
R2,target_labels,DE;FS;RB;AF,8,0,8,0.0,-1.4901161193847656e-08,0.5,0.0002848371236943
R2,target_labels,DE;OB,32,0,32,0.4375,0.0214387406595051,0.46875,0.0056776761838465
R2,target_labels,DE;RB,104,0,104,0.4134615384615384,-0.0103773119357915,0.4903846153846153,-0.0055063027164205
R2,target_labels,DE;RB;OB,8,0,8,0.375,0.0008667185902595,0.375,0.0139954492980196
R2,target_labels,FS,41144,0,41144,0.3788401711063581,-0.0012711843656128,0.5241590511374684,-0.0007648779880701
R2,target_labels,FS;AF,9152,0,9152,0.3117351398601398,-0.0005603700946407,0.5552884615384616,-0.0001439105167714
R2,target_labels,FS;AF;OB,5736,0,5736,0.3009065550906555,-0.0004736611137693,0.532252440725244,-0.0005989301175227
R2,target_labels,FS;OB,43480,0,43480,0.3514029438822447,-0.0013342403600734,0.5237350505979761,-0.0012070697764042
R2,target_labels,FS;RB,4272,0,4272,0.3656367041198501,0.000128439326213,0.5236423220973783,-7.046244175305643e-05
R2,target_labels,FS;RB;AF,992,0,992,0.313508064516129,-0.0017273323009571,0.5524193548387096,-0.0011948556465743
R2,target_labels,FS;RB;AF;OB,896,0,896,0.3314732142857143,-4.827952943742288e-05,0.5591517857142857,1.998017837091537e-05
R2,target_labels,FS;RB;OB,5632,0,5632,0.3606178977272727,-0.0014729003646374,0.5218394886363636,-0.0007335674577118
R2,target_labels,OB,16432,0,16432,0.4123661148977605,-0.0009042116790795,0.5208130477117819,-0.0001453719299206
R2,target_labels,PF,5760,0,5760,0.3456597222222222,-0.0026908054739301,0.5371527777777778,-0.0013462093191811
R2,target_labels,PF;AF,128,0,128,0.3359375,0.0096873945803963,0.5546875,0.0049289729964515
R2,target_labels,PF;DE,1392,0,1392,0.3326149425287356,0.0007671215157381,0.5617816091954023,0.0023617173485434
R2,target_labels,PF;DE;AF,16,0,16,0.125,-7.450580596923828e-08,0.5625,0.0001098722171784
R2,target_labels,PF;DE;FS,24,0,24,0.4166666666666667,-1.5988945960984657e-05,0.625,0.0003477188408458
R2,target_labels,PF;DE;RB;AF,16,0,16,0.6875,-0.0003906972706317,0.6875,0.0114332720439459
R2,target_labels,PF;FS,120,0,120,0.3666666666666666,-0.0117480640047385,0.575,-0.0080500661862826
R2,target_labels,PF;FS;AF,8,0,8,0.125,-2.5331974029541016e-07,0.5,-0.0002808981541431
R2,target_labels,PF;FS;AF;OB,8,0,8,0.375,-0.0621323380619287,0.25,-0.0238210273835797
R2,target_labels,PF;FS;OB,144,0,144,0.4375,-0.001727566950851,0.5347222222222222,-0.0001502602137235
R2,target_labels,PF;FS;RB;AF,8,0,8,0.25,1.6391277310456864e-07,0.625,0.0003641544210166
R2,target_labels,PF;FS;RB;OB,8,0,8,0.25,4.470348359542076e-08,0.75,0.0004659716049447
R2,target_labels,PF;OB,64,0,64,0.375,0.0142582884041075,0.4375,-0.0026015175909518
R2,target_labels,PF;RB,8,0,8,0.625,0.0003347918391228,0.625,0.0179295210720033
R2,target_labels,PF;RB;AF,8,0,8,0.625,5.811452865739364e-07,0.625,0.0015729970483215
R2,target_labels,PF;RB;OB,16,0,16,0.5,-0.0003749616444111,0.6875,0.000221636502679
R2,target_labels,RB,2944,0,2944,0.4330842391304347,-0.0006439076083617,0.5271739130434783,0.0002295870325557
R2,target_labels,RB;AF,464,0,464,0.375,0.0031946971691374,0.5538793103448276,0.0027119249691525
R2,target_labels,RB;AF;OB,480,0,480,0.39375,-0.0005320002227525,0.5604166666666667,0.0017486365985662
R2,target_labels,RB;OB,2400,0,2400,0.4033333333333333,-0.001386106113065,0.5320833333333334,0.0004595220494021
