control,subgroup_dimension,subgroup_value,n,normal_n,defect_n,raw_beneficial_rate,raw_mean_shift,calibrated_beneficial_rate,calibrated_mean_shift
R1,WaterLevel,0,412088,334800,77288,0.4509764904583487,-0.0013533095318092,0.5393314049426337,-0.0008786122793781
R1,WaterLevel,1,240,240,0,0.4166666666666667,0.002541653082293,0.5041666666666667,0.003562031620841
R1,WaterLevel,10,326424,279272,47152,0.4625395191530034,-0.0010308108887889,0.5295535867460726,-0.0004299843476275
R1,WaterLevel,100,1312,1288,24,0.5022865853658537,-0.0037442092646941,0.5236280487804879,-0.0031885241946468
R1,WaterLevel,2,46992,41448,5544,0.4466717739189649,-0.0015369525604297,0.511938202247191,-0.0003684184381971
R1,WaterLevel,20,49752,41056,8696,0.4459519215307927,-0.0008401144027995,0.5028139572278502,0.0007286214731381
R1,WaterLevel,30,15656,13200,2456,0.4540751149718957,-0.0008185778023366,0.5076009197751661,0.0011935733583092
R1,WaterLevel,4,48,8,40,0.3958333333333333,0.0001840430592778,0.5625,0.0074970994363867
R1,WaterLevel,40,4624,3824,800,0.4413927335640138,-0.0008306656732756,0.4816176470588235,0.0018926819204037
R1,WaterLevel,5,97152,79776,17376,0.4563673418972332,-0.0019200672041491,0.5213274044795784,-0.0006813358755864
R1,WaterLevel,50,3672,3232,440,0.468954248366013,-0.00383369964922,0.4904684095860566,-0.0001256035704883
R1,WaterLevel,60,920,840,80,0.4304347826086956,0.0056398009728133,0.4434782608695652,0.0075714969157701
R1,WaterLevel,70,304,272,32,0.4407894736842105,-0.0075546505437056,0.4934210526315789,0.0009821979865332
R1,WaterLevel,80,672,616,56,0.4806547619047619,-0.0112428352516812,0.5074404761904762,-0.0035893013570708
R1,WaterLevel,90,144,128,16,0.5277777777777778,-0.0055235526015673,0.5486111111111112,0.0017601125550785
R1,defect_class,AF,29608,0,29608,0.319271818427452,-0.0023588332977951,0.5358011348284247,-0.0006842915696911
R1,defect_class,DE,8856,0,8856,0.4135049683830171,-0.0053564021119818,0.5255194218608853,-0.0013365676150317
R1,defect_class,FS,112520,0,112520,0.3357625311055812,-0.0012329022399225,0.5335407038748667,0.0002044884019821
R1,defect_class,OB,78288,0,78288,0.346553750255467,-0.0011629241883758,0.5339132434089515,0.0003088754507944
R1,defect_class,PF,7728,0,7728,0.3209109730848861,-0.0041293806795709,0.5401138716356108,-0.0015636020997532
R1,defect_class,RB,18288,0,18288,0.3390748031496063,-0.0019813335445314,0.5225831146106736,-0.000665056136937
R1,overall,all,960000,800000,160000,0.4551239583333333,-0.0012866774897425,0.5298125,-0.0005422540930455
R1,source_basename,SewerML_Train.csv,960000,800000,160000,0.4551239583333333,-0.0012866774897425,0.5298125,-0.0005422540930455
R1,target_labels,<missing>,800000,800000,0,0.476125,-0.0011614361718106,0.52948,-0.0006340791723256
R1,target_labels,AF,7944,0,7944,0.3799093655589123,-0.006795046934755,0.5089375629405841,-0.0034468062719813
R1,target_labels,AF;OB,2896,0,2896,0.3746546961325966,0.0003682822353082,0.5476519337016574,0.0010443160160342
R1,target_labels,DE,5664,0,5664,0.4394420903954802,-0.0051326696624276,0.5225988700564972,-0.0005092819184639
R1,target_labels,DE;AF,688,0,688,0.4142441860465116,-0.0101195378400794,0.5232558139534884,-0.0050788003852994
R1,target_labels,DE;AF;OB,16,0,16,0.5625,0.0224694944918156,0.5625,0.0518068119050759
R1,target_labels,DE;FS,680,0,680,0.4117647058823529,-0.0142490066786515,0.4867647058823529,-0.0090562709062657
R1,target_labels,DE;FS;AF,144,0,144,0.4027777777777778,-0.0066397636611428,0.5763888888888888,-0.0065909899921844
R1,target_labels,DE;FS;OB,40,0,40,0.475,-1.970529556271916e-05,0.6,0.0008416977748805
R1,target_labels,DE;FS;RB,24,0,24,0.375,0.0056364784638087,0.4583333333333333,-0.0002615181031803
R1,target_labels,DE;FS;RB;AF,8,0,8,0.0,-1.4901161193847656e-08,0.625,0.0005015653605019
R1,target_labels,DE;OB,32,0,32,0.53125,-0.0002327430993318,0.5625,0.0093270838644145
R1,target_labels,DE;RB,104,0,104,0.4230769230769231,-0.0059856829734948,0.5192307692307693,-0.0042089531671715
R1,target_labels,DE;RB;OB,8,0,8,0.375,-0.0005192160606384,0.5,0.0005356159523965
R1,target_labels,FS,41144,0,41144,0.3598337546179272,-0.00138679347608,0.5296519541123857,0.0005366280676772
R1,target_labels,FS;AF,9152,0,9152,0.2765515734265734,-0.0007219347100812,0.5525568181818182,0.0003064948970055
R1,target_labels,FS;AF;OB,5736,0,5736,0.2744072524407252,-0.0006294408813436,0.5390516039051604,0.0003435642304755
R1,target_labels,FS;OB,43480,0,43480,0.3364305427782889,-0.0009181586788018,0.5359015639374425,0.0003036900491655
R1,target_labels,FS;RB,4272,0,4272,0.3274812734082397,-0.0016097950073047,0.5140449438202247,-0.0017027754294939
R1,target_labels,FS;RB;AF,992,0,992,0.2631048387096774,-0.0013134008237806,0.53125,0.0004835467986327
R1,target_labels,FS;RB;AF;OB,896,0,896,0.2946428571428571,0.0008149071530039,0.5535714285714286,0.0023233738754376
R1,target_labels,FS;RB;OB,5632,0,5632,0.3274147727272727,-0.0020813426828076,0.5225497159090909,-0.0007323885597602
R1,target_labels,OB,16432,0,16432,0.3995861733203505,-0.0019140190618498,0.5286027263875365,0.0004834044491201
R1,target_labels,PF,5760,0,5760,0.3215277777777778,-0.0046531510153436,0.5383680555555556,-0.0016524325708082
R1,target_labels,PF;AF,128,0,128,0.3203125,-0.0001864501055024,0.5625,-0.0036465560591541
