run_slot,triad_id,condition_slot,phase,method,budget,guard_ratio,arm,y_true,replay_role,dynamic_bucket,count,share
RUN_011,TRIAD_004,A02,A,GapCritical-Strict,3000,0.0,R1,0,normal_replay,easy_clean,2391,0.797
RUN_011,TRIAD_004,A02,A,GapCritical-Strict,3000,0.0,R1,0,normal_replay,learnable_hard,381,0.127
RUN_011,TRIAD_004,A02,A,GapCritical-Strict,3000,0.0,R1,0,normal_replay,ordinary,151,0.0503333333333333
RUN_011,TRIAD_004,A02,A,GapCritical-Strict,3000,0.0,R1,0,normal_replay,persistent_hard,34,0.0113333333333333
RUN_011,TRIAD_004,A02,A,GapCritical-Strict,3000,0.0,R1,0,normal_replay,unstable_boundary,43,0.0143333333333333
RUN_012,TRIAD_004,A02,A,GapCritical-Strict,3000,0.0,R2,0,normal_replay,learnable_hard,2941,0.9803333333333332
RUN_012,TRIAD_004,A02,A,GapCritical-Strict,3000,0.0,R2,0,normal_replay,ordinary,40,0.0133333333333333
RUN_012,TRIAD_004,A02,A,GapCritical-Strict,3000,0.0,R2,0,normal_replay,persistent_hard,12,0.004
RUN_012,TRIAD_004,A02,A,GapCritical-Strict,3000,0.0,R2,0,normal_replay,unstable_boundary,7,0.0023333333333333
RUN_013,TRIAD_005,A02,A,GapCritical-Strict,3000,0.0,T,0,normal_replay,learnable_hard,3000,1.0
RUN_014,TRIAD_005,A02,A,GapCritical-Strict,3000,0.0,R1,0,normal_replay,easy_clean,2352,0.784
RUN_014,TRIAD_005,A02,A,GapCritical-Strict,3000,0.0,R1,0,normal_replay,learnable_hard,414,0.138
RUN_014,TRIAD_005,A02,A,GapCritical-Strict,3000,0.0,R1,0,normal_replay,ordinary,157,0.0523333333333333
RUN_014,TRIAD_005,A02,A,GapCritical-Strict,3000,0.0,R1,0,normal_replay,persistent_hard,37,0.0123333333333333
RUN_014,TRIAD_005,A02,A,GapCritical-Strict,3000,0.0,R1,0,normal_replay,unstable_boundary,40,0.0133333333333333
RUN_015,TRIAD_005,A02,A,GapCritical-Strict,3000,0.0,R2,0,normal_replay,learnable_hard,2941,0.9803333333333332
RUN_015,TRIAD_005,A02,A,GapCritical-Strict,3000,0.0,R2,0,normal_replay,ordinary,37,0.0123333333333333
RUN_015,TRIAD_005,A02,A,GapCritical-Strict,3000,0.0,R2,0,normal_replay,persistent_hard,17,0.0056666666666666
RUN_015,TRIAD_005,A02,A,GapCritical-Strict,3000,0.0,R2,0,normal_replay,unstable_boundary,5,0.0016666666666666
RUN_016,TRIAD_006,A02,A,GapCritical-Strict,3000,0.0,T,0,normal_replay,learnable_hard,3000,1.0
RUN_017,TRIAD_006,A02,A,GapCritical-Strict,3000,0.0,R1,0,normal_replay,easy_clean,2358,0.786
RUN_017,TRIAD_006,A02,A,GapCritical-Strict,3000,0.0,R1,0,normal_replay,learnable_hard,395,0.1316666666666666
RUN_017,TRIAD_006,A02,A,GapCritical-Strict,3000,0.0,R1,0,normal_replay,ordinary,151,0.0503333333333333
RUN_017,TRIAD_006,A02,A,GapCritical-Strict,3000,0.0,R1,0,normal_replay,persistent_hard,54,0.018
RUN_017,TRIAD_006,A02,A,GapCritical-Strict,3000,0.0,R1,0,normal_replay,unstable_boundary,42,0.014
RUN_018,TRIAD_006,A02,A,GapCritical-Strict,3000,0.0,R2,0,normal_replay,learnable_hard,2949,0.983
RUN_018,TRIAD_006,A02,A,GapCritical-Strict,3000,0.0,R2,0,normal_replay,ordinary,39,0.013
RUN_018,TRIAD_006,A02,A,GapCritical-Strict,3000,0.0,R2,0,normal_replay,persistent_hard,10,0.0033333333333333
RUN_018,TRIAD_006,A02,A,GapCritical-Strict,3000,0.0,R2,0,normal_replay,unstable_boundary,2,0.0006666666666666
RUN_019,TRIAD_007,A03,A,GapCritical-Strict,6000,0.0,T,0,normal_replay,learnable_hard,6000,1.0
RUN_020,TRIAD_007,A03,A,GapCritical-Strict,6000,0.0,R1,0,normal_replay,easy_clean,5053,0.8421666666666666
RUN_020,TRIAD_007,A03,A,GapCritical-Strict,6000,0.0,R1,0,normal_replay,learnable_hard,465,0.0775
RUN_020,TRIAD_007,A03,A,GapCritical-Strict,6000,0.0,R1,0,normal_replay,ordinary,333,0.0555
RUN_020,TRIAD_007,A03,A,GapCritical-Strict,6000,0.0,R1,0,normal_replay,persistent_hard,62,0.0103333333333333
RUN_020,TRIAD_007,A03,A,GapCritical-Strict,6000,0.0,R1,0,normal_replay,unstable_boundary,87,0.0145
RUN_021,TRIAD_007,A03,A,GapCritical-Strict,6000,0.0,R2,0,normal_replay,easy_clean,63,0.0105
RUN_021,TRIAD_007,A03,A,GapCritical-Strict,6000,0.0,R2,0,normal_replay,learnable_hard,5676,0.946
RUN_021,TRIAD_007,A03,A,GapCritical-Strict,6000,0.0,R2,0,normal_replay,ordinary,256,0.0426666666666666
RUN_021,TRIAD_007,A03,A,GapCritical-Strict,6000,0.0,R2,0,normal_replay,persistent_hard,5,0.0008333333333333
RUN_022,TRIAD_008,A03,A,GapCritical-Strict,6000,0.0,T,0,normal_replay,learnable_hard,6000,1.0
RUN_023,TRIAD_008,A03,A,GapCritical-Strict,6000,0.0,R1,0,normal_replay,easy_clean,5004,0.834
RUN_023,TRIAD_008,A03,A,GapCritical-Strict,6000,0.0,R1,0,normal_replay,learnable_hard,461,0.0768333333333333
RUN_023,TRIAD_008,A03,A,GapCritical-Strict,6000,0.0,R1,0,normal_replay,ordinary,346,0.0576666666666666
RUN_023,TRIAD_008,A03,A,GapCritical-Strict,6000,0.0,R1,0,normal_replay,persistent_hard,83,0.0138333333333333
RUN_023,TRIAD_008,A03,A,GapCritical-Strict,6000,0.0,R1,0,normal_replay,unstable_boundary,106,0.0176666666666666
RUN_024,TRIAD_008,A03,A,GapCritical-Strict,6000,0.0,R2,0,normal_replay,easy_clean,59,0.0098333333333333
RUN_024,TRIAD_008,A03,A,GapCritical-Strict,6000,0.0,R2,0,normal_replay,learnable_hard,5680,0.9466666666666668
RUN_024,TRIAD_008,A03,A,GapCritical-Strict,6000,0.0,R2,0,normal_replay,ordinary,257,0.0428333333333333
RUN_024,TRIAD_008,A03,A,GapCritical-Strict,6000,0.0,R2,0,normal_replay,persistent_hard,3,0.0005
RUN_024,TRIAD_008,A03,A,GapCritical-Strict,6000,0.0,R2,0,normal_replay,unstable_boundary,1,0.0001666666666666
RUN_025,TRIAD_009,A03,A,GapCritical-Strict,6000,0.0,T,0,normal_replay,learnable_hard,6000,1.0
RUN_026,TRIAD_009,A03,A,GapCritical-Strict,6000,0.0,R1,0,normal_replay,easy_clean,4957,0.8261666666666667
RUN_026,TRIAD_009,A03,A,GapCritical-Strict,6000,0.0,R1,0,normal_replay,learnable_hard,546,0.091
RUN_026,TRIAD_009,A03,A,GapCritical-Strict,6000,0.0,R1,0,normal_replay,ordinary,322,0.0536666666666666
RUN_026,TRIAD_009,A03,A,GapCritical-Strict,6000,0.0,R1,0,normal_replay,persistent_hard,73,0.0121666666666666
RUN_026,TRIAD_009,A03,A,GapCritical-Strict,6000,0.0,R1,0,normal_replay,unstable_boundary,102,0.017
RUN_027,TRIAD_009,A03,A,GapCritical-Strict,6000,0.0,R2,0,normal_replay,easy_clean,57,0.0095
RUN_027,TRIAD_009,A03,A,GapCritical-Strict,6000,0.0,R2,0,normal_replay,learnable_hard,5678,0.9463333333333334
RUN_027,TRIAD_009,A03,A,GapCritical-Strict,6000,0.0,R2,0,normal_replay,ordinary,262,0.0436666666666666
RUN_027,TRIAD_009,A03,A,GapCritical-Strict,6000,0.0,R2,0,normal_replay,persistent_hard,2,0.0003333333333333
RUN_027,TRIAD_009,A03,A,GapCritical-Strict,6000,0.0,R2,0,normal_replay,unstable_boundary,1,0.0001666666666666
RUN_028,TRIAD_010,A04,A,GapCritical-Global,3000,0.0,T,0,normal_replay,learnable_hard,2854,0.9513333333333334
RUN_028,TRIAD_010,A04,A,GapCritical-Global,3000,0.0,T,0,normal_replay,ordinary,47,0.0156666666666666
RUN_028,TRIAD_010,A04,A,GapCritical-Global,3000,0.0,T,0,normal_replay,persistent_hard,15,0.005
RUN_028,TRIAD_010,A04,A,GapCritical-Global,3000,0.0,T,0,normal_replay,unstable_boundary,84,0.028
RUN_029,TRIAD_010,A04,A,GapCritical-Global,3000,0.0,R1,0,normal_replay,easy_clean,2396,0.7986666666666666
RUN_029,TRIAD_010,A04,A,GapCritical-Global,3000,0.0,R1,0,normal_replay,learnable_hard,383,0.1276666666666666
RUN_029,TRIAD_010,A04,A,GapCritical-Global,3000,0.0,R1,0,normal_replay,ordinary,158,0.0526666666666666
RUN_029,TRIAD_010,A04,A,GapCritical-Global,3000,0.0,R1,0,normal_replay,persistent_hard,27,0.009
RUN_029,TRIAD_010,A04,A,GapCritical-Global,3000,0.0,R1,0,normal_replay,unstable_boundary,36,0.012
RUN_030,TRIAD_010,A04,A,GapCritical-Global,3000,0.0,R2,0,normal_replay,learnable_hard,2794,0.9313333333333332
RUN_030,TRIAD_010,A04,A,GapCritical-Global,3000,0.0,R2,0,normal_replay,ordinary,93,0.031
RUN_030,TRIAD_010,A04,A,GapCritical-Global,3000,0.0,R2,0,normal_replay,persistent_hard,27,0.009
RUN_030,TRIAD_010,A04,A,GapCritical-Global,3000,0.0,R2,0,normal_replay,unstable_boundary,86,0.0286666666666666
RUN_031,TRIAD_011,A04,A,GapCritical-Global,3000,0.0,T,0,normal_replay,learnable_hard,2854,0.9513333333333334
RUN_031,TRIAD_011,A04,A,GapCritical-Global,3000,0.0,T,0,normal_replay,ordinary,47,0.0156666666666666
RUN_031,TRIAD_011,A04,A,GapCritical-Global,3000,0.0,T,0,normal_replay,persistent_hard,15,0.005
RUN_031,TRIAD_011,A04,A,GapCritical-Global,3000,0.0,T,0,normal_replay,unstable_boundary,84,0.028
RUN_032,TRIAD_011,A04,A,GapCritical-Global,3000,0.0,R1,0,normal_replay,easy_clean,2378,0.7926666666666666
RUN_032,TRIAD_011,A04,A,GapCritical-Global,3000,0.0,R1,0,normal_replay,learnable_hard,386,0.1286666666666666
RUN_032,TRIAD_011,A04,A,GapCritical-Global,3000,0.0,R1,0,normal_replay,ordinary,143,0.0476666666666666
RUN_032,TRIAD_011,A04,A,GapCritical-Global,3000,0.0,R1,0,normal_replay,persistent_hard,36,0.012
RUN_032,TRIAD_011,A04,A,GapCritical-Global,3000,0.0,R1,0,normal_replay,unstable_boundary,57,0.019
RUN_033,TRIAD_011,A04,A,GapCritical-Global,3000,0.0,R2,0,normal_replay,learnable_hard,2799,0.933
RUN_033,TRIAD_011,A04,A,GapCritical-Global,3000,0.0,R2,0,normal_replay,ordinary,87,0.029
RUN_033,TRIAD_011,A04,A,GapCritical-Global,3000,0.0,R2,0,normal_replay,persistent_hard,25,0.0083333333333333
RUN_033,TRIAD_011,A04,A,GapCritical-Global,3000,0.0,R2,0,normal_replay,unstable_boundary,89,0.0296666666666666
RUN_034,TRIAD_012,A04,A,GapCritical-Global,3000,0.0,T,0,normal_replay,learnable_hard,2854,0.9513333333333334
RUN_034,TRIAD_012,A04,A,GapCritical-Global,3000,0.0,T,0,normal_replay,ordinary,47,0.0156666666666666
RUN_034,TRIAD_012,A04,A,GapCritical-Global,3000,0.0,T,0,normal_replay,persistent_hard,15,0.005
RUN_034,TRIAD_012,A04,A,GapCritical-Global,3000,0.0,T,0,normal_replay,unstable_boundary,84,0.028
RUN_035,TRIAD_012,A04,A,GapCritical-Global,3000,0.0,R1,0,normal_replay,easy_clean,2363,0.7876666666666666
RUN_035,TRIAD_012,A04,A,GapCritical-Global,3000,0.0,R1,0,normal_replay,learnable_hard,407,0.1356666666666666
RUN_035,TRIAD_012,A04,A,GapCritical-Global,3000,0.0,R1,0,normal_replay,ordinary,149,0.0496666666666666
RUN_035,TRIAD_012,A04,A,GapCritical-Global,3000,0.0,R1,0,normal_replay,persistent_hard,34,0.0113333333333333
RUN_035,TRIAD_012,A04,A,GapCritical-Global,3000,0.0,R1,0,normal_replay,unstable_boundary,47,0.0156666666666666
RUN_036,TRIAD_012,A04,A,GapCritical-Global,3000,0.0,R2,0,normal_replay,learnable_hard,2796,0.932
RUN_036,TRIAD_012,A04,A,GapCritical-Global,3000,0.0,R2,0,normal_replay,ordinary,88,0.0293333333333333
RUN_036,TRIAD_012,A04,A,GapCritical-Global,3000,0.0,R2,0,normal_replay,persistent_hard,25,0.0083333333333333
RUN_036,TRIAD_012,A04,A,GapCritical-Global,3000,0.0,R2,0,normal_replay,unstable_boundary,91,0.0303333333333333
RUN_037,TRIAD_013,A05,A,Confidence-Clean,600,0.0,T,0,normal_replay,learnable_hard,337,0.5616666666666666
RUN_037,TRIAD_013,A05,A,Confidence-Clean,600,0.0,T,0,normal_replay,persistent_hard,263,0.4383333333333333
RUN_038,TRIAD_013,A05,A,Confidence-Clean,600,0.0,R1,0,normal_replay,easy_clean,457,0.7616666666666667
RUN_038,TRIAD_013,A05,A,Confidence-Clean,600,0.0,R1,0,normal_replay,learnable_hard,93,0.155
RUN_038,TRIAD_013,A05,A,Confidence-Clean,600,0.0,R1,0,normal_replay,ordinary,28,0.0466666666666666
RUN_038,TRIAD_013,A05,A,Confidence-Clean,600,0.0,R1,0,normal_replay,persistent_hard,9,0.015
RUN_038,TRIAD_013,A05,A,Confidence-Clean,600,0.0,R1,0,normal_replay,unstable_boundary,13,0.0216666666666666
RUN_039,TRIAD_013,A05,A,Confidence-Clean,600,0.0,R2,0,normal_replay,learnable_hard,333,0.555
RUN_039,TRIAD_013,A05,A,Confidence-Clean,600,0.0,R2,0,normal_replay,persistent_hard,267,0.445
RUN_040,TRIAD_014,A05,A,Confidence-Clean,600,0.0,T,0,normal_replay,learnable_hard,337,0.5616666666666666
RUN_040,TRIAD_014,A05,A,Confidence-Clean,600,0.0,T,0,normal_replay,persistent_hard,263,0.4383333333333333
RUN_041,TRIAD_014,A05,A,Confidence-Clean,600,0.0,R1,0,normal_replay,easy_clean,452,0.7533333333333333
RUN_041,TRIAD_014,A05,A,Confidence-Clean,600,0.0,R1,0,normal_replay,learnable_hard,100,0.1666666666666666
RUN_041,TRIAD_014,A05,A,Confidence-Clean,600,0.0,R1,0,normal_replay,ordinary,38,0.0633333333333333
RUN_041,TRIAD_014,A05,A,Confidence-Clean,600,0.0,R1,0,normal_replay,persistent_hard,4,0.0066666666666666
RUN_041,TRIAD_014,A05,A,Confidence-Clean,600,0.0,R1,0,normal_replay,unstable_boundary,6,0.01
RUN_042,TRIAD_014,A05,A,Confidence-Clean,600,0.0,R2,0,normal_replay,learnable_hard,334,0.5566666666666666
RUN_042,TRIAD_014,A05,A,Confidence-Clean,600,0.0,R2,0,normal_replay,persistent_hard,266,0.4433333333333333
RUN_043,TRIAD_015,A05,A,Confidence-Clean,600,0.0,T,0,normal_replay,learnable_hard,337,0.5616666666666666
RUN_043,TRIAD_015,A05,A,Confidence-Clean,600,0.0,T,0,normal_replay,persistent_hard,263,0.4383333333333333
RUN_044,TRIAD_015,A05,A,Confidence-Clean,600,0.0,R1,0,normal_replay,easy_clean,441,0.735
RUN_044,TRIAD_015,A05,A,Confidence-Clean,600,0.0,R1,0,normal_replay,learnable_hard,115,0.1916666666666666
RUN_044,TRIAD_015,A05,A,Confidence-Clean,600,0.0,R1,0,normal_replay,ordinary,32,0.0533333333333333
RUN_044,TRIAD_015,A05,A,Confidence-Clean,600,0.0,R1,0,normal_replay,persistent_hard,6,0.01
RUN_044,TRIAD_015,A05,A,Confidence-Clean,600,0.0,R1,0,normal_replay,unstable_boundary,6,0.01
RUN_045,TRIAD_015,A05,A,Confidence-Clean,600,0.0,R2,0,normal_replay,learnable_hard,337,0.5616666666666666
RUN_045,TRIAD_015,A05,A,Confidence-Clean,600,0.0,R2,0,normal_replay,persistent_hard,263,0.4383333333333333
RUN_046,TRIAD_016,A06,A,Confidence-Clean,3000,0.0,T,0,normal_replay,learnable_hard,1384,0.4613333333333333
RUN_046,TRIAD_016,A06,A,Confidence-Clean,3000,0.0,T,0,normal_replay,ordinary,225,0.075
RUN_046,TRIAD_016,A06,A,Confidence-Clean,3000,0.0,T,0,normal_replay,persistent_hard,702,0.234
RUN_046,TRIAD_016,A06,A,Confidence-Clean,3000,0.0,T,0,normal_replay,unstable_boundary,689,0.2296666666666666
RUN_047,TRIAD_016,A06,A,Confidence-Clean,3000,0.0,R1,0,normal_replay,easy_clean,2359,0.7863333333333333
RUN_047,TRIAD_016,A06,A,Confidence-Clean,3000,0.0,R1,0,normal_replay,learnable_hard,494,0.1646666666666666
RUN_047,TRIAD_016,A06,A,Confidence-Clean,3000,0.0,R1,0,normal_replay,ordinary,144,0.048
RUN_047,TRIAD_016,A06,A,Confidence-Clean,3000,0.0,R1,0,normal_replay,unstable_boundary,3,0.001
RUN_048,TRIAD_016,A06,A,Confidence-Clean,3000,0.0,R2,0,normal_replay,learnable_hard,1380,0.46
RUN_048,TRIAD_016,A06,A,Confidence-Clean,3000,0.0,R2,0,normal_replay,ordinary,248,0.0826666666666666
RUN_048,TRIAD_016,A06,A,Confidence-Clean,3000,0.0,R2,0,normal_replay,persistent_hard,668,0.2226666666666666
RUN_048,TRIAD_016,A06,A,Confidence-Clean,3000,0.0,R2,0,normal_replay,unstable_boundary,704,0.2346666666666666
RUN_049,TRIAD_017,A06,A,Confidence-Clean,3000,0.0,T,0,normal_replay,learnable_hard,1384,0.4613333333333333
RUN_049,TRIAD_017,A06,A,Confidence-Clean,3000,0.0,T,0,normal_replay,ordinary,225,0.075
RUN_049,TRIAD_017,A06,A,Confidence-Clean,3000,0.0,T,0,normal_replay,persistent_hard,702,0.234
RUN_049,TRIAD_017,A06,A,Confidence-Clean,3000,0.0,T,0,normal_replay,unstable_boundary,689,0.2296666666666666
RUN_050,TRIAD_017,A06,A,Confidence-Clean,3000,0.0,R1,0,normal_replay,easy_clean,2380,0.7933333333333333
RUN_050,TRIAD_017,A06,A,Confidence-Clean,3000,0.0,R1,0,normal_replay,learnable_hard,478,0.1593333333333333
RUN_050,TRIAD_017,A06,A,Confidence-Clean,3000,0.0,R1,0,normal_replay,ordinary,136,0.0453333333333333
RUN_050,TRIAD_017,A06,A,Confidence-Clean,3000,0.0,R1,0,normal_replay,unstable_boundary,6,0.002
RUN_051,TRIAD_017,A06,A,Confidence-Clean,3000,0.0,R2,0,normal_replay,learnable_hard,1381,0.4603333333333333
RUN_051,TRIAD_017,A06,A,Confidence-Clean,3000,0.0,R2,0,normal_replay,ordinary,240,0.08
RUN_051,TRIAD_017,A06,A,Confidence-Clean,3000,0.0,R2,0,normal_replay,persistent_hard,667,0.2223333333333333
RUN_051,TRIAD_017,A06,A,Confidence-Clean,3000,0.0,R2,0,normal_replay,unstable_boundary,712,0.2373333333333333
RUN_052,TRIAD_018,A06,A,Confidence-Clean,3000,0.0,T,0,normal_replay,learnable_hard,1384,0.4613333333333333
RUN_052,TRIAD_018,A06,A,Confidence-Clean,3000,0.0,T,0,normal_replay,ordinary,225,0.075
RUN_052,TRIAD_018,A06,A,Confidence-Clean,3000,0.0,T,0,normal_replay,persistent_hard,702,0.234
RUN_052,TRIAD_018,A06,A,Confidence-Clean,3000,0.0,T,0,normal_replay,unstable_boundary,689,0.2296666666666666
RUN_053,TRIAD_018,A06,A,Confidence-Clean,3000,0.0,R1,0,normal_replay,easy_clean,2375,0.7916666666666666
RUN_053,TRIAD_018,A06,A,Confidence-Clean,3000,0.0,R1,0,normal_replay,learnable_hard,489,0.163
RUN_053,TRIAD_018,A06,A,Confidence-Clean,3000,0.0,R1,0,normal_replay,ordinary,126,0.042
RUN_053,TRIAD_018,A06,A,Confidence-Clean,3000,0.0,R1,0,normal_replay,unstable_boundary,10,0.0033333333333333
RUN_054,TRIAD_018,A06,A,Confidence-Clean,3000,0.0,R2,0,normal_replay,learnable_hard,1379,0.4596666666666666
RUN_054,TRIAD_018,A06,A,Confidence-Clean,3000,0.0,R2,0,normal_replay,ordinary,244,0.0813333333333333
RUN_054,TRIAD_018,A06,A,Confidence-Clean,3000,0.0,R2,0,normal_replay,persistent_hard,668,0.2226666666666666
RUN_054,TRIAD_018,A06,A,Confidence-Clean,3000,0.0,R2,0,normal_replay,unstable_boundary,709,0.2363333333333333
RUN_055,TRIAD_019,A07,A,Boundary-0.5-Clean,600,0.0,T,0,normal_replay,learnable_hard,253,0.4216666666666667
RUN_055,TRIAD_019,A07,A,Boundary-0.5-Clean,600,0.0,T,0,normal_replay,ordinary,82,0.1366666666666666
RUN_055,TRIAD_019,A07,A,Boundary-0.5-Clean,600,0.0,T,0,normal_replay,persistent_hard,25,0.0416666666666666
RUN_055,TRIAD_019,A07,A,Boundary-0.5-Clean,600,0.0,T,0,normal_replay,unstable_boundary,240,0.4
RUN_056,TRIAD_019,A07,A,Boundary-0.5-Clean,600,0.0,R1,0,normal_replay,easy_clean,472,0.7866666666666666
RUN_056,TRIAD_019,A07,A,Boundary-0.5-Clean,600,0.0,R1,0,normal_replay,learnable_hard,102,0.17
RUN_056,TRIAD_019,A07,A,Boundary-0.5-Clean,600,0.0,R1,0,normal_replay,ordinary,19,0.0316666666666666
RUN_056,TRIAD_019,A07,A,Boundary-0.5-Clean,600,0.0,R1,0,normal_replay,persistent_hard,5,0.0083333333333333
RUN_056,TRIAD_019,A07,A,Boundary-0.5-Clean,600,0.0,R1,0,normal_replay,unstable_boundary,2,0.0033333333333333
RUN_057,TRIAD_019,A07,A,Boundary-0.5-Clean,600,0.0,R2,0,normal_replay,learnable_hard,281,0.4683333333333333
RUN_057,TRIAD_019,A07,A,Boundary-0.5-Clean,600,0.0,R2,0,normal_replay,ordinary,76,0.1266666666666666
RUN_057,TRIAD_019,A07,A,Boundary-0.5-Clean,600,0.0,R2,0,normal_replay,persistent_hard,64,0.1066666666666666
RUN_057,TRIAD_019,A07,A,Boundary-0.5-Clean,600,0.0,R2,0,normal_replay,unstable_boundary,179,0.2983333333333333
RUN_058,TRIAD_020,A07,A,Boundary-0.5-Clean,600,0.0,T,0,normal_replay,learnable_hard,253,0.4216666666666667
RUN_058,TRIAD_020,A07,A,Boundary-0.5-Clean,600,0.0,T,0,normal_replay,ordinary,82,0.1366666666666666
RUN_058,TRIAD_020,A07,A,Boundary-0.5-Clean,600,0.0,T,0,normal_replay,persistent_hard,25,0.0416666666666666
RUN_058,TRIAD_020,A07,A,Boundary-0.5-Clean,600,0.0,T,0,normal_replay,unstable_boundary,240,0.4
RUN_059,TRIAD_020,A07,A,Boundary-0.5-Clean,600,0.0,R1,0,normal_replay,easy_clean,467,0.7783333333333333
RUN_059,TRIAD_020,A07,A,Boundary-0.5-Clean,600,0.0,R1,0,normal_replay,learnable_hard,98,0.1633333333333333
RUN_059,TRIAD_020,A07,A,Boundary-0.5-Clean,600,0.0,R1,0,normal_replay,ordinary,23,0.0383333333333333
RUN_059,TRIAD_020,A07,A,Boundary-0.5-Clean,600,0.0,R1,0,normal_replay,persistent_hard,8,0.0133333333333333
RUN_059,TRIAD_020,A07,A,Boundary-0.5-Clean,600,0.0,R1,0,normal_replay,unstable_boundary,4,0.0066666666666666
RUN_060,TRIAD_020,A07,A,Boundary-0.5-Clean,600,0.0,R2,0,normal_replay,learnable_hard,273,0.455
RUN_060,TRIAD_020,A07,A,Boundary-0.5-Clean,600,0.0,R2,0,normal_replay,ordinary,81,0.135
RUN_060,TRIAD_020,A07,A,Boundary-0.5-Clean,600,0.0,R2,0,normal_replay,persistent_hard,66,0.11
RUN_060,TRIAD_020,A07,A,Boundary-0.5-Clean,600,0.0,R2,0,normal_replay,unstable_boundary,180,0.3
RUN_061,TRIAD_021,A07,A,Boundary-0.5-Clean,600,0.0,T,0,normal_replay,learnable_hard,253,0.4216666666666667
RUN_061,TRIAD_021,A07,A,Boundary-0.5-Clean,600,0.0,T,0,normal_replay,ordinary,82,0.1366666666666666
RUN_061,TRIAD_021,A07,A,Boundary-0.5-Clean,600,0.0,T,0,normal_replay,persistent_hard,25,0.0416666666666666
RUN_061,TRIAD_021,A07,A,Boundary-0.5-Clean,600,0.0,T,0,normal_replay,unstable_boundary,240,0.4
RUN_062,TRIAD_021,A07,A,Boundary-0.5-Clean,600,0.0,R1,0,normal_replay,easy_clean,449,0.7483333333333333
