triad_id,condition_slot,phase,budget,guard_ratio,control,scope,treatment_count,control_count,overlap_count,overlap_rate,jaccard,unique_to_treatment,unique_to_control,effective_unique_contrast
TRIAD_011,A04,A,3000,0.0,R1,normal,3000,3000,0,0.0,0.0,3000,3000,1.0
TRIAD_011,A04,A,3000,0.0,R1,defect,0,0,0,,,0,0,
TRIAD_011,A04,A,3000,0.0,R2,all,3000,3000,2777,0.9256666666666666,0.8616196090598821,223,223,0.0743333333333333
TRIAD_011,A04,A,3000,0.0,R2,normal,3000,3000,2777,0.9256666666666666,0.8616196090598821,223,223,0.0743333333333333
TRIAD_011,A04,A,3000,0.0,R2,defect,0,0,0,,,0,0,
TRIAD_012,A04,A,3000,0.0,R1,all,3000,3000,0,0.0,0.0,3000,3000,1.0
TRIAD_012,A04,A,3000,0.0,R1,normal,3000,3000,0,0.0,0.0,3000,3000,1.0
TRIAD_012,A04,A,3000,0.0,R1,defect,0,0,0,,,0,0,
TRIAD_012,A04,A,3000,0.0,R2,all,3000,3000,2756,0.9186666666666666,0.8495684340320592,244,244,0.0813333333333333
TRIAD_012,A04,A,3000,0.0,R2,normal,3000,3000,2756,0.9186666666666666,0.8495684340320592,244,244,0.0813333333333333
TRIAD_012,A04,A,3000,0.0,R2,defect,0,0,0,,,0,0,
TRIAD_013,A05,A,600,0.0,R1,all,600,600,0,0.0,0.0,600,600,1.0
TRIAD_013,A05,A,600,0.0,R1,normal,600,600,0,0.0,0.0,600,600,1.0
TRIAD_013,A05,A,600,0.0,R1,defect,0,0,0,,,0,0,
TRIAD_013,A05,A,600,0.0,R2,all,600,600,556,0.9266666666666666,0.8633540372670807,44,44,0.0733333333333333
TRIAD_013,A05,A,600,0.0,R2,normal,600,600,556,0.9266666666666666,0.8633540372670807,44,44,0.0733333333333333
TRIAD_013,A05,A,600,0.0,R2,defect,0,0,0,,,0,0,
TRIAD_014,A05,A,600,0.0,R1,all,600,600,0,0.0,0.0,600,600,1.0
TRIAD_014,A05,A,600,0.0,R1,normal,600,600,0,0.0,0.0,600,600,1.0
TRIAD_014,A05,A,600,0.0,R1,defect,0,0,0,,,0,0,
TRIAD_014,A05,A,600,0.0,R2,all,600,600,554,0.9233333333333332,0.8575851393188855,46,46,0.0766666666666666
TRIAD_014,A05,A,600,0.0,R2,normal,600,600,554,0.9233333333333332,0.8575851393188855,46,46,0.0766666666666666
TRIAD_014,A05,A,600,0.0,R2,defect,0,0,0,,,0,0,
TRIAD_015,A05,A,600,0.0,R1,all,600,600,0,0.0,0.0,600,600,1.0
TRIAD_015,A05,A,600,0.0,R1,normal,600,600,0,0.0,0.0,600,600,1.0
TRIAD_015,A05,A,600,0.0,R1,defect,0,0,0,,,0,0,
TRIAD_015,A05,A,600,0.0,R2,all,600,600,561,0.935,0.8779342723004695,39,39,0.065
TRIAD_015,A05,A,600,0.0,R2,normal,600,600,561,0.935,0.8779342723004695,39,39,0.065
TRIAD_015,A05,A,600,0.0,R2,defect,0,0,0,,,0,0,
TRIAD_016,A06,A,3000,0.0,R1,all,3000,3000,0,0.0,0.0,3000,3000,1.0
TRIAD_016,A06,A,3000,0.0,R1,normal,3000,3000,0,0.0,0.0,3000,3000,1.0
TRIAD_016,A06,A,3000,0.0,R1,defect,0,0,0,,,0,0,
TRIAD_016,A06,A,3000,0.0,R2,all,3000,3000,2905,0.9683333333333334,0.938610662358643,95,95,0.0316666666666666
TRIAD_016,A06,A,3000,0.0,R2,normal,3000,3000,2905,0.9683333333333334,0.938610662358643,95,95,0.0316666666666666
TRIAD_016,A06,A,3000,0.0,R2,defect,0,0,0,,,0,0,
TRIAD_017,A06,A,3000,0.0,R1,all,3000,3000,0,0.0,0.0,3000,3000,1.0
TRIAD_017,A06,A,3000,0.0,R1,normal,3000,3000,0,0.0,0.0,3000,3000,1.0
TRIAD_017,A06,A,3000,0.0,R1,defect,0,0,0,,,0,0,
TRIAD_017,A06,A,3000,0.0,R2,all,3000,3000,2903,0.9676666666666668,0.9373587342589604,97,97,0.0323333333333333
TRIAD_017,A06,A,3000,0.0,R2,normal,3000,3000,2903,0.9676666666666668,0.9373587342589604,97,97,0.0323333333333333
TRIAD_017,A06,A,3000,0.0,R2,defect,0,0,0,,,0,0,
TRIAD_018,A06,A,3000,0.0,R1,all,3000,3000,0,0.0,0.0,3000,3000,1.0
TRIAD_018,A06,A,3000,0.0,R1,normal,3000,3000,0,0.0,0.0,3000,3000,1.0
TRIAD_018,A06,A,3000,0.0,R1,defect,0,0,0,,,0,0,
