phase,budget,training_seed,left_condition,right_condition,left_method,right_method,overlap_count,jaccard,left_overlap_rate,right_overlap_rate
A,3000,1385197443,A02,A06,GapCritical-Strict,Confidence-Clean,934,0.1843663639952625,0.3113333333333333,0.3113333333333333
A,3000,1385197443,A02,A08,GapCritical-Strict,Boundary-0.5-Clean,1117,0.2287528158918697,0.3723333333333333,0.3723333333333333
A,3000,1385197443,A02,A10,GapCritical-Strict,Persistent-0.5-Clean,1172,0.2427506213753107,0.3906666666666666,0.3906666666666666
A,3000,1385197443,A02,A12,GapCritical-Strict,EndpointTrend,1555,0.3498312710911136,0.5183333333333333,0.5183333333333333
A,3000,1385197443,A02,A13,GapCritical-Strict,BottomGap-3000-stress-control,0,0.0,0.0,0.0
A,3000,1385197443,A02,A14,GapCritical-Strict,FoldBalanced-Gap,2795,0.8720748829953198,0.9316666666666666,0.9316666666666666
A,3000,1385197443,A02,A15,GapCritical-Strict,GroupDiverse-Gap,2166,0.564945226917058,0.722,0.722
A,3000,1385197443,A02,A16,GapCritical-Strict,GapResidual-Strict,1466,0.3233348037053374,0.4886666666666667,0.4886666666666667
A,3000,1385197443,A02,A17,GapCritical-Strict,WindowEarlyLate40,2434,0.6825574873808189,0.8113333333333334,0.8113333333333334
A,3000,1385197443,A02,A19,GapCritical-Strict,GapCritical-Strict-TimeMatched,2014,0.5052684395383843,0.6713333333333333,0.6713333333333333
A,3000,1385197443,A04,A06,GapCritical-Global,Confidence-Clean,1003,0.2007204322593556,0.3343333333333333,0.3343333333333333
A,3000,1385197443,A04,A08,GapCritical-Global,Boundary-0.5-Clean,1199,0.2497396375755051,0.3996666666666666,0.3996666666666666
A,3000,1385197443,A04,A10,GapCritical-Global,Persistent-0.5-Clean,1241,0.2607690691321706,0.4136666666666667,0.4136666666666667
A,3000,1385197443,A04,A12,GapCritical-Global,EndpointTrend,1497,0.3324450366422385,0.499,0.499
A,3000,1385197443,A04,A13,GapCritical-Global,BottomGap-3000-stress-control,0,0.0,0.0,0.0
A,3000,1385197443,A04,A14,GapCritical-Global,FoldBalanced-Gap,2735,0.8376722817764165,0.9116666666666666,0.9116666666666666
A,3000,1385197443,A04,A15,GapCritical-Global,GroupDiverse-Gap,2099,0.5380671622660856,0.6996666666666667,0.6996666666666667
A,3000,1385197443,A04,A16,GapCritical-Global,GapResidual-Strict,1402,0.3049151805132666,0.4673333333333333,0.4673333333333333
A,3000,1385197443,A04,A17,GapCritical-Global,WindowEarlyLate40,2368,0.6519823788546255,0.7893333333333333,0.7893333333333333
A,3000,1385197443,A04,A19,GapCritical-Global,GapCritical-Strict-TimeMatched,1943,0.4789253142716292,0.6476666666666666,0.6476666666666666
A,3000,1385197443,A06,A08,Confidence-Clean,Boundary-0.5-Clean,2137,0.5531969971524722,0.7123333333333334,0.7123333333333334
A,3000,1385197443,A06,A10,Confidence-Clean,Persistent-0.5-Clean,2739,0.8399264029438822,0.913,0.913
A,3000,1385197443,A06,A12,Confidence-Clean,EndpointTrend,766,0.1463507833397019,0.2553333333333333,0.2553333333333333
A,3000,1385197443,A06,A13,Confidence-Clean,BottomGap-3000-stress-control,1225,0.256544502617801,0.4083333333333333,0.4083333333333333
A,3000,1385197443,A06,A14,Confidence-Clean,FoldBalanced-Gap,933,0.1841326228537596,0.311,0.311
A,3000,1385197443,A06,A15,Confidence-Clean,GroupDiverse-Gap,868,0.1691348402182385,0.2893333333333333,0.2893333333333333
A,3000,1385197443,A06,A16,Confidence-Clean,GapResidual-Strict,180,0.0309278350515463,0.06,0.06
A,3000,1385197443,A06,A17,Confidence-Clean,WindowEarlyLate40,942,0.1862396204033214,0.314,0.314
A,3000,1385197443,A06,A19,Confidence-Clean,GapCritical-Strict-TimeMatched,759,0.1448196908986834,0.253,0.253
A,3000,1385197443,A08,A10,Boundary-0.5-Clean,Persistent-0.5-Clean,2098,0.5376729882111737,0.6993333333333334,0.6993333333333334
A,3000,1385197443,A08,A12,Boundary-0.5-Clean,EndpointTrend,764,0.1459129106187929,0.2546666666666666,0.2546666666666666
A,3000,1385197443,A08,A13,Boundary-0.5-Clean,BottomGap-3000-stress-control,1100,0.2244897959183673,0.3666666666666666,0.3666666666666666
A,3000,1385197443,A08,A14,Boundary-0.5-Clean,FoldBalanced-Gap,1127,0.2312743689718859,0.3756666666666666,0.3756666666666666
A,3000,1385197443,A08,A15,Boundary-0.5-Clean,GroupDiverse-Gap,992,0.1980830670926517,0.3306666666666666,0.3306666666666666
A,3000,1385197443,A08,A16,Boundary-0.5-Clean,GapResidual-Strict,373,0.0662875422072152,0.1243333333333333,0.1243333333333333
A,3000,1385197443,A08,A17,Boundary-0.5-Clean,WindowEarlyLate40,1107,0.226241569589209,0.369,0.369
A,3000,1385197443,A08,A19,Boundary-0.5-Clean,GapCritical-Strict-TimeMatched,804,0.1547344110854503,0.268,0.268
A,3000,1385197443,A10,A12,Persistent-0.5-Clean,EndpointTrend,898,0.1760094080752646,0.2993333333333333,0.2993333333333333
A,3000,1385197443,A10,A13,Persistent-0.5-Clean,BottomGap-3000-stress-control,1074,0.2180267965895249,0.358,0.358
A,3000,1385197443,A10,A14,Persistent-0.5-Clean,FoldBalanced-Gap,1170,0.2422360248447205,0.39,0.39
A,3000,1385197443,A10,A15,Persistent-0.5-Clean,GroupDiverse-Gap,1081,0.2197601138442773,0.3603333333333333,0.3603333333333333
A,3000,1385197443,A10,A16,Persistent-0.5-Clean,GapResidual-Strict,329,0.0580144595309469,0.1096666666666666,0.1096666666666666
A,3000,1385197443,A10,A17,Persistent-0.5-Clean,WindowEarlyLate40,1169,0.2419788863589319,0.3896666666666666,0.3896666666666666
A,3000,1385197443,A10,A19,Persistent-0.5-Clean,GapCritical-Strict-TimeMatched,945,0.1869436201780415,0.315,0.315
A,3000,1385197443,A12,A13,EndpointTrend,BottomGap-3000-stress-control,47,0.0078951789013942,0.0156666666666666,0.0156666666666666
A,3000,1385197443,A12,A14,EndpointTrend,FoldBalanced-Gap,1557,0.350438892640108,0.519,0.519
A,3000,1385197443,A12,A15,EndpointTrend,GroupDiverse-Gap,1470,0.3245033112582781,0.49,0.49
A,3000,1385197443,A12,A16,EndpointTrend,GapResidual-Strict,1202,0.2505210504376823,0.4006666666666666,0.4006666666666666
A,3000,1385197443,A12,A17,EndpointTrend,WindowEarlyLate40,1603,0.3645667500568569,0.5343333333333333,0.5343333333333333
A,3000,1385197443,A12,A19,EndpointTrend,GapCritical-Strict-TimeMatched,1599,0.3633265167007498,0.533,0.533
A,3000,1385197443,A13,A14,BottomGap-3000-stress-control,FoldBalanced-Gap,0,0.0,0.0,0.0
