run_slot,triad_id,condition_slot,phase,arm,training_seed,split,row_count,auroc,auprc,auroc_raw,auprc_raw,brier,log_loss,ece,ece_bins
RUN_001,TRIAD_001,A01,A,T,1829910790,val_cal,120000,0.98627018575,0.9460703426468566,0.98627348625,0.9460723077020432,0.0406646006401083,0.1454041347109014,0.0542680128566421,15
RUN_001,TRIAD_001,A01,A,T,1829910790,val_op,120000,0.98691774775,0.9473461204182296,0.98692891425,0.9473530110828392,0.0398900881616688,0.1434277133131606,0.0540054420911002,15
RUN_002,TRIAD_001,A01,A,R1,1829910790,val_cal,120000,0.9862979730000002,0.9470468025168036,0.9862969715,0.947048460282414,0.0410459476175145,0.1456217675567444,0.0547118524609634,15
RUN_002,TRIAD_001,A01,A,R1,1829910790,val_op,120000,0.98689478425,0.948318518065468,0.98689478425,0.948318518065468,0.0405829445846079,0.1444447038806847,0.0544805508776888,15
RUN_003,TRIAD_001,A01,A,R2,1829910790,val_cal,120000,0.98642686125,0.9465670443845016,0.9864164255,0.946567479643392,0.0402604167161956,0.1444572934930878,0.0539053747564565,15
RUN_003,TRIAD_001,A01,A,R2,1829910790,val_op,120000,0.9869136095,0.94531334253388,0.98691476525,0.94531562619529,0.0398124549467461,0.1440541980791919,0.0539162258919822,15
RUN_004,TRIAD_002,A01,A,T,1385197443,val_cal,120000,0.9861612555,0.9462553954959876,0.986171948,0.9462637878077648,0.0402711522590048,0.1449882522705372,0.0540789954144441,15
RUN_004,TRIAD_002,A01,A,T,1385197443,val_op,120000,0.986947518,0.9459871439952902,0.98695293125,0.9459906286127931,0.0396078624389095,0.1434894440913242,0.0535375683255695,15
RUN_005,TRIAD_002,A01,A,R1,1385197443,val_cal,120000,0.9859334635,0.9454249795597482,0.9859294445,0.9454272773500658,0.0411747092954711,0.1472308208010103,0.0551273893264138,15
RUN_005,TRIAD_002,A01,A,R1,1385197443,val_op,120000,0.9866390762499998,0.94603755060497,0.98663818275,0.9460388769030612,0.0403965813787808,0.1452083767102648,0.0546916660713851,15
RUN_006,TRIAD_002,A01,A,R2,1385197443,val_cal,120000,0.98577047225,0.9437400430746872,0.9857708515,0.9437434542668994,0.0410837105334182,0.1477246001730786,0.0549590954442879,15
RUN_006,TRIAD_002,A01,A,R2,1385197443,val_op,120000,0.986435556,0.9444053517803666,0.986436911,0.944409623546907,0.0403158609478464,0.146104340871149,0.0547798570483244,15
RUN_007,TRIAD_003,A01,A,T,1343723075,val_cal,120000,0.98580365,0.944245385106674,0.9858019985,0.9442481173129468,0.0408551582045542,0.1470122451968221,0.0548772579047819,15
RUN_007,TRIAD_003,A01,A,T,1343723075,val_op,120000,0.986445989,0.9451069407832656,0.9864458245,0.9451105270926768,0.0400220484627009,0.1450102797243347,0.0544870726980025,15
RUN_008,TRIAD_003,A01,A,R1,1343723075,val_cal,120000,0.9861511585,0.9461709181932536,0.98616013,0.946174879336712,0.0411389283744845,0.1466086570504965,0.0552501767028914,15
RUN_008,TRIAD_003,A01,A,R1,1343723075,val_op,120000,0.98674832425,0.9464271621438144,0.98674832425,0.9464271621438144,0.0405339267553454,0.1452880031066823,0.0548686658163576,15
RUN_009,TRIAD_003,A01,A,R2,1343723075,val_cal,120000,0.9857636135,0.94408160015512,0.98576174175,0.944086223420222,0.0409420029595596,0.1476799992609705,0.0552776895519481,15
RUN_009,TRIAD_003,A01,A,R2,1343723075,val_op,120000,0.9865183695000002,0.9455370006953516,0.986518705,0.9455412053125772,0.0401291677295788,0.1453348858711183,0.0546267062202964,15
RUN_010,TRIAD_004,A02,A,T,1829910790,val_cal,120000,0.98615069725,0.9451355182272668,0.98616136675,0.9451427025207804,0.0406650587255184,0.1455316946519027,0.0541194589651514,15
RUN_010,TRIAD_004,A02,A,T,1829910790,val_op,120000,0.986665083,0.9457163443384092,0.986675648,0.9457233516135372,0.0400229165279332,0.1442603381654061,0.0536263720320436,15
RUN_011,TRIAD_004,A02,A,R1,1829910790,val_cal,120000,0.9859798065,0.9451229561255609,0.9859772725,0.94512733018303,0.0411183172188252,0.1465020842993799,0.0544409832401098,15
RUN_011,TRIAD_004,A02,A,R1,1829910790,val_op,120000,0.98680251925,0.945708241472894,0.98681245175,0.9457146265409616,0.0402024900938359,0.1447221017662792,0.0543835790755182,15
RUN_012,TRIAD_004,A02,A,R2,1829910790,val_cal,120000,0.98633734175,0.9464990133589914,0.98633847525,0.946500821356835,0.040427529098798,0.144840511455607,0.0543352414626665,15
RUN_012,TRIAD_004,A02,A,R2,1829910790,val_op,120000,0.986838333,0.94713662773672,0.986836199,0.94713735116719,0.0396783483404827,0.1432303141569051,0.0539291992929725,15
RUN_013,TRIAD_005,A02,A,T,1385197443,val_cal,120000,0.98627410725,0.94568803701828,0.98628244725,0.945694886167787,0.0400934650678284,0.1445680538442075,0.0538622131013534,15
RUN_013,TRIAD_005,A02,A,T,1385197443,val_op,120000,0.98658610625,0.946773365672108,0.986601803,0.9467829814811968,0.0395572306616716,0.143382932748083,0.0535110462122125,15
RUN_014,TRIAD_005,A02,A,R1,1385197443,val_cal,120000,0.98584036725,0.945157722997131,0.98584593325,0.94516282090556,0.0410350972798275,0.147206641054497,0.0551069729437498,15
RUN_014,TRIAD_005,A02,A,R1,1385197443,val_op,120000,0.9867542204999998,0.9460324723547474,0.986761421,0.9460363812777728,0.0399596316498339,0.1446584996424501,0.0546353798459034,15
RUN_015,TRIAD_005,A02,A,R2,1385197443,val_cal,120000,0.98648401275,0.9471948905071312,0.986485303,0.9472031546470228,0.0398647463958841,0.1435633371235992,0.0535568151808159,15
RUN_015,TRIAD_005,A02,A,R2,1385197443,val_op,120000,0.98664325575,0.945534863157618,0.98666112625,0.945543300294628,0.039412956952775,0.1431629042118629,0.0533411237644065,15
RUN_016,TRIAD_006,A02,A,T,1343723075,val_cal,120000,0.986203385,0.9456564211397742,0.9862118145,0.9456681154480986,0.0402065237505194,0.1446898340336131,0.0537140092045113,15
RUN_016,TRIAD_006,A02,A,T,1343723075,val_op,120000,0.9866673115,0.9456445153271498,0.98667457075,0.9456523286389836,0.0395946716148536,0.1434177915078723,0.053267073643154,15
RUN_017,TRIAD_006,A02,A,R1,1343723075,val_cal,120000,0.98634938775,0.9472216030365512,0.98634988575,0.9472240612921816,0.0409905963436051,0.145279471425488,0.0542604155461473,15
RUN_017,TRIAD_006,A02,A,R1,1343723075,val_op,120000,0.98693408875,0.9471468667700222,0.98693816775,0.947149860926438,0.0400785128901268,0.1435714598809116,0.053955869565875,15
RUN_018,TRIAD_006,A02,A,R2,1343723075,val_cal,120000,0.98666356875,0.94619335195231,0.9866711905,0.9461998866558792,0.0397331391194947,0.1433130622863057,0.0531375430773102,15
RUN_018,TRIAD_006,A02,A,R2,1343723075,val_op,120000,0.98699082325,0.945477584511618,0.98698944525,0.9454788652202264,0.0391148544069875,0.1424511898241484,0.0530288960884396,15
RUN_019,TRIAD_007,A03,A,T,1829910790,val_cal,120000,0.98577048825,0.9441488707551052,0.98576512825,0.944156999968375,0.0405520754025735,0.1467899734071946,0.0546567510050137,15
RUN_019,TRIAD_007,A03,A,T,1829910790,val_op,120000,0.9859915305000002,0.9433402683271388,0.98598651275,0.9433527411578296,0.0401103107398516,0.1462637481225991,0.0545487005526333,15
RUN_020,TRIAD_007,A03,A,R1,1829910790,val_cal,120000,0.98589708175,0.9443854837663408,0.98590668525,0.9443927586241372,0.0413420624712871,0.1471369888502457,0.0546117336906037,15
RUN_020,TRIAD_007,A03,A,R1,1829910790,val_op,120000,0.98669340625,0.944903207884014,0.98669354325,0.9449055827832346,0.0405071824017667,0.1450363780473788,0.0542709832056495,15
RUN_021,TRIAD_007,A03,A,R2,1829910790,val_cal,120000,0.9862076915,0.9450239285829092,0.986196062,0.9450286292728212,0.0402902216894546,0.1454507153490803,0.0539245025521557,15
RUN_021,TRIAD_007,A03,A,R2,1829910790,val_op,120000,0.986599845,0.946452665081226,0.98660330925,0.9464606612185404,0.0394798631876762,0.1435854231329906,0.053414635091894,15
RUN_022,TRIAD_008,A03,A,T,1385197443,val_cal,120000,0.98609876075,0.9466037927332014,0.98609675475,0.9466116045906088,0.0401412880214251,0.1446497018637404,0.0540475638286223,15
RUN_022,TRIAD_008,A03,A,T,1385197443,val_op,120000,0.9864990952499998,0.9468567365215532,0.9865008655,0.9468627609149464,0.0392917857704183,0.1430374635637468,0.0535859487318083,15
RUN_023,TRIAD_008,A03,A,R1,1385197443,val_cal,120000,0.98590881375,0.944402449910282,0.98590841375,0.9444046518720212,0.0416904639631644,0.1479923151536666,0.0552774229960781,15
RUN_023,TRIAD_008,A03,A,R1,1385197443,val_op,120000,0.9864238325,0.9449992597937776,0.986426321,0.9450002133223208,0.0408939700967931,0.1465858274382792,0.0548124229042266,15
RUN_024,TRIAD_008,A03,A,R2,1385197443,val_cal,120000,0.98637135725,0.9463870448070584,0.98638064225,0.9463951354969604,0.039970123084889,0.1441743270849075,0.0537621362406938,15
RUN_024,TRIAD_008,A03,A,R2,1385197443,val_op,120000,0.98668541775,0.9468309536706222,0.98669733075,0.9468404935163612,0.0391620727257873,0.1428247708792233,0.0531977797793171,15
RUN_025,TRIAD_009,A03,A,T,1343723075,val_cal,120000,0.986300596,0.9452697766535164,0.9863027945,0.945282431675366,0.0401623296506772,0.1445142618352012,0.0532679275416187,15
RUN_025,TRIAD_009,A03,A,T,1343723075,val_op,120000,0.98663308525,0.9457982611350906,0.98664757975,0.9458117562616772,0.0393738613448726,0.1430934936033735,0.0529191266763525,15
RUN_026,TRIAD_009,A03,A,R1,1343723075,val_cal,120000,0.9862863202499998,0.94684292835989,0.9862869132499998,0.9468502977033504,0.040688343404913,0.1455003050545873,0.0543367285008505,15
RUN_026,TRIAD_009,A03,A,R1,1343723075,val_op,120000,0.98648575725,0.9463113173563202,0.98648386275,0.9463158221851592,0.0403209839849414,0.1452118754446503,0.0544619442395123,15
RUN_027,TRIAD_009,A03,A,R2,1343723075,val_cal,120000,0.9864617730000002,0.948221816009872,0.9864683855,0.9482261868626808,0.0404908389293316,0.1444530673218951,0.0545657719896426,15
RUN_027,TRIAD_009,A03,A,R2,1343723075,val_op,120000,0.9869869235000002,0.9485651684557004,0.98698910225,0.9485669603624692,0.0397467538864636,0.1431126465945542,0.0544183442251623,15
RUN_028,TRIAD_010,A04,A,T,1829910790,val_cal,120000,0.98603072175,0.9456090373188476,0.98604155675,0.9456174260848642,0.0404483790394468,0.1455626917260883,0.0541020273726792,15
RUN_028,TRIAD_010,A04,A,T,1829910790,val_op,120000,0.986537179,0.9461075701508092,0.986548305,0.9461160965015376,0.0396408303789786,0.1436693855464404,0.0537093617387625,15
RUN_029,TRIAD_010,A04,A,R1,1829910790,val_cal,120000,0.98638035825,0.946095778913427,0.98638421675,0.946100662929631,0.0409986374647192,0.1457867664448142,0.0546917213854565,15
RUN_029,TRIAD_010,A04,A,R1,1829910790,val_op,120000,0.98667087425,0.9457980034488396,0.986674994,0.9458001066313264,0.0403008667372982,0.1448395134010667,0.054192978162593,15
RUN_030,TRIAD_010,A04,A,R2,1829910790,val_cal,120000,0.9863794105,0.9475765932405916,0.98638455475,0.9475792089492884,0.0404859659908129,0.144528850445805,0.0542442042279622,15
RUN_030,TRIAD_010,A04,A,R2,1829910790,val_op,120000,0.98657924675,0.9471783738033313,0.9865838757499998,0.9471819408436416,0.0399533983608486,0.1438358356786222,0.0540618603058045,15
RUN_031,TRIAD_011,A04,A,T,1385197443,val_cal,120000,0.98623443575,0.9473096461489744,0.9862426065,0.947313665641218,0.0405793448755715,0.1449442213413384,0.0544722762065039,15
RUN_031,TRIAD_011,A04,A,T,1385197443,val_op,120000,0.98681606625,0.9476165628210526,0.98681947675,0.9476176630050064,0.0400797545117133,0.1437933994933798,0.0540414047619999,15
RUN_032,TRIAD_011,A04,A,R1,1385197443,val_cal,120000,0.98621254275,0.9468537160996296,0.98621478375,0.9468548712781072,0.0412856165095315,0.1466781327885282,0.0554478784085654,15
