reference_condition,comparator_condition,training_seed,reference_run_slot,comparator_run_slot,reference_machine_id,comparator_machine_id,machine_pair,any_resumed,direct_delta_TN,direct_delta_FN,direct_delta_gap_q68_q050,direct_delta_tail_gap_q90_q05,direct_delta_normal_q68,direct_delta_normal_q90,direct_delta_defect_q50,direct_delta_defect_q05
A02,A16,1385197443,RUN_013,RUN_139,machine_05,machine_07,cross_machine,False,1124.0,-10.0,-0.0006197625173485,0.0045689051385069,0.0007418425674613,-0.001436244911389,0.0001220800501129,0.0031326602271179
A02,A16,1343723075,RUN_016,RUN_142,machine_06,machine_08,cross_machine,False,-1522.0,4.0,0.0015761544575119,-0.0139901707169448,-0.0020241244427067,-0.0063613513221374,-0.0004479699851948,-0.0203515220390823
A02,A17,1829910790,RUN_010,RUN_145,machine_04,machine_09,cross_machine,False,1584.0,-8.0,0.0001325750878068,0.0017086869057792,-0.0017776741947889,0.0001651124275705,-0.0016450991069821,0.0018737993333498
A02,A17,1385197443,RUN_013,RUN_148,machine_05,machine_10,cross_machine,False,-148.0,0.0,-0.0004980290363606,-0.0216198622471011,0.0013128893285024,-0.0009320262520395,0.0008148602921418,-0.0225518884991405
A02,A17,1343723075,RUN_016,RUN_151,machine_06,machine_01,cross_machine,False,-375.0,4.0,0.000378155273256,-0.0032519910791706,-0.0010145841662794,0.002291577701639,-0.0006364288930233,-0.0009604133775316
A02,A19,1829910790,RUN_010,RUN_163,machine_04,machine_05,cross_machine,False,1873.0,-14.0,0.0010667743389038,0.0032614721924,-0.0021886128272415,-0.0030631108140218,-0.0011218384883376,0.0001983613783782
A02,A19,1385197443,RUN_013,RUN_166,machine_05,machine_06,cross_machine,False,310.0,-5.0,-0.0011536637053738,-0.0133177543703211,0.0010658064601071,-0.0112415005442748,-8.785724526672034e-05,-0.0245592549145958
A02,A19,1343723075,RUN_016,RUN_169,machine_06,machine_07,cross_machine,False,1382.0,-11.0,0.0008600803341045,-0.0255450896205783,-0.0009566971219211,-1.890970666226788e-05,-9.661678781658356e-05,-0.0255639993272406
A03,A18,1829910790,RUN_019,RUN_154,machine_07,machine_02,cross_machine,False,-1306.0,10.0,-0.000985383120558,-0.0074967440505393,0.0009084196006686,0.0014440806068142,-7.696351988950578e-05,-0.006052663443725
A03,A18,1385197443,RUN_022,RUN_157,machine_08,machine_03,cross_machine,False,-1408.0,6.0,-0.0005696272694557,-0.0087080137071349,0.0008254803194351,0.003964623307341,0.0002558530499793,-0.0047433903997938
A03,A18,1343723075,RUN_025,RUN_160,machine_09,machine_04,cross_machine,False,-59.0,0.0,0.003134015090663,0.0232604178757585,-0.0029762954841203,-0.0097369026860014,0.0001577196065426,0.013523515189757
