comparison_type,reference_condition,comparator_condition,control,n,mean_diff_delta_FN,std_diff_delta_FN,worst_diff_delta_FN,FN_one_sided_95_upper,safety_noninferior,strict_safety_improvement,mean_diff_delta_TN,std_diff_delta_TN,worst_diff_delta_TN,TN_one_sided_95_lower,confirmed_TN_improvement,FN_win_rate,TN_win_rate,median_diff_delta_TN,median_diff_delta_FN,mean_diff_delta_gap_q68_q050,std_diff_delta_gap_q68_q050,median_diff_delta_gap_q68_q050,mean_diff_delta_tail_gap_q90_q05,std_diff_delta_tail_gap_q90_q05,median_diff_delta_tail_gap_q90_q05,mean_diff_delta_normal_q68,std_diff_delta_normal_q68,median_diff_delta_normal_q68,mean_diff_delta_normal_q90,std_diff_delta_normal_q90,median_diff_delta_normal_q90,mean_diff_delta_defect_q50,std_diff_delta_defect_q50,median_diff_delta_defect_q50,mean_diff_delta_defect_q05,std_diff_delta_defect_q05,median_diff_delta_defect_q05,exploratory
guard,B04,B03,R1,3,-11.0,4.358898943540674,-8.0,-3.651530771650468,True,True,2447.333333333333,1542.2377680932773,672.0,-152.6550876935139,False,1.0,1.0,3214.0,-9.0,-0.0001664254388468,0.0009353807699193,-0.0004435563160136,-0.0143752345386604,0.0110338694779946,-0.0154149448032117,0.0001360702323667,0.001301484435399,0.0007657044806972,0.0078015001322357,0.0065016542395804,0.0090882391006115,-3.035520648012972e-05,0.0005349685551788,-0.0001662219122749,-0.0065737344064247,0.0157066264243829,-0.0018513684273866,True
guard,B04,B03,R2,3,-8.333333333333334,22.722969289539016,16.0,29.9742858071265,False,True,2421.6666666666665,3428.307794427644,-1060.0,-3357.9613217258816,False,0.6666666666666666,0.6666666666666666,2531.0,-12.0,-0.0011455402209941,0.0004403174235467,-0.0013111340891678,-0.0082051096166217,0.0104984312288234,-0.013655228894086,0.0010944120459832,0.0011657456200472,0.0004277945078523,0.0046650328928923,0.0197699824075882,0.0107266064610063,-5.112817501085054e-05,0.000935512075495,-0.0002314711073747,-0.0035400767237293,0.0242526820344616,0.0058369096553516,True
guard,B05,B04,R1,3,0.0,15.716233645501712,17.0,26.49528259898353,False,True,534.0,3873.594067529534,-3476.0,-5996.315838255327,False,0.6666666666666666,0.6666666666666666,823.0,-3.0,0.0012967007527634,0.0021232394068502,0.0017287313381404,0.0142837621089528,0.0062552450975875,0.0132294265394408,-0.0008194659272606,0.0023324229731246,-0.0005958530558798,-0.0077484299783234,0.0107913411049985,-0.0108201394497684,0.0004772348255028,0.0006142670227365,0.0003837690623346,0.0065353321306294,0.0170257558701592,0.0024092870896724,True
guard,B05,B04,R2,3,-2.6666666666666665,12.055427546683417,10.0,17.65702964032796,False,True,1274.3333333333333,3428.9159122575948,-2185.0,-4506.319853215559,False,0.6666666666666666,0.6666666666666666,1336.0,-4.0,5.849661914758553e-05,0.0008628033947429,-5.924449620264838e-05,-0.0083890488794938,0.0023146883801004,-0.0085743163543423,0.0001240199322698,0.000552860120387,6.045121272996862e-05,-0.0030265103006871,0.018008748884552,-0.008821233929726,0.0001825165514174,0.0003445081486288,1.206716527368812e-06,-0.011415559180181,0.0185452776329774,-0.0148085281851714,True
guard,B04,B01,R1,3,-10.333333333333334,10.692676621563626,-1.0,7.69296324752465,False,True,438.3333333333333,2393.51317801539,-1253.0,-3596.781534920108,False,1.0,0.3333333333333333,-609.0,-8.0,0.0004138377502072,0.0003061699788141,0.0005403121208581,-0.0004398866501689,0.0080364564408357,-0.003004191218924,-0.0006880620889901,0.0007213852578765,-0.0006005893416483,0.0096549270283383,0.0053233081898514,0.0106371553901405,-0.0002742243387828,0.0004695878928473,-6.02772207901614e-05,0.0092150403781693,0.00926374929867,0.0075374556190016,True
guard,B04,B01,R2,3,-11.666666666666666,21.361959960016154,4.0,24.3464888243626,False,True,558.3333333333334,3229.1920558141683,-1917.0,-4885.614498892834,False,0.6666666666666666,0.3333333333333333,-619.0,-3.0,-0.0002637194724324,0.0008789793480657,-0.0005493825346036,0.001815307455827,0.0065064599821053,0.0038766929440677,-0.0001074041816437,0.0010300712744536,-0.0004889156286029,0.0045263440114652,0.0078494751285968,0.0073134759801939,-0.0003711236540762,0.0012938635430192,0.0002336430232078,0.0063416514672922,0.0098549033096345,0.0018413312350897,True
guard,B04,B02,R1,3,-1.0,10.583005244258365,7.0,16.841406600200667,False,True,251.0,2496.001402243196,-1566.0,-3956.89509825218,False,0.3333333333333333,0.3333333333333333,-778.0,3.0,-0.0015111240584424,0.0017822683841409,-0.0014274852516961,-0.0169631777826162,0.0030983254636937,-0.0162296932422513,0.0009542860374927,0.002196207597725,0.0016029366480761,0.0130276626330905,0.0015816298725194,0.0131459679315435,-0.0005568380209498,0.0007206888156796,-0.0005806283430562,-0.0039355151495256,0.0038141431860725,-0.0048394911959945,True
guard,B04,B02,R2,3,5.666666666666667,16.921386861996076,20.0,34.19366219168139,False,False,-388.6666666666667,2063.531035224169,-2379.0,-3867.4796674956606,False,0.3333333333333333,0.3333333333333333,-528.0,10.0,-0.0014298525028702,0.0008895527757073,-0.0018194275432374,-1.0275421754598245e-05,0.0048188327866607,-0.0006311953999822,0.0012459670550919,0.0008299388517619,0.0014597442204274,0.0089123649149744,0.0040912361546136,0.0090476622005894,-0.0001838854477782,0.0001528936720181,-0.0001100508372608,0.0089020894932198,0.007534527532301,0.0123030788258266,True
guard,B04,B06,R1,3,6.0,30.265491900843116,30.0,57.02321453076658,False,False,-87.0,5677.012946964275,-4153.0,-9657.61760092617,False,0.3333333333333333,0.3333333333333333,-2507.0,16.0,-0.001484663010117,0.0017588947778902,-0.0013666632471498,-0.0184189619852842,0.0156188291446427,-0.0198961796331451,0.0011520241898622,0.0018166936581139,0.0018229805609021,0.0110119895168345,0.0215866574679409,0.0075048530749522,-0.0003326388202548,0.0006841347412396,-0.0006924541099541,-0.0074069724684496,0.0184073305712195,0.0008907720151571,True
guard,B04,B06,R2,3,-2.6666666666666665,26.025628394590846,24.0,41.20875505870192,False,True,760.3333333333334,3915.782722947397,-3649.0,-5841.106437855338,False,0.6666666666666666,0.6666666666666666,2098.0,-4.0,-0.0006206043121765,0.0008018294441924,-0.0008350295654023,-0.0098110109045357,0.0238436782149549,-0.0143663837819017,0.0003066552638945,0.0002092904682669,0.0004044275175188,0.0035677423404474,0.0259960306973071,0.0085340294354226,-0.000313949048282,0.0006141680158487,-0.0003858630931157,-0.0062432685640883,0.03176108793519,-0.004325995496999,True
