run_slot,budget,completed_epochs,expected_steps_per_epoch_by_budget,recorded_steps_per_epoch,simple_expected_optimizer_steps,recorded_optimizer_steps_total,epochs_exact,steps_per_epoch_exact,optimizer_steps_exact,partial_step_reconciled,discarded_partial_optimizer_steps,resume_count,status
RUN_084,3000,200,961,961,192200,192200,True,True,True,False,0,0,PASS
RUN_085,3000,200,961,961,192200,192200,True,True,True,False,0,0,PASS
RUN_086,3000,200,961,961,192200,192200,True,True,True,False,0,0,PASS
RUN_087,3000,200,961,961,192200,192200,True,True,True,False,0,0,PASS
RUN_088,3000,200,961,961,192200,192200,True,True,True,False,0,0,PASS
RUN_089,3000,200,961,961,192200,192200,True,True,True,False,0,0,PASS
RUN_090,3000,200,961,961,192200,192200,True,True,True,False,0,0,PASS
RUN_091,600,200,943,943,188600,188600,True,True,True,False,0,1,PASS
RUN_092,600,200,943,943,188600,188600,True,True,True,False,0,0,PASS
RUN_093,600,200,943,943,188600,188600,True,True,True,False,0,0,PASS
RUN_094,600,200,943,943,188600,188600,True,True,True,False,0,0,PASS
RUN_095,600,200,943,943,188600,188600,True,True,True,False,0,0,PASS
RUN_096,600,200,943,943,188600,188600,True,True,True,False,0,0,PASS
RUN_097,600,200,943,943,188600,188600,True,True,True,False,0,0,PASS
RUN_098,600,200,943,943,188600,188600,True,True,True,False,0,0,PASS
RUN_099,600,200,943,943,188600,188600,True,True,True,False,0,0,PASS
RUN_100,3000,200,961,961,192200,192200,True,True,True,False,0,1,PASS
RUN_101,3000,200,961,961,192200,192200,True,True,True,False,0,0,PASS
RUN_102,3000,200,961,961,192200,192200,True,True,True,False,0,0,PASS
RUN_103,3000,200,961,961,192200,192200,True,True,True,False,0,1,PASS
RUN_104,3000,200,961,961,192200,192200,True,True,True,False,0,0,PASS
RUN_105,3000,200,961,961,192200,192200,True,True,True,False,0,0,PASS
RUN_106,3000,200,961,961,192200,192200,True,True,True,False,0,0,PASS
RUN_107,3000,200,961,961,192200,192200,True,True,True,False,0,1,PASS
RUN_108,3000,200,961,961,192200,192200,True,True,True,False,0,0,PASS
RUN_109,3000,200,961,961,192200,192200,True,True,True,False,0,0,PASS
RUN_110,3000,200,961,961,192200,192200,True,True,True,False,0,0,PASS
RUN_111,3000,200,961,961,192200,192200,True,True,True,False,0,0,PASS
RUN_112,3000,200,961,961,192200,192200,True,True,True,False,0,0,PASS
RUN_113,3000,200,961,961,192200,192200,True,True,True,False,0,0,PASS
RUN_114,3000,200,961,961,192200,192200,True,True,True,False,0,0,PASS
RUN_115,3000,200,961,961,192200,192200,True,True,True,False,0,0,PASS
RUN_116,3000,200,961,961,192200,192200,True,True,True,False,0,0,PASS
RUN_117,3000,200,961,961,192200,192200,True,True,True,False,0,0,PASS
RUN_118,3000,200,961,961,192200,192200,True,True,True,False,0,0,PASS
RUN_119,3000,200,961,961,192200,192200,True,True,True,False,0,0,PASS
RUN_120,3000,200,961,961,192200,192200,True,True,True,False,0,0,PASS
RUN_121,3000,200,961,961,192200,192200,True,True,True,False,0,0,PASS
RUN_122,3000,200,961,961,192200,192200,True,True,True,False,0,0,PASS
