condition_slot,analysis_cohort,control,machine_confounded,n,mean_delta_FN,std_delta_FN,worst_delta_FN,FN_one_sided_95_upper,safety_noninferior,strict_safety_improvement,mean_delta_TN,std_delta_TN,worst_delta_TN,TN_one_sided_95_lower,confirmed_TN_improvement,FN_win_rate,TN_win_rate,median_delta_TN,median_delta_FN,mean_delta_gap_q68_q050,std_delta_gap_q68_q050,median_delta_gap_q68_q050,mean_delta_tail_gap_q90_q05,std_delta_tail_gap_q90_q05,median_delta_tail_gap_q90_q05,mean_delta_normal_q68,std_delta_normal_q68,median_delta_normal_q68,mean_delta_normal_q90,std_delta_normal_q90,median_delta_normal_q90,mean_delta_defect_q50,std_delta_defect_q50,median_delta_defect_q50,mean_delta_defect_q05,std_delta_defect_q05,median_delta_defect_q05,exploratory
A02,discovery,R1,False,3,2.0,7.0,7.0,13.80098122592934,False,False,-673.6666666666666,1083.4123560922376,-1800.0,-2500.1422201215764,False,0.3333333333333333,0.3333333333333333,-582.0,5.0,0.0001606148430884,0.000302292876485,3.9998536501273385e-05,-0.0188353439099974,0.0074791513362478,-0.0176023991156089,6.656340702704845e-05,0.0005037092444634,4.676276215496988e-06,-0.0074659274360826,0.0023596850041052,-0.0068061072607635,0.0002271782501154,0.0002686016426835,0.0001012521293478,-0.0263012713460801,0.0081414229227647,-0.027687688827273,True
A02,confirmation,R1,True,5,8.2,2.949576240750525,11.0,11.012099047588116,False,False,-859.0,1075.0586030538057,-2064.0,-1883.951052962024,False,0.0,0.2,-426.0,8.0,0.0004376572186012,0.0010863859937483,0.0009668283524639,-0.0005356023395441,0.0085371999521185,0.0008179845474374,-0.0005046439706391,0.0006944165247468,-0.0004387952246069,0.0023485747610865,0.0080399551611982,0.0067744892148831,-6.698675203793414e-05,0.0006039667310206,4.7603680385588376e-05,0.0018129724215423,0.013657216291394,0.0061724934795666,False
A02,pooled,R1,True,8,5.875,5.409977554746151,11.0,9.49879063599136,False,False,-789.5,1002.4948877675138,-2064.0,-1461.005851948324,False,0.125,0.25,-504.0,7.0,0.0003337663277839,0.0008491685826171,0.0002722967307741,-0.0073980054284641,0.0121379661564647,-0.0063256363046234,-0.0002904412040143,0.000659878154158,-0.0002935126409491,-0.0013318635628519,0.0080205814956425,-0.0035124042918313,4.332512376958864e-05,0.000502230226027,7.172691483708915e-05,-0.008729868991316,0.0183640325059485,-0.0123109766771001,False
A02,discovery,R2,False,3,1.3333333333333333,12.096831541082704,15.0,21.726830748982884,False,False,-345.6666666666667,1973.0140225891284,-2620.0,-3671.881157962328,False,0.6666666666666666,0.6666666666666666,676.0,-3.0,-0.0003568214331895,0.0014001805606137,-0.0002615658864274,-0.016586888432679,0.0142866254360966,-0.0127162213436293,-2.835202674057735e-06,0.0012987517449871,-0.0004056308213648,0.0015165983413942,0.0037481993145639,0.0016876757230534,-0.0003596566358636,0.000304076166001,-0.0003526062061164,-0.0150702900912848,0.0156321697537807,-0.0150304317098741,True
A02,confirmation,R2,True,5,7.2,8.955445270895245,19.0,15.73803972553156,False,False,-707.2,1261.7637259011688,-2048.0,-1910.1540117888476,False,0.2,0.4,-1015.0,9.0,-7.140908741547492e-05,0.0007159924684723,0.0001669012481806,-0.0047969613494218,0.0109536227061549,-0.0067848500884084,0.0001363628484174,0.0010249894076236,0.0006290398909571,0.002222602202159,0.0056971753577476,0.0054948891769898,6.495376100201788e-05,0.0005066157633132,5.625055971480997e-05,-0.0025743591472628,0.0123894621292825,-0.0081419277285761,False
A02,pooled,R2,True,8,5.0,9.841602656942763,19.0,11.59224686063421,False,False,-571.625,1434.2162556104092,-2620.0,-1532.3128003602842,False,0.375,0.5,-238.0,5.0,-0.0001784387170807,0.000935363180239,-4.733231912340541e-05,-0.0092181840056433,0.0128105547885678,-0.0073460072096631,8.416357925815961e-05,0.001042815934714,0.0001117045347961,0.0019578507543722,0.0047639089914616,0.0034320026952136,-9.427513782259143e-05,0.0004705033756705,-0.0001901030693216,-0.0072603332512711,0.0141194020203181,-0.0096137372799863,False
