triad_id,condition_slot,control,smd_mean_p_defect,smd_correct_rate,smd_std_p_defect,max_abs_smd
TRIAD_001,A01,R1,3.1388435940727053,-3.434989514315878,5.042555330569844,5.042555330569844
TRIAD_001,A01,R2,0.037933224725357,-0.0400896679930534,0.0983362813837203,0.0983362813837203
TRIAD_002,A01,R1,3.5263758700141388,-3.92586472345522,5.731137912334383,5.731137912334383
TRIAD_002,A01,R2,0.0377962330002693,-0.0558288362561367,0.0996360259327087,0.0996360259327087
TRIAD_003,A01,R1,3.042227821287077,-3.229456603805669,5.5579134284910285,5.5579134284910285
TRIAD_003,A01,R2,0.0622072909409174,-0.0775604124502326,0.0991227192449744,0.0991227192449744
TRIAD_004,A02,R1,2.035793126157127,-1.3565689769234188,3.474793338843312,3.474793338843312
TRIAD_004,A02,R2,0.0557216862749083,-0.0640057298761713,0.099916071890507,0.099916071890507
TRIAD_005,A02,R1,1.996152524493385,-1.3302754092100055,3.4781423003785346,3.4781423003785346
TRIAD_005,A02,R2,0.051954324540227,-0.0618731489633203,0.0998952689706044,0.0998952689706044
TRIAD_006,A02,R1,1.9769305945440303,-1.3114181624925636,3.4993852904152054,3.4993852904152054
TRIAD_006,A02,R2,0.0628654712138579,-0.0695048577036364,0.0994493758870661,0.0994493758870661
TRIAD_007,A03,R1,1.4758066575390498,-0.8323260790632853,2.45743228727376,2.45743228727376
TRIAD_007,A03,R2,0.0699201669042021,-0.0528855839574514,0.0998646644668351,0.0998646644668351
TRIAD_008,A03,R1,1.407686273204986,-0.7912950341221621,2.3822259330634457,2.3822259330634457
TRIAD_008,A03,R2,0.0721599523076366,-0.0563181548615831,0.0998618297217976,0.0998618297217976
TRIAD_009,A03,R1,1.433483970726228,-0.8114875393920593,2.442028724116756,2.442028724116756
TRIAD_009,A03,R2,0.0755636839791489,-0.0575560552054361,0.0999208904812818,0.0999208904812818
TRIAD_010,A04,R1,2.147994592948192,-1.452856126372378,3.5154806269372565,3.5154806269372565
TRIAD_010,A04,R2,0.0585862593298532,-0.0674662085569306,0.0993469808074245,0.0993469808074245
TRIAD_011,A04,R1,2.0578359887762008,-1.4007902882422814,3.5160329743697085,3.5160329743697085
TRIAD_011,A04,R2,0.0632026622453404,-0.0736438107649048,0.0992524206220081,0.0992524206220081
TRIAD_012,A04,R1,2.058326746271819,-1.3944652132983415,3.5582562400101385,3.5582562400101385
TRIAD_012,A04,R2,0.0668305051219085,-0.0737108230166621,0.0992997970012766,0.0992997970012766
TRIAD_013,A05,R1,6.493211262683683,-7.082052707575624,1.946838276042992,7.082052707575624
TRIAD_013,A05,R2,0.0982362710350896,-0.059445763087507,-0.0211622202788279,0.0982362710350896
TRIAD_014,A05,R1,7.220469174868112,-7.853747291592926,2.0779173321273414,7.853747291592926
TRIAD_014,A05,R2,0.0973213698226285,-0.0338590639879234,-0.0058327567432015,0.0973213698226285
TRIAD_015,A05,R1,7.463812853363214,-8.357851024917949,2.001068417542464,8.357851024917949
TRIAD_015,A05,R2,0.0967021771112218,-0.0442304385416598,-0.0185816376600774,0.0967021771112218
TRIAD_016,A06,R1,5.535713432515556,-4.447407999004397,2.617763562219284,5.535713432515556
TRIAD_016,A06,R2,0.0996473790595963,-0.0919161772666539,-0.0134801523230598,0.0996473790595963
TRIAD_017,A06,R1,5.495531699677119,-4.433842704318525,2.6309722197793253,5.495531699677119
TRIAD_017,A06,R2,0.0998019268621292,-0.0933943601617198,-0.0086020469733968,0.0998019268621292
TRIAD_018,A06,R1,5.49191129040401,-4.45871826711299,2.628661498231423,5.49191129040401
TRIAD_018,A06,R2,0.0985316519278691,-0.0894578192019912,-0.0098040754218247,0.0985316519278691
TRIAD_019,A07,R1,4.568363684353618,-3.908225479131605,2.6518019351147384,4.568363684353618
TRIAD_019,A07,R2,-0.0999728257366726,0.0310156298310771,-0.0845131828260642,0.0999728257366726
TRIAD_020,A07,R1,5.296441945491908,-4.432634340753058,2.681854145392693,5.296441945491908
TRIAD_020,A07,R2,-0.0988515381083276,0.0083730876261973,-0.0905237890145842,0.0988515381083276
TRIAD_021,A07,R1,4.207535941854483,-3.755089312827925,2.462121825126182,4.207535941854483
TRIAD_021,A07,R2,-0.0984917319404077,0.0302387616088289,-0.0897485335659826,0.0984917319404077
TRIAD_022,A08,R1,4.000673892006834,-2.727527069349964,2.757155400811334,4.000673892006834
TRIAD_022,A08,R2,0.0995847048925523,-0.0850079262243274,0.0690913089509384,0.0995847048925523
TRIAD_023,A08,R1,4.22035109003457,-2.7988064022855896,2.7681257656176763,4.22035109003457
TRIAD_023,A08,R2,0.0995766343588396,-0.0850294959169722,0.0763791637437902,0.0995766343588396
TRIAD_024,A08,R1,4.12849536172426,-2.756484665731022,2.732744301498225,4.12849536172426
TRIAD_024,A08,R2,0.0994123750064425,-0.0842884023193435,0.0816531183489288,0.0994123750064425
TRIAD_025,A09,R1,6.230831328161539,-8.665052554426909,1.6917065983315671,8.665052554426909
TRIAD_025,A09,R2,0.0288270439668923,-0.098552323569831,-0.0541876839732565,0.098552323569831
TRIAD_026,A09,R1,7.187493842286552,-10.847672925427544,1.859144652058212,10.847672925427544
TRIAD_026,A09,R2,0.0233303089602976,-0.0986702918852031,-0.061061977666034,0.0986702918852031
TRIAD_027,A09,R1,6.483794412757922,-9.21392530169749,1.6743948524661956,9.21392530169749
TRIAD_027,A09,R2,0.0380952451679416,-0.0994614116020075,-0.0468154971029458,0.0994614116020075
TRIAD_028,A10,R1,5.112168785941204,-4.997719558985421,2.787631197957182,5.112168785941204
TRIAD_028,A10,R2,0.0885286061153746,-0.0995837613183874,-0.0439952869326621,0.0995837613183874
TRIAD_029,A10,R1,5.083181814080802,-5.015314413183517,2.783438545201556,5.083181814080802
TRIAD_029,A10,R2,0.0908991621893916,-0.0996842080667216,-0.042323772952286,0.0996842080667216
