run_slot,machine_id,resume_count,segment_count,training_duration_seconds,training_duration_hours,duration_complete,optimizer_steps_total,epochs
RUN_001,machine_01,0,1,49226.929973602295,13.674147214889526,True,188600,200
RUN_002,machine_01,0,1,48862.21527218819,13.57283757560783,True,188600,200
RUN_003,machine_01,0,1,48676.75007128716,13.521319464246432,True,188600,200
RUN_004,machine_02,0,1,50689.228509664536,14.080341252684594,True,188600,200
RUN_005,machine_02,0,1,51456.94786810875,14.293596630030208,True,188600,200
RUN_006,machine_02,0,1,51381.1485517025,14.272541264361806,True,188600,200
RUN_007,machine_03,0,1,50159.504031181335,13.933195564217035,True,188600,200
RUN_008,machine_03,0,1,49454.09851980209,13.737249588833915,True,188600,200
RUN_009,machine_03,0,1,49472.23510503769,13.742287529177135,True,188600,200
RUN_010,machine_04,0,1,50447.05967998505,14.01307213332918,True,192200,200
RUN_011,machine_04,0,1,50722.958101511,14.089710583753057,True,192200,200
RUN_012,machine_04,0,1,50518.269349098206,14.032852596971724,True,192200,200
RUN_013,machine_05,0,1,51047.61092233658,14.179891922871272,True,192200,200
RUN_014,machine_05,0,1,51464.047615766525,14.295568782157368,True,192200,200
RUN_015,machine_05,0,1,50351.54992723465,13.98654164645407,True,192200,200
RUN_016,machine_06,0,1,53338.914737701416,14.81636520491706,True,192200,200
RUN_017,machine_06,0,1,52582.90226244927,14.60636173956924,True,192200,200
RUN_018,machine_06,0,1,52941.21851634979,14.705894032319389,True,192200,200
RUN_019,machine_07,0,1,50161.12469959259,13.93364574988683,True,197000,200
RUN_020,machine_07,0,1,50361.08799791336,13.98919111053149,True,197000,200
RUN_021,machine_07,0,1,49658.9669342041,13.794157481723362,True,197000,200
RUN_022,machine_08,0,1,50703.2420232296,14.084233895341557,True,197000,200
RUN_023,machine_08,0,1,51069.63350009918,14.186009305583106,True,197000,200
RUN_024,machine_08,0,1,50498.53603506088,14.027371120850246,True,197000,200
RUN_025,machine_09,0,1,53368.0695168972,14.824463754693667,True,197000,200
RUN_026,machine_09,0,1,53430.15624666214,14.84171006851726,True,197000,200
RUN_027,machine_09,0,1,52922.7523458004,14.700764540500112,True,197000,200
RUN_028,machine_10,0,1,51409.28752970696,14.28035764714082,True,192200,200
RUN_029,machine_10,0,1,50953.278379678726,14.153688438799646,True,192200,200
RUN_030,machine_10,0,1,51534.86405134201,14.31524001426167,True,192200,200
RUN_031,machine_01,0,1,49243.14370942116,13.678651030394766,True,192200,200
RUN_032,machine_01,1,2,,,False,192200,200
RUN_033,machine_01,0,1,48750.30225110054,13.541750625305706,True,192200,200
RUN_034,machine_02,0,1,51195.22976112366,14.220897155867682,True,192200,200
RUN_035,machine_02,0,1,50840.89107775688,14.122469743821355,True,192200,200
RUN_036,machine_02,1,2,,,False,192200,200
RUN_037,machine_03,0,1,49233.32003259659,13.67592223127683,True,188600,200
RUN_038,machine_03,0,1,48935.888441085815,13.59330234474606,True,188600,200
RUN_039,machine_03,0,1,49008.78475809097,13.613551321691936,True,188600,200
RUN_040,machine_04,0,1,48684.67759799957,13.52352155499988,True,188600,200
RUN_041,machine_04,1,2,,,False,188600,200
RUN_042,machine_04,0,1,47890.893607616425,13.303026002115674,True,188600,200
RUN_043,machine_05,0,1,49103.08034396172,13.639744539989366,True,188600,200
RUN_044,machine_05,1,2,,,False,188600,200
