comparison_type,reference_condition,comparator_condition,control,n,mean_diff_delta_FN,std_diff_delta_FN,worst_diff_delta_FN,FN_one_sided_95_upper,safety_noninferior,strict_safety_improvement,mean_diff_delta_TN,std_diff_delta_TN,worst_diff_delta_TN,TN_one_sided_95_lower,confirmed_TN_improvement,FN_win_rate,TN_win_rate,median_diff_delta_TN,median_diff_delta_FN,mean_diff_delta_gap_q68_q050,std_diff_delta_gap_q68_q050,median_diff_delta_gap_q68_q050,mean_diff_delta_tail_gap_q90_q05,std_diff_delta_tail_gap_q90_q05,median_diff_delta_tail_gap_q90_q05,mean_diff_delta_normal_q68,std_diff_delta_normal_q68,median_diff_delta_normal_q68,mean_diff_delta_normal_q90,std_diff_delta_normal_q90,median_diff_delta_normal_q90,mean_diff_delta_defect_q50,std_diff_delta_defect_q50,median_diff_delta_defect_q50,mean_diff_delta_defect_q05,std_diff_delta_defect_q05,median_diff_delta_defect_q05,exploratory
cross_method,A01,A05,R1,3,-2.333333333333333,5.859465277082315,2.0,7.544872342214273,False,True,454.6666666666667,1557.266943504977,-854.0,-2170.6587567708475,False,0.3333333333333333,0.6666666666666666,41.0,0.0,-0.0007059679346541,0.0002436776168382,-0.0007108937151477,0.0046788169369924,0.0102319277924369,0.0100047171944144,0.0009090508845438,0.0005404605735698,0.001108322106935,-0.0062827038133195,0.0061906772828275,-0.0096693069447192,0.0002030829498896,0.0003883528018952,0.0001611767878132,-0.0016038868763271,0.0140250227779435,0.0011079833676633,True
cross_method,A01,A05,R2,3,0.6666666666666666,17.243356208503418,16.0,29.7364556507468,False,False,-249.33333333333331,2731.852179993152,-3135.0,-4854.838517349521,False,0.3333333333333333,0.6666666666666666,90.0,4.0,-0.0008747228595297,0.0014500006907573,-0.0005944174614692,-0.0045706592527256,0.0132724630691446,0.0011120537557038,0.0003723190104754,0.0013132481668207,-0.000136532323811,-0.0024364007111849,0.0056595972605005,-0.004200612936826,-0.0005024038490544,0.0019434239868802,-0.0001956975697482,-0.0070070599639105,0.0180968207249522,-0.0030885591811222,True
cross_method,A01,A07,R1,3,-7.0,10.535653752852738,3.0,10.761578877186736,False,True,1285.3333333333333,3683.667239767096,-2607.0,-4924.793515104159,False,0.6666666666666666,0.6666666666666666,1746.0,-6.0,-0.0007153686941758,0.000880471048526,-0.0005870209005767,-0.0061054175724707,0.0094870382331204,-0.0079323598643438,0.0005107323333249,0.0007814056538167,7.028688988566095e-05,-0.0065749776103508,0.0104048468299334,-0.0087777350642115,-0.000204636360851,0.0012562384561035,0.0001641711133607,-0.0126803951828216,0.0198911823307491,-0.0167100949285554,True
cross_method,A01,A07,R2,3,-11.0,24.020824298928627,16.0,29.495613797572,False,True,1438.6666666666667,3099.900213447738,-2044.0,-3787.31393635492,False,0.6666666666666666,0.6666666666666666,2464.0,-19.0,-0.0001591785025139,0.0023195329231301,0.001076563840217,-0.0002165734605158,0.0084127492828497,0.0041980393096846,0.0005137327397554,0.000969484425916,0.0005615715658423,-0.0037322454156803,0.0108837398009926,-0.0021482230780368,0.0003545542372415,0.0016232013646405,0.0005977783660147,-0.0039488188761962,0.0188201552918699,0.0029217442900934,True
cross_method,A01,A09,R1,3,-15.0,8.54400374531753,-7.0,-0.5960531724625522,True,True,1940.3333333333333,2889.6803168055344,150.0,-2931.2471191751893,False,1.0,1.0,397.0,-14.0,0.0018620819654791,0.0014205032255169,0.0016928890581436,0.011268566115645,0.0209918664006063,0.0056077494083262,-0.0011465464255912,0.0015648198519179,-0.0017244077327239,-0.0076967043034164,0.0085231723351516,-0.0036845942339134,0.0007155355398879,0.0006507130005059,0.0010193495958947,0.0035718618122286,0.0251483682139042,-0.0099970092478241,True
cross_method,A01,A09,R2,3,-9.333333333333334,19.03505538035898,9.0,22.756999692115457,False,True,1806.0,3562.394138778021,-1536.0,-4199.678050154307,False,0.6666666666666666,0.6666666666666666,1400.0,-8.0,0.0024526125115669,0.0014858104690304,0.002563502051768,-0.004266381170528,0.0153701216286324,0.0026966306086061,-0.0014682201803882,0.0018131359425763,-0.0015622836963595,-0.0034244212096653,0.0064423284005894,-0.0051959894094182,0.0009843923311787,0.0018242186227888,0.0006473780087099,-0.0076908023801933,0.0186460158502052,-0.0060989829919695,True
cross_method,A01,A11,R1,3,-5.0,27.622454633866266,21.0,41.56743836404867,False,True,1023.3333333333334,5124.433269478034,-3923.0,-7615.715353329236,False,0.6666666666666666,0.6666666666666666,684.0,-2.0,0.0005399056814712,0.0015913288302306,0.001348542160212,0.016735757497423,0.0175454040687615,0.0249451919485505,-0.0001360531009474,0.0016307400344732,-0.0004275854224165,-0.0123553782862781,0.0035722310666908,-0.0128939734304131,0.0004038525805237,0.0004834424696393,0.0003274243316031,0.0043803792111449,0.014154527407845,0.0120512185181374,True
cross_method,A01,A11,R2,3,6.0,18.0,24.0,36.34538029524687,False,False,-1088.6666666666667,3162.4304471930027,-3878.0,-6420.0641431855165,False,0.3333333333333333,0.3333333333333333,-1735.0,6.0,0.0007936309857812,0.0016049962747069,0.0007016568381235,-0.0008035742284111,0.0236663524224925,0.0051799410640493,-0.0007560847235505,0.0014880516842975,-0.000248230896614,-0.0008797014530687,0.0084341953678787,0.0014384764121451,3.754626223069953e-05,0.0004032871595043,1.1055044226715438e-05,-0.0016832756814798,0.0165441168191106,0.0066184174761945,True
cross_method,A02,A04,R1,3,-2.333333333333333,3.055050463303893,1.0,2.817037118340377,False,True,-319.6666666666667,1216.86413922563,-1708.0,-2371.1225040249988,False,0.6666666666666666,0.6666666666666666,187.0,-3.0,0.0001640316348197,0.0006824948480721,-0.0001671171100793,-0.0162785416801044,0.0129768873445896,-0.0161527426456153,9.725652374828708e-05,0.0006888524932071,0.0004708853233788,-0.0005431801648262,0.002293864949894,6.745869446125874e-05,0.000261288158568,3.8453129137652766e-05,0.000251238611665,-0.0168217218449306,0.0115401373623277,-0.014769167746257,True
cross_method,A02,A04,R2,3,3.6666666666666665,9.50438495292217,13.0,19.68967643715807,False,False,-973.0,2880.80943486375,-3102.0,-5829.625436615318,False,0.3333333333333333,0.3333333333333333,-2122.0,4.0,-0.0002239394726269,0.0007390341191851,-0.0006400757688163,-0.0130748215359995,0.0061658258762148,-0.0129252130572901,-0.0002426635542206,0.0012714495874015,-0.000905021621296,-0.0009552930735148,0.0097297458980553,0.0026855969527055,-0.0004666030268475,0.0010754845431423,-0.0004168476434333,-0.0140301146095144,0.015715791770795,-0.0102396161045846,True
cross_method,A02,A06,R1,3,4.666666666666667,12.096831541082702,14.0,25.060164082316216,False,False,-1018.6666666666666,2326.6940781575336,-3630.0,-4941.134257354956,False,0.3333333333333333,0.3333333333333333,-260.0,9.0,0.0014543859242246,0.0005702018047022,0.001772620580882,-0.0132594312683618,0.0060652455220885,-0.0156453871455199,-0.0009022741303407,0.0005672409476892,-0.0010809802676544,-0.0064546755108249,0.005486416268316,-0.0048651879289398,0.0005521117938839,0.000151085711976,0.0005288931467235,-0.0197141067791868,0.0026160730050494,-0.0189243745366691,True
cross_method,A02,A06,R2,3,-3.333333333333333,18.0092568789868,15.0,27.02765271264696,False,True,128.33333333333334,3107.631627676185,-3460.0,-5110.681308853937,False,0.6666666666666666,0.6666666666666666,1906.0,-4.0,-0.0001013095032167,0.0019221175125886,0.0004460141499178,-0.0214421866562185,0.0149177313274786,-0.0205111112580468,-8.669586680484787e-06,0.0013071677990348,-0.0007029470260147,0.0080790526821676,0.000511862949862,0.008140714839461,-0.0001099790898972,0.0007958361691322,-0.0003761940119355,-0.0133631339740509,0.0152456374807262,-0.0119538199017317,True
cross_method,A02,A08,R1,3,-12.666666666666666,9.018499505645789,-4.0,2.5372109550731885,False,True,1909.3333333333333,1531.770652980835,142.0,-673.0090549890035,False,1.0,1.0,2732.0,-12.0,0.0028500947863612,0.0004310385718863,0.002977756459268,-0.0111244409274922,0.0172240544817253,-0.0027289260224453,-0.002754427056255,0.0006507781375084,-0.0030975352332478,-6.512147939759701e-05,0.0081272991725046,0.0030425920554087,9.566773010620072e-05,0.0002750538428304,0.000105347395318,-0.0111895624068898,0.0171328061906901,-0.0120166446663766,True
cross_method,A02,A08,R2,3,-16.666666666666668,10.263202878893768,-8.0,0.6355996892946614,True,True,2966.6666666666665,968.9387665551076,2015.0,1333.1769247821014,True,1.0,1.0,2933.0,-14.0,0.0005578823752688,0.0025511628188204,-6.369281128304483e-05,-0.0188667776549936,0.0229162488566283,-0.0093214037007871,-0.0009944045474198,0.0013883378696978,-0.001382034893011,0.0042993445589447,0.0087037914187567,0.005633347581006,-0.0004365221721509,0.0014417096837153,-0.0010785034446642,-0.014567433096049,0.0220845647767379,-0.0072605796354147,True
cross_method,A02,A10,R1,3,5.333333333333333,1.5275252316519463,7.0,7.908518559170188,False,False,-434.3333333333333,1312.6920177000138,-1582.0,-2647.3410270912145,False,0.0,0.3333333333333333,-718.0,5.0,0.0019053871176692,0.0012101208063814,0.0014019061940644,-0.0064972159325665,0.0172883818044994,0.0031742749057805,-0.001882364814434,0.001372194693353,-0.0022805010730862,-0.0068137359654093,0.001981408278388,-0.0070131419269698,2.302230323514287e-05,0.0008058651411115,0.0002744983376822,-0.0133109518979759,0.0155321824741652,-0.0055136265426868,True
cross_method,A02,A10,R2,3,1.6666666666666667,19.347695814575268,24.0,34.28406596278015,False,False,-181.66666666666663,3555.668338489029,-4157.0,-6176.005996401009,False,0.6666666666666666,0.6666666666666666,917.0,-9.0,0.0003910435592929,0.001138331702981,0.0009147449438713,-0.0099982240165429,0.0272918282396881,-0.0083463577779114,-0.0005690650330396,0.0006158147055667,-0.0006129628815585,-0.0032214883521787,0.0056900408871413,-0.0016320030083332,-0.0001780214737467,0.000597558892562,1.1515991606536602e-05,-0.0132197123687217,0.0219138181943729,-0.0099783607862446,True
cross_method,A02,A12,R1,3,0.3333333333333333,15.821925715074425,14.0,27.00679737928217,False,False,-356.0,2533.3687058934,-2707.0,-4626.890933800702,False,0.3333333333333333,0.3333333333333333,-688.0,4.0,0.0004419382645761,0.001196546578191,0.0005658051700607,-0.0229152265695382,0.0166603154759616,-0.0179884583212148,-0.0001439151773358,0.0010820809597701,-0.0003477921349869,0.0003335411622913,0.0038986344863439,0.0011975637795573,0.0002980230872403,0.0001421769183061,0.0002180130350738,-0.0225816854072469,0.0200084975374053,-0.0142607751060522,True
cross_method,A02,A12,R2,3,14.0,13.114877048604,28.0,36.10977397584963,False,False,-1824.0,1745.6136456845195,-3558.0,-4766.850551492727,False,0.0,0.0,-1847.0,12.0,-0.0006192518679722,0.0007377912924187,-0.0006255793304933,-0.0179873316269037,0.0127051384633273,-0.0228331268053652,-0.0001172142984424,0.0008194265090981,1.2283713719037082e-05,0.0031656391917601,0.0066447644929951,0.0052994662648878,-0.0007364661664146,0.0001297924372144,-0.0007241066068376,-0.0148216924351436,0.0185241723626371,-0.0175336605404773,True
cross_method,A02,A13,R1,3,-4.666666666666667,13.650396819628847,10.0,18.345915704036987,False,True,100.66666666666669,3184.25349702773,-3563.0,-5267.521295765347,False,0.6666666666666666,0.6666666666666666,1663.0,-7.0,0.001195818655795,0.0017925499055696,0.0014442267924509,-0.0199778798596156,0.0093224342675387,-0.0229864111482709,-0.0012204055512355,0.0013297009573078,-0.0005754992122542,0.0013253141800982,0.0109801397378555,-0.0024467325570988,-2.4586895440418623e-05,0.0009626480305205,0.0001016285981376,-0.0186525656795173,0.0100891094042371,-0.0137302683036034,True
cross_method,A02,A13,R2,3,-5.0,18.520259177452136,13.0,26.22246155035117,False,True,233.0,2616.954527690537,-2476.0,-4178.804464340972,False,0.6666666666666666,0.6666666666666666,428.0,-4.0,0.0001678604427567,0.000420986243041,-3.3921690612226385e-05,-0.0067672323784622,0.0133156779006232,-0.000452437204462,-0.000566593581362,0.0009305256157454,-0.0002367936734107,0.0004397518617383,0.006117363421523,-0.0007552612708823,-0.0003987331386052,0.0012734478783389,-0.0002707153640228,-0.0063274805167238,0.0181365760905664,0.0014609406703232,True
cross_method,A02,A14,R1,3,2.6666666666666665,13.576941236277534,11.0,25.555413614503387,False,False,-166.66666666666666,1052.2738870338528,-1039.0,-1940.6472931555504,False,0.3333333333333333,0.3333333333333333,-463.0,10.0,0.0007240918815293,0.001362174775808,0.000984129255331,-0.015485368745791,0.0097824271797879,-0.0164861816531953,-0.0007377122201136,0.0013889496305716,-0.0008054418448579,-0.0063038190302027,0.0051028245659717,-0.0046929496566067,-1.3620338584282209e-05,0.0011206460993452,-6.549416552625864e-05,-0.0217891877759938,0.00486430580855,-0.0211791313098021,True
cross_method,A02,A14,R2,3,-1.6666666666666667,10.408329997330664,10.0,15.88026288930138,False,True,542.3333333333334,1808.7825555697216,-1511.0,-2507.010806676206,False,0.6666666666666666,0.6666666666666666,1238.0,-5.0,-0.0007916996437064,0.0020167044994627,-0.0013979416829714,-0.0296996450261591,0.0228937977632246,-0.0260771410524314,0.0002867041996921,0.0019764412523921,0.0013937786041652,0.0036968941067113,0.0034468353705006,0.0017278928901083,-0.0005049954440143,0.0005534338691392,-0.0005365727252245,-0.0260027509194477,0.0197527019858298,-0.0243912345660879,True
cross_method,A02,A15,R1,3,-1.0,9.848857801796104,7.0,15.603740859406216,False,True,912.3333333333334,3082.3637574649315,-2485.0,-4284.083357142191,False,0.3333333333333333,0.6666666666666666,1692.0,2.0,0.0007232177538245,0.0011896807117864,6.17141741010574e-05,-0.0129626401230292,0.011603584525146,-0.0163097414791075,-0.000456131217166,0.0005307984461818,-0.0003690178097524,-0.0046970866879669,0.0116300919405657,0.0017970608815363,0.0002670865366585,0.000717632112798,3.7026563114439526e-05,-0.0176597268109961,0.0214224652126194,-0.0140740898683371,True
cross_method,A02,A15,R2,3,-0.6666666666666666,18.929694486000912,21.0,31.246043225029748,False,True,642.6666666666666,3881.616330001374,-3836.0,-5901.173538562898,False,0.6666666666666666,0.6666666666666666,2730.0,-9.0,0.0005322262365577,0.0007904951364172,0.0003593201677196,-0.0039850743375301,0.0098398773778139,-0.0010369705683191,-0.0013511603030247,0.0007669937420462,-0.0013120745688976,0.0049963483272535,0.0044877333639648,0.0054795851471708,-0.000818934066467,0.0001163170154336,-0.0007619605279552,0.0010112739897233,0.009290031181806,0.0043303044560988,True
cross_method,A02,A16,R1,3,-6.0,12.529964086141668,6.0,15.12369584887524,False,True,907.3333333333334,2021.8853412924616,-1393.0,-2501.27108860582,False,0.6666666666666666,0.6666666666666666,1712.0,-5.0,-0.000111915925282,0.0017255086246932,-0.0001261671391799,-0.0126974929073822,0.0140907974972204,-0.0091189801801646,-0.0001254636923925,0.0017741252356721,-0.0006824169719589,-0.0044454573670238,0.002295476844567,-0.0052721574267835,-0.0002373796176745,0.0004950109953524,3.0057951673212457e-05,-0.0171429502744061,0.0155356426700918,-0.0153320595946949,True
cross_method,A02,A16,R2,3,3.6666666666666665,17.8978583448784,14.0,33.83985099698849,False,False,-557.6666666666666,2852.5960690804677,-3376.0,-5366.728474720728,False,0.3333333333333333,0.3333333333333333,-625.0,14.0,-0.0011068305642278,0.0016242335878534,-0.0010414121053246,-0.0184522490362737,0.0076305140248281,-0.0180149960556403,0.0003620974760144,0.0011711898220898,-0.000104046329181,0.0091059943669096,0.0135158466955763,0.01487499853692,-0.0007447330882133,0.0006283561564027,-0.001068198494611,-0.0093462546693641,0.0161410909755894,-0.0114169892219036,True
cross_method,A02,A17,R1,3,3.6666666666666665,0.5773502691896258,4.0,4.639995193451242,False,False,-619.6666666666666,1169.2687173329034,-1377.0,-2590.883549711248,False,0.0,0.3333333333333333,-1209.0,4.0,-7.584237918800696e-06,0.0007688408336003,0.0003925044002341,-0.0149442181744508,0.017643682881164,-0.0204043043280528,-0.000444283811931,0.0003351748918022,-0.0005023889638947,0.0015291147155043,0.0029199159998191,0.001674248176169,-0.0004518680498497,0.0008996003327561,-0.0003541028330066,-0.0134151034589465,0.0155961378650985,-0.0160305467763693,True
cross_method,A02,A17,R2,3,1.6666666666666667,12.503332889007368,16.0,22.745466193055357,False,False,-267.0,1557.6148432780165,-2035.0,-2892.9119318218204,False,0.6666666666666666,0.6666666666666666,331.0,-4.0,-0.0002567436882415,0.0011455157754434,-0.0007383120386579,-0.0083403902911144,0.0235839102480832,0.0002744200916617,-0.0003836088821819,0.0019075137913657,-0.0002757349537913,0.0023162391095175,0.0083237851522051,0.0051462890831564,-0.0006403525704235,0.0008986235095168,-0.0010140469924492,-0.0060241511815969,0.0242364157772417,-0.0067791449855992,True
cross_method,A02,A19,R1,3,-13.666666666666666,6.8068592855540455,-6.0,-2.1912925757572257,True,True,1008.6666666666666,687.6149600854634,257.0,-150.5520811385769,False,1.0,1.0,1163.0,-16.0,0.0011413912173578,0.0007004402863649,0.0008752959795994,-0.022115917214104,0.0159912003044755,-0.0140254710124603,-0.0017337895415567,0.0006526360302934,-0.0017908643574187,-0.0044763172996335,0.0072239079135857,-0.0079998334390212,-0.0005923983241989,0.0005211496221388,-0.00042012829227,-0.0265922345137375,0.0089290038991936,-0.0232878139174744,True
cross_method,A02,A19,R2,3,-2.0,7.54983443527075,6.0,10.72792206135785,False,True,-207.0,778.452310678053,-735.0,-1519.357300513288,False,0.6666666666666666,0.3333333333333333,-573.0,-3.0,-0.0008021186864318,0.0013974243917563,-0.0007575439816219,-0.0163146617552299,0.0139206437494639,-0.0217417917139797,0.0002807100171984,0.001119408500264,0.0007123294243974,-0.0017718110039724,0.0109486620179715,-0.0036053342333534,-0.0005214086692333,0.0005355871495113,-0.0004177704907539,-0.0180864727592023,0.0066852134653084,-0.0167264469245094,True
cross_method,A03,A18,R1,3,-0.3333333333333333,11.846237095944574,7.0,19.637698319116613,False,True,49.0,1915.811316387916,-1082.0,-3180.7790538738245,False,0.3333333333333333,0.3333333333333333,-1032.0,6.0,0.001127533012178,0.0019650827266639,0.0018564271732206,-0.0049805327580662,0.0050521544982298,-0.0070208226932725,-0.0002029329063804,0.0025972374322459,-8.336445466336842e-05,-4.612509714257048e-05,0.0027700227338947,0.0007491104764779,0.0009246001057974,0.0010387582950921,0.0012346045869439,-0.0050266578552088,0.0066744197763799,-0.0047815213671664,True
cross_method,A03,A18,R2,3,10.666666666666666,7.371114795831994,19.0,23.09329342663571,False,False,-2031.0,1595.0645754952996,-3422.0,-4720.046729937854,False,0.0,0.0,-2381.0,8.0,-0.0002059392962131,0.0029619477604049,-0.0010085996014845,0.0030743012363184,0.0303594883257435,0.0133824628952066,0.0004791517545679,0.0031127807684102,0.0013728357081659,-0.0064479082191526,0.0143647766882539,0.0009830068756576,0.0002732124583546,0.0001570246378638,0.0003635047522447,-0.0033736069828341,0.0223075549509447,0.003931553241348,True
