epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,206.75,0.37474,0.88083,1,0.29913,0.00998934,0.00332978,0.00998934,0.00332978,0.00998934,0.00332978,0.00998934,0.00332978
2,417.615,0.26531,0.90767,1,0.23703,0.0198904,0.00663013,0.0198904,0.00663013,0.0198904,0.00663013,0.0198904,0.00663013
3,628.295,0.26493,0.88921,1,0.28527,0.0296924,0.00989748,0.0296924,0.00989748,0.0296924,0.00989748,0.0296924,0.00989748
4,839.959,0.28329,0.89679,1,0.26372,0.0295545,0.0098515,0.0295545,0.0098515,0.0295545,0.0098515,0.0295545,0.0098515
5,1052.56,0.27476,0.90067,1,0.25415,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802
6,1265.28,0.26972,0.90996,1,0.23308,0.0292575,0.0097525,0.0292575,0.0097525,0.0292575,0.0097525,0.0292575,0.0097525
7,1477.36,0.26698,0.90204,1,0.2521,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
8,1689.69,0.26544,0.914,1,0.22251,0.0289605,0.0096535,0.0289605,0.0096535,0.0289605,0.0096535,0.0289605,0.0096535
9,1902.95,0.26514,0.91617,1,0.21603,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
10,2114.48,0.26438,0.91529,1,0.21598,0.0286635,0.0095545,0.0286635,0.0095545,0.0286635,0.0095545,0.0286635,0.0095545
11,2327.36,0.26441,0.91838,1,0.21102,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
12,2538.43,0.26363,0.91783,1,0.21146,0.0283665,0.0094555,0.0283665,0.0094555,0.0283665,0.0094555,0.0283665,0.0094555
13,2751.38,0.26332,0.91738,1,0.21698,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
14,2963.97,0.26306,0.92046,1,0.20992,0.0280695,0.0093565,0.0280695,0.0093565,0.0280695,0.0093565,0.0280695,0.0093565
15,3175.77,0.26253,0.91933,1,0.21479,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
16,3387.99,0.26231,0.91975,1,0.21511,0.0277725,0.0092575,0.0277725,0.0092575,0.0277725,0.0092575,0.0277725,0.0092575
17,3600.43,0.26088,0.91938,1,0.21532,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
18,3812.93,0.26067,0.919,1,0.21702,0.0274755,0.0091585,0.0274755,0.0091585,0.0274755,0.0091585,0.0274755,0.0091585
19,4025.56,0.25738,0.91842,1,0.21886,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
20,4237.6,0.26028,0.91758,1,0.21976,0.0271785,0.0090595,0.0271785,0.0090595,0.0271785,0.0090595,0.0271785,0.0090595
21,4449.74,0.25833,0.9175,1,0.22046,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
22,4662.59,0.25809,0.91738,1,0.22093,0.0268815,0.0089605,0.0268815,0.0089605,0.0268815,0.0089605,0.0268815,0.0089605
23,4875.43,0.25561,0.91692,1,0.22134,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
24,5086.73,0.25683,0.9165,1,0.22183,0.0265845,0.0088615,0.0265845,0.0088615,0.0265845,0.0088615,0.0265845,0.0088615
25,5298.3,0.25466,0.91571,1,0.22237,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
26,5510.68,0.25305,0.91542,1,0.22243,0.0262875,0.0087625,0.0262875,0.0087625,0.0262875,0.0087625,0.0262875,0.0087625
27,5722.56,0.25387,0.91529,1,0.22247,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
28,5934.9,0.25439,0.91517,1,0.22239,0.0259905,0.0086635,0.0259905,0.0086635,0.0259905,0.0086635,0.0259905,0.0086635
29,6146.38,0.25384,0.91483,1,0.22236,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
30,6358.75,0.25261,0.914,1,0.22289,0.0256935,0.0085645,0.0256935,0.0085645,0.0256935,0.0085645,0.0256935,0.0085645
31,6571.02,0.25226,0.91363,1,0.22302,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
32,6782.92,0.25096,0.91304,1,0.22301,0.0253965,0.0084655,0.0253965,0.0084655,0.0253965,0.0084655,0.0253965,0.0084655
33,6996.69,0.2502,0.91283,1,0.22233,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
34,7209.02,0.25017,0.91217,1,0.22248,0.0250995,0.0083665,0.0250995,0.0083665,0.0250995,0.0083665,0.0250995,0.0083665
35,7422.71,0.24967,0.912,1,0.22252,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
36,7635.39,0.24893,0.91212,1,0.2229,0.0248025,0.0082675,0.0248025,0.0082675,0.0248025,0.0082675,0.0248025,0.0082675
37,7848.01,0.24885,0.91217,1,0.22341,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
38,8060.06,0.24757,0.91242,1,0.2234,0.0245055,0.0081685,0.0245055,0.0081685,0.0245055,0.0081685,0.0245055,0.0081685
39,8271.91,0.24684,0.91208,1,0.22402,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119
40,8485.09,0.24673,0.91188,1,0.22397,0.0242085,0.0080695,0.0242085,0.0080695,0.0242085,0.0080695,0.0242085,0.0080695
41,8696.39,0.2476,0.91154,1,0.22376,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
42,8908.82,0.24566,0.91137,1,0.22415,0.0239115,0.0079705,0.0239115,0.0079705,0.0239115,0.0079705,0.0239115,0.0079705
43,9122.27,0.24573,0.91196,1,0.2235,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921
44,9334.16,0.24424,0.91225,1,0.22319,0.0236145,0.0078715,0.0236145,0.0078715,0.0236145,0.0078715,0.0236145,0.0078715
