selection_pool_id,normal_replay_slots,defect_guard_slots,template_id,template_relpath,row_count,active_selection_digest,file_sha256
NR_NO_SELECTION,0,0,TPL_NR_NO_SELECTION_N00000_D00000,templates/TPL_NR_NO_SELECTION_N00000_D00000.csv,0,4F53CDA18C2BAA0C0354BB5F9A3ECBE5ED12AB4D8E11BA873C2F11161202B945,6536EF9A2D71D279E64D927277D2510637B41A4FA2AFA0CABA8876BB75C984C2
TREATMENT_GAPCRITICAL_NESTED,0,0,TPL_TREATMENT_GAPCRITICAL_NESTED_N00000_D00000,templates/TPL_TREATMENT_GAPCRITICAL_NESTED_N00000_D00000.csv,0,4F53CDA18C2BAA0C0354BB5F9A3ECBE5ED12AB4D8E11BA873C2F11161202B945,6536EF9A2D71D279E64D927277D2510637B41A4FA2AFA0CABA8876BB75C984C2
TREATMENT_GAPCRITICAL_NESTED,200,0,TPL_TREATMENT_GAPCRITICAL_NESTED_N00200_D00000,templates/TPL_TREATMENT_GAPCRITICAL_NESTED_N00200_D00000.csv,200,68BD97511D88066B153B353D01294C17BA9DAD8DD3F4C1B3B7C91164FFB33AFB,8096A19A935331652A0D6D2CCA956CDEF379CDECA7383E01677018BF5DFE828F
TREATMENT_GAPCRITICAL_NESTED,267,0,TPL_TREATMENT_GAPCRITICAL_NESTED_N00267_D00000,templates/TPL_TREATMENT_GAPCRITICAL_NESTED_N00267_D00000.csv,267,D2A4A53F7A0359C9E946C673726C3B30BD214C8FB5294B56C85715C16175EEAD,3C55D3325B55B07EB4FCC613F4853B7175120C7697FD13E2D843986398DDAEE9
TREATMENT_GAPCRITICAL_NESTED,400,0,TPL_TREATMENT_GAPCRITICAL_NESTED_N00400_D00000,templates/TPL_TREATMENT_GAPCRITICAL_NESTED_N00400_D00000.csv,400,2630621BAEA8B2BAD5CCD26EBE03FE3E077B6695CC203C72893F92453FF1BDEC,7BAB8ED598C93858515DAB10E702A01D312330596CFB10238C7753108F422F53
TREATMENT_GAPCRITICAL_NESTED,533,0,TPL_TREATMENT_GAPCRITICAL_NESTED_N00533_D00000,templates/TPL_TREATMENT_GAPCRITICAL_NESTED_N00533_D00000.csv,533,ABDCD1B2E518D06BF208F69A4219B7AADFB0DD1286C45ACC2048F6994B3AD32C,4F717AC92F9F2F2B5A39F291D0A658F71D9778C9686B794AC7B6EA401224EA71
TREATMENT_GAPCRITICAL_NESTED,600,0,TPL_TREATMENT_GAPCRITICAL_NESTED_N00600_D00000,templates/TPL_TREATMENT_GAPCRITICAL_NESTED_N00600_D00000.csv,600,E6C38CE0916169AAAFD67E696BAF4AD6A156BA42C4D4361F3250E757DE9FA83D,928D5A4D0A09539F34012161A76F6BF0B975631395DC0C4542BC90F7FF18E0A8
TREATMENT_GAPCRITICAL_NESTED,800,0,TPL_TREATMENT_GAPCRITICAL_NESTED_N00800_D00000,templates/TPL_TREATMENT_GAPCRITICAL_NESTED_N00800_D00000.csv,800,6837EC9FABABB1EC825E3FEF83CEA93478F432977546EEE8C02B59D17A8A44D3,0C1DB48D84FADB7AC9EAF812707C1FAF32D41D80C7290FF86F3E8F80590821BD
TREATMENT_GAPCRITICAL_NESTED,1000,0,TPL_TREATMENT_GAPCRITICAL_NESTED_N01000_D00000,templates/TPL_TREATMENT_GAPCRITICAL_NESTED_N01000_D00000.csv,1000,CAB4BC4BCB42A4B1B11F41C54017DB72BAF0E6E46BB46D1E8A59D1A344AEC746,829131651AD636E7F8EED617E83A4745B5779B9F060B069F9CDFB24DB2AC3D99
TREATMENT_GAPCRITICAL_NESTED,1067,0,TPL_TREATMENT_GAPCRITICAL_NESTED_N01067_D00000,templates/TPL_TREATMENT_GAPCRITICAL_NESTED_N01067_D00000.csv,1067,5664F5B229D2ABF47079D061B252E9CEF93B39A69E735301A41722FC5B0F6AFE,9FD4DE66B863C398B3C962422F4F1CCD35B3616A18F24B43BD19AC06AE547A9C
TREATMENT_GAPCRITICAL_NESTED,1200,0,TPL_TREATMENT_GAPCRITICAL_NESTED_N01200_D00000,templates/TPL_TREATMENT_GAPCRITICAL_NESTED_N01200_D00000.csv,1200,B55EA138794A18ADC65B13DE435C4BE5D2DB32092208A2F2947844D9AE8E9196,282D2099A5BB80E0F5B504C18575773CE5B822B9408B3A8E80A4944D570BB854
TREATMENT_GAPCRITICAL_NESTED,1333,0,TPL_TREATMENT_GAPCRITICAL_NESTED_N01333_D00000,templates/TPL_TREATMENT_GAPCRITICAL_NESTED_N01333_D00000.csv,1333,9A214122E52ED53E016C743C8A94664D84E5F6C438CBA969DFA8ED4004A72B89,7EE05A73F3608C4B60FB8430D0881F924C52BA5303828237832E51984F4AE52C
TREATMENT_GAPCRITICAL_NESTED,1600,0,TPL_TREATMENT_GAPCRITICAL_NESTED_N01600_D00000,templates/TPL_TREATMENT_GAPCRITICAL_NESTED_N01600_D00000.csv,1600,21144E1F27B5AA8FA2CB10B0F66F6A56AE17DBC527D5DE9D0183D85AE5AD8AC3,C85D261A5191FD4DA6ED5DBBA58232226F2089B1F1F03C98422856BC0282971D
TREATMENT_GAPCRITICAL_NESTED,2000,0,TPL_TREATMENT_GAPCRITICAL_NESTED_N02000_D00000,templates/TPL_TREATMENT_GAPCRITICAL_NESTED_N02000_D00000.csv,2000,2656BC7A1676A7A8C67E52CED93AA0330374D663AD22A7D7389F96E224285233,A13D97D0D7721F73D1DACA07C643FE697C3C8E07FCAC79541E4C7C949360F263
TREATMENT_GAPCRITICAL_NESTED,2667,0,TPL_TREATMENT_GAPCRITICAL_NESTED_N02667_D00000,templates/TPL_TREATMENT_GAPCRITICAL_NESTED_N02667_D00000.csv,2667,0F7E8D2741778BA8F4E3FF8CF249009E3336DCF0DE57DA5E2F5FF762144F16FC,7E3047DBCB8251C573E1F9F26DB1E9A90880B079E6A42CE9252A0BEA2A4CE152
TREATMENT_GAPCRITICAL_NESTED,3000,0,TPL_TREATMENT_GAPCRITICAL_NESTED_N03000_D00000,templates/TPL_TREATMENT_GAPCRITICAL_NESTED_N03000_D00000.csv,3000,08E3BAED3FD71A62AFBA68798C4418A310350C18ECE318889B7BF49286BE52C3,877DA825A8E3EA4752F05CFA332FB73C23A1C88883FB0F2513C3208F4A109BEA
TREATMENT_GAPCRITICAL_NESTED,4000,0,TPL_TREATMENT_GAPCRITICAL_NESTED_N04000_D00000,templates/TPL_TREATMENT_GAPCRITICAL_NESTED_N04000_D00000.csv,4000,37B77B658CFEAEB3D0F1C5F746338FE177F684C8B9B3A3F70F555810A14AF0A8,C876462DB95F21948F8B04A06E40E297B1ED6246C38D538EF6B179D960A48FF9
