actual_label,Deformation,DepositAttachment,JointAnomaly,Normal,Roots,WallDamage
Deformation,0.866667,0.058333,0.008333,0.041667,0.0,0.025
DepositAttachment,0.066667,0.616667,0.1,0.058333,0.05,0.108333
JointAnomaly,0.008333,0.083333,0.625,0.008333,0.133333,0.141667
Normal,0.075,0.025,0.041667,0.766667,0.033333,0.058333
Roots,0.0,0.025,0.141667,0.016667,0.733333,0.083333
WallDamage,0.016667,0.158333,0.133333,0.05,0.066667,0.575
