actual_label,Deformation,DepositAttachment,JointAnomaly,Normal,Roots,WallDamage
Deformation,104,7,1,5,0,3
DepositAttachment,8,74,12,7,6,13
JointAnomaly,1,10,75,1,16,17
Normal,9,3,5,92,4,7
Roots,0,3,17,2,88,10
WallDamage,2,19,16,6,8,69
