threshold,tpr,recall,fpr,specificity,tp,fn,fp,tn
0.998705,0.173333,0.173333,0.0,1.0,104,496,0,120
0.998692,0.175,0.175,0.0,1.0,105,495,0,120
0.998682,0.175,0.175,0.0,1.0,105,495,0,120
0.998676,0.178333,0.178333,0.0,1.0,107,493,0,120
0.998667,0.178333,0.178333,0.0,1.0,107,493,0,120
0.99866,0.18,0.18,0.008333,0.991667,108,492,1,119
0.998647,0.181667,0.181667,0.008333,0.991667,109,491,1,119
0.998618,0.183333,0.183333,0.008333,0.991667,110,490,1,119
0.998591,0.185,0.185,0.008333,0.991667,111,489,1,119
0.998584,0.186667,0.186667,0.008333,0.991667,112,488,1,119
0.998569,0.188333,0.188333,0.008333,0.991667,113,487,1,119
0.998557,0.188333,0.188333,0.008333,0.991667,113,487,1,119
0.998546,0.191667,0.191667,0.008333,0.991667,115,485,1,119
0.998535,0.193333,0.193333,0.008333,0.991667,116,484,1,119
0.998383,0.195,0.195,0.008333,0.991667,117,483,1,119
0.998374,0.195,0.195,0.008333,0.991667,117,483,1,119
0.998367,0.196667,0.196667,0.008333,0.991667,118,482,1,119
0.998354,0.198333,0.198333,0.008333,0.991667,119,481,1,119
0.998342,0.201667,0.201667,0.008333,0.991667,121,479,1,119
0.99834,0.203333,0.203333,0.008333,0.991667,122,478,1,119
0.998319,0.203333,0.203333,0.008333,0.991667,122,478,1,119
0.998249,0.205,0.205,0.008333,0.991667,123,477,1,119
0.998212,0.208333,0.208333,0.008333,0.991667,125,475,1,119
0.998206,0.208333,0.208333,0.008333,0.991667,125,475,1,119
0.998145,0.211667,0.211667,0.008333,0.991667,127,473,1,119
0.998102,0.211667,0.211667,0.008333,0.991667,127,473,1,119
0.998072,0.215,0.215,0.008333,0.991667,129,471,1,119
0.998042,0.216667,0.216667,0.008333,0.991667,130,470,1,119
0.99801,0.218333,0.218333,0.008333,0.991667,131,469,1,119
0.998,0.218333,0.218333,0.008333,0.991667,131,469,1,119
0.997998,0.221667,0.221667,0.008333,0.991667,133,467,1,119
0.997987,0.221667,0.221667,0.008333,0.991667,133,467,1,119
0.997976,0.225,0.225,0.008333,0.991667,135,465,1,119
0.997917,0.225,0.225,0.008333,0.991667,135,465,1,119
0.997911,0.226667,0.226667,0.008333,0.991667,136,464,1,119
0.997898,0.23,0.23,0.008333,0.991667,138,462,1,119
0.99788,0.231667,0.231667,0.008333,0.991667,139,461,1,119
0.997868,0.231667,0.231667,0.008333,0.991667,139,461,1,119
0.997861,0.235,0.235,0.008333,0.991667,141,459,1,119
0.997854,0.235,0.235,0.008333,0.991667,141,459,1,119
0.997843,0.236667,0.236667,0.008333,0.991667,142,458,1,119
0.997807,0.24,0.24,0.008333,0.991667,144,456,1,119
0.997693,0.241667,0.241667,0.008333,0.991667,145,455,1,119
0.99761,0.243333,0.243333,0.008333,0.991667,146,454,1,119
0.997563,0.243333,0.243333,0.008333,0.991667,146,454,1,119
0.997557,0.246667,0.246667,0.008333,0.991667,148,452,1,119
0.997497,0.246667,0.246667,0.008333,0.991667,148,452,1,119
0.997488,0.248333,0.248333,0.008333,0.991667,149,451,1,119
0.997477,0.251667,0.251667,0.008333,0.991667,151,449,1,119
0.99747,0.253333,0.253333,0.008333,0.991667,152,448,1,119
0.997464,0.253333,0.253333,0.008333,0.991667,152,448,1,119
0.997451,0.256667,0.256667,0.008333,0.991667,154,446,1,119
0.997449,0.256667,0.256667,0.008333,0.991667,154,446,1,119
0.997406,0.26,0.26,0.008333,0.991667,156,444,1,119
0.997353,0.261667,0.261667,0.008333,0.991667,157,443,1,119
