threshold,precision,recall,f1,tp,fn,fp,tn
0.998383,0.991525,0.195,0.325905,117,483,1,119
0.998374,0.991525,0.195,0.325905,117,483,1,119
0.998367,0.991597,0.196667,0.328234,118,482,1,119
0.998354,0.991667,0.198333,0.330556,119,481,1,119
0.998342,0.991803,0.201667,0.33518,121,479,1,119
0.99834,0.99187,0.203333,0.337483,122,478,1,119
0.998319,0.99187,0.203333,0.337483,122,478,1,119
0.998249,0.991935,0.205,0.339779,123,477,1,119
0.998212,0.992063,0.208333,0.344353,125,475,1,119
0.998206,0.992063,0.208333,0.344353,125,475,1,119
0.998145,0.992188,0.211667,0.348901,127,473,1,119
0.998102,0.992188,0.211667,0.348901,127,473,1,119
0.998072,0.992308,0.215,0.353425,129,471,1,119
0.998042,0.992366,0.216667,0.355677,130,470,1,119
0.99801,0.992424,0.218333,0.357923,131,469,1,119
0.998,0.992424,0.218333,0.357923,131,469,1,119
0.997998,0.992537,0.221667,0.362398,133,467,1,119
0.997987,0.992537,0.221667,0.362398,133,467,1,119
0.997976,0.992647,0.225,0.366848,135,465,1,119
0.997917,0.992647,0.225,0.366848,135,465,1,119
0.997911,0.992701,0.226667,0.369064,136,464,1,119
0.997898,0.992806,0.23,0.373478,138,462,1,119
0.99788,0.992857,0.231667,0.375676,139,461,1,119
0.997868,0.992857,0.231667,0.375676,139,461,1,119
0.997861,0.992958,0.235,0.380054,141,459,1,119
0.997854,0.992958,0.235,0.380054,141,459,1,119
0.997843,0.993007,0.236667,0.382234,142,458,1,119
0.997807,0.993103,0.24,0.386577,144,456,1,119
0.997693,0.993151,0.241667,0.38874,145,455,1,119
0.99761,0.993197,0.243333,0.390897,146,454,1,119
0.997563,0.993197,0.243333,0.390897,146,454,1,119
0.997557,0.993289,0.246667,0.395194,148,452,1,119
0.997497,0.993289,0.246667,0.395194,148,452,1,119
0.997488,0.993333,0.248333,0.397333,149,451,1,119
0.997477,0.993421,0.251667,0.401596,151,449,1,119
0.99747,0.993464,0.253333,0.403718,152,448,1,119
0.997464,0.993464,0.253333,0.403718,152,448,1,119
0.997451,0.993548,0.256667,0.407947,154,446,1,119
0.997449,0.993548,0.256667,0.407947,154,446,1,119
0.997406,0.993631,0.26,0.412153,156,444,1,119
0.997353,0.993671,0.261667,0.414248,157,443,1,119
0.997327,0.993711,0.263333,0.416337,158,442,1,119
0.997326,0.993711,0.263333,0.416337,158,442,1,119
0.997304,0.99375,0.265,0.418421,159,441,1,119
0.997285,0.993827,0.268333,0.422572,161,439,1,119
0.997258,0.993865,0.27,0.42464,162,438,1,119
0.99723,0.993902,0.271667,0.426702,163,437,1,119
0.997222,0.993902,0.271667,0.426702,163,437,1,119
0.997136,0.993976,0.275,0.430809,165,435,1,119
0.997088,0.993976,0.275,0.430809,165,435,1,119
0.99706,0.994012,0.276667,0.432855,166,434,1,119
0.997018,0.994048,0.278333,0.434896,167,433,1,119
0.996967,0.994083,0.28,0.436931,168,432,1,119
0.996945,0.994118,0.281667,0.438961,169,431,1,119
0.996828,0.994186,0.285,0.443005,171,429,1,119
0.996755,0.994186,0.285,0.443005,171,429,1,119
0.996571,0.994253,0.288333,0.447028,173,427,1,119
0.996565,0.994253,0.288333,0.447028,173,427,1,119
0.996563,0.994318,0.291667,0.451031,175,425,1,119
0.996513,0.994318,0.291667,0.451031,175,425,1,119
0.99651,0.994382,0.295,0.455013,177,423,1,119
0.996488,0.994413,0.296667,0.456996,178,422,1,119
0.996406,0.994444,0.298333,0.458974,179,421,1,119
0.996383,0.994444,0.298333,0.458974,179,421,1,119
0.996327,0.994475,0.3,0.460948,180,420,1,119
0.996222,0.994536,0.303333,0.464879,182,418,1,119
0.99612,0.994536,0.303333,0.464879,182,418,1,119
0.996092,0.994595,0.306667,0.46879,184,416,1,119
0.996048,0.994595,0.306667,0.46879,184,416,1,119
0.995992,0.994652,0.31,0.472681,186,414,1,119
0.995971,0.994652,0.31,0.472681,186,414,1,119
0.995859,0.994709,0.313333,0.476553,188,412,1,119
0.995856,0.994709,0.313333,0.476553,188,412,1,119
0.995848,0.994764,0.316667,0.480405,190,410,1,119
0.995781,0.994764,0.316667,0.480405,190,410,1,119
0.995632,0.994792,0.318333,0.482323,191,409,1,119
0.995625,0.994845,0.321667,0.486146,193,407,1,119
0.995542,0.994872,0.323333,0.48805,194,406,1,119
0.995534,0.994872,0.323333,0.48805,194,406,1,119
0.995354,0.994924,0.326667,0.491844,196,404,1,119
0.995232,0.994924,0.326667,0.491844,196,404,1,119
0.995114,0.994949,0.328333,0.493734,197,403,1,119
0.995091,0.995,0.331667,0.4975,199,401,1,119
0.995088,0.995,0.331667,0.4975,199,401,1,119
0.994998,0.995025,0.333333,0.499376,200,400,1,119
0.99498,0.99505,0.335,0.501247,201,399,1,119
0.994889,0.995098,0.338333,0.504975,203,397,1,119
0.994859,0.995098,0.338333,0.504975,203,397,1,119
0.99478,0.995122,0.34,0.506832,204,396,1,119
0.994774,0.995169,0.343333,0.510533,206,394,1,119
0.9946,0.995192,0.345,0.512376,207,393,1,119
0.994585,0.995215,0.346667,0.514215,208,392,1,119
0.994566,0.995215,0.346667,0.514215,208,392,1,119
0.994449,0.995261,0.35,0.517879,210,390,1,119
0.994431,0.995261,0.35,0.517879,210,390,1,119
