epoch,checkpoint_file,checkpoint_path,checkpoint_exists,evaluated,temperature_T,tau_r995,tau_r990,spec_at_r995,spec_at_r990,prec_at_r990,ptr_at_r990
21,epoch_021.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate_bucket_pilot_machine_b\yolo11m_gate2_formal_bucket_d_q3_200ep\weights\epoch_021.pt,1,1,1.652458,0.09,0.12,0.214286,0.285714,0.87395,0.944444
22,epoch_022.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate_bucket_pilot_machine_b\yolo11m_gate2_formal_bucket_d_q3_200ep\weights\epoch_022.pt,1,1,1.444878,0.15,0.19,0.27381,0.333333,0.881356,0.936508
23,epoch_023.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate_bucket_pilot_machine_b\yolo11m_gate2_formal_bucket_d_q3_200ep\weights\epoch_023.pt,1,1,1.940424,0.23,0.29,0.440476,0.488095,0.906318,0.910714
24,epoch_024.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate_bucket_pilot_machine_b\yolo11m_gate2_formal_bucket_d_q3_200ep\weights\epoch_024.pt,1,1,1.64438,0.08,0.14,0.202381,0.333333,0.881356,0.936508
25,epoch_025.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate_bucket_pilot_machine_b\yolo11m_gate2_formal_bucket_d_q3_200ep\weights\epoch_025.pt,1,1,1.746794,0.29,0.29,0.5,0.5,0.908696,0.912698
26,epoch_026.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate_bucket_pilot_machine_b\yolo11m_gate2_formal_bucket_d_q3_200ep\weights\epoch_026.pt,1,1,1.707679,0.23,0.25,0.464286,0.488095,0.906318,0.910714
27,epoch_027.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate_bucket_pilot_machine_b\yolo11m_gate2_formal_bucket_d_q3_200ep\weights\epoch_027.pt,1,1,1.912957,0.15,0.2,0.357143,0.404762,0.892934,0.926587
28,epoch_028.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate_bucket_pilot_machine_b\yolo11m_gate2_formal_bucket_d_q3_200ep\weights\epoch_028.pt,1,1,1.747207,0.22,0.25,0.380952,0.416667,0.894624,0.922619
29,epoch_029.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate_bucket_pilot_machine_b\yolo11m_gate2_formal_bucket_d_q3_200ep\weights\epoch_029.pt,1,1,1.836909,0.15,0.19,0.464286,0.47619,0.904555,0.914683
30,epoch_030.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate_bucket_pilot_machine_b\yolo11m_gate2_formal_bucket_d_q3_200ep\weights\epoch_030.pt,1,1,2.18151,0.22,0.24,0.428571,0.452381,0.900433,0.916667
31,epoch_031.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate_bucket_pilot_machine_b\yolo11m_gate2_formal_bucket_d_q3_200ep\weights\epoch_031.pt,1,1,2.490586,0.15,0.26,0.22619,0.404762,0.892704,0.924603
32,epoch_032.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate_bucket_pilot_machine_b\yolo11m_gate2_formal_bucket_d_q3_200ep\weights\epoch_032.pt,1,1,1.875212,0.06,0.16,0.166667,0.452381,0.900433,0.916667
33,epoch_033.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate_bucket_pilot_machine_b\yolo11m_gate2_formal_bucket_d_q3_200ep\weights\epoch_033.pt,1,1,1.860409,0.1,0.22,0.202381,0.452381,0.900433,0.916667
34,epoch_034.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate_bucket_pilot_machine_b\yolo11m_gate2_formal_bucket_d_q3_200ep\weights\epoch_034.pt,1,1,2.032796,0.2,0.25,0.321429,0.380952,0.888889,0.928571
35,epoch_035.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate_bucket_pilot_machine_b\yolo11m_gate2_formal_bucket_d_q3_200ep\weights\epoch_035.pt,1,1,2.175644,0.18,0.29,0.392857,0.52381,0.912281,0.904762
36,epoch_036.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate_bucket_pilot_machine_b\yolo11m_gate2_formal_bucket_d_q3_200ep\weights\epoch_036.pt,1,1,2.591614,0.25,0.27,0.47619,0.52381,0.912473,0.906746
37,epoch_037.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate_bucket_pilot_machine_b\yolo11m_gate2_formal_bucket_d_q3_200ep\weights\epoch_037.pt,1,1,1.804569,0.16,0.2,0.333333,0.428571,0.896552,0.920635
