epoch,checkpoint_file,checkpoint_path,temperature_T,tau_r995,tau_r990,spec_at_r995,spec_at_r990,prec_at_r990,ptr_at_r990,tn_at_r995,fn_at_r995,tn_at_r990,fn_at_r990,ratio_id
23,epoch22.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate\yolo11m_gate2_formal_200ep\weights\epoch_023.pt,1.439337,0.34,0.36,0.380952,0.392857,0.891026,0.928571,32,2,33,3,hn00
24,epoch23.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate\yolo11m_gate2_formal_200ep\weights\epoch_024.pt,0.942371,0.11,0.16,0.27381,0.392857,0.890792,0.926587,23,1,33,4,hn00
25,epoch24.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate\yolo11m_gate2_formal_200ep\weights\epoch_025.pt,1.041544,0.27,0.3,0.416667,0.452381,0.900433,0.916667,35,2,38,4,hn00
26,epoch25.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate\yolo11m_gate2_formal_200ep\weights\epoch_026.pt,0.856974,0.07,0.11,0.261905,0.440476,0.898488,0.918651,22,2,37,4,hn00
27,epoch26.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate\yolo11m_gate2_formal_200ep\weights\epoch_027.pt,1.19641,0.22,0.32,0.27381,0.392857,0.891026,0.928571,23,2,33,3,hn00
28,epoch27.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate\yolo11m_gate2_formal_200ep\weights\epoch_028.pt,1.218413,0.32,0.33,0.440476,0.452381,0.900648,0.918651,37,2,38,3,hn00
29,epoch28.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate\yolo11m_gate2_formal_200ep\weights\epoch_029.pt,1.136911,0.47,0.5,0.464286,0.47619,0.904555,0.914683,39,2,40,3,hn00
30,epoch29.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate\yolo11m_gate2_formal_200ep\weights\epoch_030.pt,1.108321,0.17,0.21,0.357143,0.416667,0.894624,0.922619,30,1,35,4,hn00
31,epoch30.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate\yolo11m_gate2_formal_200ep\weights\epoch_031.pt,1.041287,0.17,0.2,0.380952,0.428571,0.896552,0.920635,32,2,36,4,hn00
32,epoch31.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate\yolo11m_gate2_formal_200ep\weights\epoch_032.pt,1.047324,0.16,0.23,0.285714,0.357143,0.885106,0.93254,24,2,30,4,hn00
33,epoch32.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate\yolo11m_gate2_formal_200ep\weights\epoch_033.pt,1.053114,0.18,0.25,0.25,0.321429,0.879493,0.938492,21,2,27,4,hn00
34,epoch33.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate\yolo11m_gate2_formal_200ep\weights\epoch_034.pt,0.952634,0.14,0.16,0.309524,0.369048,0.887234,0.93254,26,2,31,3,hn00
35,epoch34.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate\yolo11m_gate2_formal_200ep\weights\epoch_035.pt,0.997547,0.11,0.14,0.333333,0.369048,0.887234,0.93254,28,1,31,3,hn00
36,epoch35.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate\yolo11m_gate2_formal_200ep\weights\epoch_036.pt,1.088717,0.22,0.26,0.357143,0.380952,0.888889,0.928571,30,1,32,4,hn00
37,epoch36.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate\yolo11m_gate2_formal_200ep\weights\epoch_037.pt,0.956155,0.08,0.21,0.309524,0.571429,0.920354,0.896825,26,1,48,4,hn00
38,epoch37.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate\yolo11m_gate2_formal_200ep\weights\epoch_038.pt,1.20852,0.1,0.12,0.285714,0.357143,0.885106,0.93254,24,2,30,4,hn00
39,epoch38.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate\yolo11m_gate2_formal_200ep\weights\epoch_039.pt,1.059552,0.17,0.23,0.27381,0.345238,0.883475,0.936508,23,2,29,3,hn00
40,epoch39.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate\yolo11m_gate2_formal_200ep\weights\epoch_040.pt,1.213351,0.25,0.25,0.428571,0.428571,0.896996,0.924603,36,2,36,2,hn00
41,epoch40.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate\yolo11m_gate2_formal_200ep\weights\epoch_041.pt,1.39946,0.21,0.23,0.380952,0.392857,0.890792,0.926587,32,2,33,4,hn00
42,epoch41.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate\yolo11m_gate2_formal_200ep\weights\epoch_042.pt,0.971408,0.18,0.33,0.333333,0.464286,0.902386,0.914683,28,2,39,4,hn00
43,epoch42.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate\yolo11m_gate2_formal_200ep\weights\epoch_043.pt,1.218119,0.31,0.33,0.440476,0.464286,0.902386,0.914683,37,2,39,4,hn00
44,epoch43.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate\yolo11m_gate2_formal_200ep\weights\epoch_044.pt,1.145192,0.21,0.26,0.380952,0.428571,0.896552,0.920635,32,2,36,4,hn00
45,epoch44.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate\yolo11m_gate2_formal_200ep\weights\epoch_045.pt,1.263779,0.16,0.23,0.333333,0.392857,0.891026,0.928571,28,0,33,3,hn00
46,epoch45.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate\yolo11m_gate2_formal_200ep\weights\epoch_046.pt,1.400968,0.15,0.31,0.345238,0.464286,0.902386,0.914683,29,1,39,4,hn00
47,epoch46.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate\yolo11m_gate2_formal_200ep\weights\epoch_047.pt,1.167679,0.17,0.2,0.369048,0.416667,0.894624,0.922619,31,2,35,4,hn00
48,epoch47.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate\yolo11m_gate2_formal_200ep\weights\epoch_048.pt,1.119174,0.14,0.16,0.345238,0.392857,0.890792,0.926587,29,2,33,4,hn00
49,epoch48.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate\yolo11m_gate2_formal_200ep\weights\epoch_049.pt,1.141964,0.15,0.17,0.357143,0.380952,0.888889,0.928571,30,2,32,4,hn00
50,epoch49.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate\yolo11m_gate2_formal_200ep\weights\epoch_050.pt,1.173625,0.19,0.19,0.452381,0.452381,0.900862,0.920635,38,2,38,2,hn00
51,epoch50.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate\yolo11m_gate2_formal_200ep\weights\epoch_051.pt,1.297079,0.15,0.17,0.321429,0.369048,0.887234,0.93254,27,2,31,3,hn00
52,epoch51.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate\yolo11m_gate2_formal_200ep\weights\epoch_052.pt,1.261014,0.18,0.29,0.392857,0.511905,0.910284,0.906746,33,2,43,4,hn00
53,epoch52.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate\yolo11m_gate2_formal_200ep\weights\epoch_053.pt,1.25429,0.09,0.16,0.321429,0.511905,0.910284,0.906746,27,2,43,4,hn00
54,epoch53.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate\yolo11m_gate2_formal_200ep\weights\epoch_054.pt,1.339243,0.21,0.24,0.5,0.52381,0.912281,0.904762,42,2,44,4,hn00
55,epoch54.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate\yolo11m_gate2_formal_200ep\weights\epoch_055.pt,1.27695,0.13,0.23,0.428571,0.52381,0.912281,0.904762,36,1,44,4,hn00
56,epoch55.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate\yolo11m_gate2_formal_200ep\weights\epoch_056.pt,1.317811,0.13,0.18,0.309524,0.428571,0.896552,0.920635,26,2,36,4,hn00
57,epoch56.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate\yolo11m_gate2_formal_200ep\weights\epoch_057.pt,1.423398,0.17,0.22,0.416667,0.464286,0.902386,0.914683,35,2,39,4,hn00
58,epoch57.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate\yolo11m_gate2_formal_200ep\weights\epoch_058.pt,1.318351,0.18,0.26,0.392857,0.47619,0.904348,0.912698,33,2,40,4,hn00
59,epoch58.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate\yolo11m_gate2_formal_200ep\weights\epoch_059.pt,1.196101,0.15,0.19,0.369048,0.428571,0.896552,0.920635,31,1,36,4,hn00
60,epoch59.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate\yolo11m_gate2_formal_200ep\weights\epoch_060.pt,1.164159,0.22,0.28,0.52381,0.571429,0.920354,0.896825,44,2,48,4,hn00
61,epoch60.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate\yolo11m_gate2_formal_200ep\weights\epoch_061.pt,1.210746,0.09,0.13,0.285714,0.440476,0.898488,0.918651,24,1,37,4,hn00
62,epoch61.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate\yolo11m_gate2_formal_200ep\weights\epoch_062.pt,1.490107,0.18,0.21,0.428571,0.511905,0.91048,0.90873,36,2,43,3,hn00
63,epoch62.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate\yolo11m_gate2_formal_200ep\weights\epoch_063.pt,1.502373,0.08,0.22,0.22619,0.488095,0.906318,0.910714,19,2,41,4,hn00
64,epoch63.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate\yolo11m_gate2_formal_200ep\weights\epoch_064.pt,1.523641,0.2,0.25,0.416667,0.488095,0.906318,0.910714,35,2,41,4,hn00
65,epoch64.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate\yolo11m_gate2_formal_200ep\weights\epoch_065.pt,1.612684,0.13,0.19,0.333333,0.416667,0.894624,0.922619,28,2,35,4,hn00
66,epoch65.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate\yolo11m_gate2_formal_200ep\weights\epoch_066.pt,1.453721,0.2,0.25,0.464286,0.511905,0.910284,0.906746,39,1,43,4,hn00
67,epoch66.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate\yolo11m_gate2_formal_200ep\weights\epoch_067.pt,1.57947,0.16,0.21,0.380952,0.464286,0.902386,0.914683,32,2,39,4,hn00
68,epoch67.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate\yolo11m_gate2_formal_200ep\weights\epoch_068.pt,1.495171,0.12,0.18,0.309524,0.404762,0.892704,0.924603,26,2,34,4,hn00
69,epoch68.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate\yolo11m_gate2_formal_200ep\weights\epoch_069.pt,1.526952,0.13,0.22,0.345238,0.464286,0.902386,0.914683,29,2,39,4,hn00
70,epoch69.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate\yolo11m_gate2_formal_200ep\weights\epoch_070.pt,1.50708,0.1,0.26,0.309524,0.559524,0.918322,0.89881,26,2,47,4,hn00
71,epoch70.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate\yolo11m_gate2_formal_200ep\weights\epoch_071.pt,1.612298,0.1,0.15,0.357143,0.452381,0.900433,0.916667,30,1,38,4,hn00
72,epoch71.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate\yolo11m_gate2_formal_200ep\weights\epoch_072.pt,1.860803,0.12,0.18,0.297619,0.440476,0.898488,0.918651,25,2,37,4,hn00
73,epoch72.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate\yolo11m_gate2_formal_200ep\weights\epoch_073.pt,1.706709,0.18,0.18,0.5,0.5,0.908696,0.912698,42,2,42,2,hn00
74,epoch73.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate\yolo11m_gate2_formal_200ep\weights\epoch_074.pt,1.460364,0.14,0.24,0.440476,0.583333,0.922395,0.894841,37,2,49,4,hn00
75,epoch74.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate\yolo11m_gate2_formal_200ep\weights\epoch_075.pt,1.608334,0.21,0.21,0.511905,0.511905,0.910675,0.910714,43,2,43,2,hn00
76,epoch75.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate\yolo11m_gate2_formal_200ep\weights\epoch_076.pt,1.645128,0.2,0.22,0.5,0.52381,0.912473,0.906746,42,2,44,3,hn00
77,epoch76.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate\yolo11m_gate2_formal_200ep\weights\epoch_077.pt,2.031903,0.25,0.33,0.511905,0.619048,0.928571,0.888889,43,1,52,4,hn00
78,epoch77.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate\yolo11m_gate2_formal_200ep\weights\epoch_078.pt,1.856125,0.28,0.31,0.595238,0.654762,0.934831,0.882937,50,2,55,4,hn00
79,epoch78.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate\yolo11m_gate2_formal_200ep\weights\epoch_079.pt,1.851084,0.12,0.26,0.333333,0.547619,0.9163,0.900794,28,2,46,4,hn00
80,epoch79.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate\yolo11m_gate2_formal_200ep\weights\epoch_080.pt,2.046867,0.16,0.26,0.345238,0.511905,0.910284,0.906746,29,2,43,4,hn00
81,epoch80.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate\yolo11m_gate2_formal_200ep\weights\epoch_081.pt,1.924003,0.2,0.24,0.416667,0.464286,0.902597,0.916667,35,2,39,3,hn00
82,epoch81.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate\yolo11m_gate2_formal_200ep\weights\epoch_082.pt,2.063017,0.16,0.29,0.333333,0.52381,0.912281,0.904762,28,2,44,4,hn00
83,epoch82.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate\yolo11m_gate2_formal_200ep\weights\epoch_083.pt,1.887497,0.09,0.25,0.214286,0.52381,0.912281,0.904762,18,2,44,4,hn00
84,epoch83.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate\yolo11m_gate2_formal_200ep\weights\epoch_084.pt,1.720715,0.12,0.24,0.369048,0.559524,0.918322,0.89881,31,2,47,4,hn00
85,epoch84.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate\yolo11m_gate2_formal_200ep\weights\epoch_085.pt,1.603024,0.13,0.15,0.440476,0.5,0.908297,0.90873,37,2,42,4,hn00
86,epoch85.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate\yolo11m_gate2_formal_200ep\weights\epoch_086.pt,1.815112,0.16,0.23,0.428571,0.535714,0.914286,0.902778,36,2,45,4,hn00
87,epoch86.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate\yolo11m_gate2_formal_200ep\weights\epoch_087.pt,1.894726,0.17,0.24,0.404762,0.547619,0.916484,0.902778,34,2,46,3,hn00
88,epoch87.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate\yolo11m_gate2_formal_200ep\weights\epoch_088.pt,1.863231,0.12,0.21,0.416667,0.52381,0.912473,0.906746,35,2,44,3,hn00
89,epoch88.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate\yolo11m_gate2_formal_200ep\weights\epoch_089.pt,1.957605,0.15,0.24,0.416667,0.559524,0.918322,0.89881,35,2,47,4,hn00
90,epoch89.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate\yolo11m_gate2_formal_200ep\weights\epoch_090.pt,2.054035,0.19,0.27,0.416667,0.559524,0.918322,0.89881,35,2,47,4,hn00
91,epoch90.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate\yolo11m_gate2_formal_200ep\weights\epoch_091.pt,1.887322,0.12,0.23,0.369048,0.511905,0.910284,0.906746,31,2,43,4,hn00
92,epoch91.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate\yolo11m_gate2_formal_200ep\weights\epoch_092.pt,2.013509,0.16,0.35,0.428571,0.619048,0.928571,0.888889,36,2,52,4,hn00
93,epoch92.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate\yolo11m_gate2_formal_200ep\weights\epoch_093.pt,1.855531,0.11,0.21,0.380952,0.571429,0.920354,0.896825,32,2,48,4,hn00
94,epoch93.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate\yolo11m_gate2_formal_200ep\weights\epoch_094.pt,1.977795,0.15,0.34,0.404762,0.654762,0.934831,0.882937,34,2,55,4,hn00
95,epoch94.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate\yolo11m_gate2_formal_200ep\weights\epoch_095.pt,1.88648,0.16,0.26,0.452381,0.583333,0.922395,0.894841,38,2,49,4,hn00
96,epoch95.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate\yolo11m_gate2_formal_200ep\weights\epoch_096.pt,2.122477,0.13,0.16,0.404762,0.416667,0.89485,0.924603,34,1,35,3,hn00
97,epoch96.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate\yolo11m_gate2_formal_200ep\weights\epoch_097.pt,1.921355,0.09,0.23,0.321429,0.595238,0.924444,0.892857,27,2,50,4,hn00
98,epoch97.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate\yolo11m_gate2_formal_200ep\weights\epoch_098.pt,1.901323,0.11,0.22,0.369048,0.52381,0.912281,0.904762,31,2,44,4,hn00
99,epoch98.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate\yolo11m_gate2_formal_200ep\weights\epoch_099.pt,2.020385,0.13,0.22,0.357143,0.488095,0.906318,0.910714,30,2,41,4,hn00
100,epoch99.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate\yolo11m_gate2_formal_200ep\weights\epoch_100.pt,2.145682,0.15,0.19,0.404762,0.464286,0.902386,0.914683,34,2,39,4,hn00
101,epoch100.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate\yolo11m_gate2_formal_200ep\weights\epoch_101.pt,2.257392,0.14,0.28,0.369048,0.583333,0.922395,0.894841,31,2,49,4,hn00
102,epoch101.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate\yolo11m_gate2_formal_200ep\weights\epoch_102.pt,2.13268,0.17,0.26,0.452381,0.583333,0.922395,0.894841,38,2,49,4,hn00
