ratio_id,ratio_percent,spec_at_r995,spec_at_r990,prec_at_r990,ptr_at_r990,formal_rank
hn00,0,0.595238,0.654762,0.934831,0.882937,3
hn02,2,0.642857,0.642857,0.933036,0.888889,2
hn04,4,0.559524,0.607143,0.926503,0.890873,7
hn06,6,0.595238,0.619048,0.928571,0.888889,4
hn08,8,0.583333,0.654762,0.934831,0.882937,5
hn10,10,0.52381,0.535714,0.914474,0.904762,11
hn12,12,0.535714,0.571429,0.920354,0.896825,10
hn14,14,0.642857,0.654762,0.934978,0.884921,1
hn16,16,0.571429,0.571429,0.920705,0.900794,6
hn18,18,0.547619,0.547619,0.916667,0.904762,9
hn20,20,0.559524,0.595238,0.924612,0.894841,8
