model,ratio_id,ratio_percent,Spec@R99.0
yolo11m-cls,hn00,0,0.654762
yolo11m-cls,hn02,2,0.642857
yolo11x-cls,hn00,0,0.595238
yolo11x-cls,hn02,2,0.547619
