epoch,checkpoint_file,checkpoint_path,temperature_T,tau_r995,tau_r990,spec_at_r995,spec_at_r990,prec_at_r990,ptr_at_r990,tn_at_r995,fn_at_r995,tn_at_r990,fn_at_r990,ratio_id
1,epoch0.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate\yolo11n_gate2_formal_200ep\weights\epoch_001.pt,0.997246,0.25,0.27,0.178571,0.202381,0.86157,0.960317,15,2,17,3,hn00
2,epoch1.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate\yolo11n_gate2_formal_200ep\weights\epoch_002.pt,1.050117,0.07,0.24,0.011905,0.035714,0.837022,0.986111,1,0,3,4,hn00
3,epoch2.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate\yolo11n_gate2_formal_200ep\weights\epoch_003.pt,1.613126,0.01,0.23,0.0,0.059524,0.840726,0.984127,0,0,5,3,hn00
4,epoch3.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate\yolo11n_gate2_formal_200ep\weights\epoch_004.pt,1.134696,0.29,0.29,0.178571,0.178571,0.858316,0.96627,15,2,15,2,hn00
5,epoch4.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate\yolo11n_gate2_formal_200ep\weights\epoch_005.pt,1.028487,0.29,0.32,0.178571,0.190476,0.859504,0.960317,15,2,16,4,hn00
6,epoch5.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate\yolo11n_gate2_formal_200ep\weights\epoch_006.pt,1.005069,0.39,0.45,0.047619,0.202381,0.861284,0.958333,4,1,17,4,hn00
7,epoch6.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate\yolo11n_gate2_formal_200ep\weights\epoch_007.pt,0.967193,0.26,0.27,0.214286,0.22619,0.864865,0.954365,18,2,19,4,hn00
8,epoch7.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate\yolo11n_gate2_formal_200ep\weights\epoch_008.pt,1.44941,0.39,0.42,0.214286,0.22619,0.864865,0.954365,18,2,19,4,hn00
9,epoch8.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate\yolo11n_gate2_formal_200ep\weights\epoch_009.pt,1.254615,0.4,0.44,0.119048,0.166667,0.855967,0.964286,10,2,14,4,hn00
10,epoch9.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate\yolo11n_gate2_formal_200ep\weights\epoch_010.pt,0.856053,0.2,0.27,0.202381,0.25,0.868476,0.950397,17,2,21,4,hn00
11,epoch10.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate\yolo11n_gate2_formal_200ep\weights\epoch_011.pt,1.061181,0.23,0.31,0.095238,0.238095,0.866667,0.952381,8,2,20,4,hn00
12,epoch11.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate\yolo11n_gate2_formal_200ep\weights\epoch_012.pt,0.921484,0.27,0.36,0.178571,0.25,0.86875,0.952381,15,2,21,3,hn00
13,epoch12.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate\yolo11n_gate2_formal_200ep\weights\epoch_013.pt,0.936539,0.13,0.15,0.166667,0.190476,0.859504,0.960317,14,2,16,4,hn00
14,epoch13.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate\yolo11n_gate2_formal_200ep\weights\epoch_014.pt,1.178052,0.23,0.4,0.107143,0.261905,0.870293,0.948413,9,2,22,4,hn00
15,epoch14.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate\yolo11n_gate2_formal_200ep\weights\epoch_015.pt,0.902567,0.16,0.21,0.178571,0.297619,0.875789,0.94246,15,2,25,4,hn00
16,epoch15.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate\yolo11n_gate2_formal_200ep\weights\epoch_016.pt,1.29477,0.26,0.3,0.25,0.27381,0.872117,0.946429,21,1,23,4,hn00
17,epoch16.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate\yolo11n_gate2_formal_200ep\weights\epoch_017.pt,1.102566,0.24,0.28,0.285714,0.345238,0.883227,0.934524,24,2,29,4,hn00
18,epoch17.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate\yolo11n_gate2_formal_200ep\weights\epoch_018.pt,1.117468,0.26,0.33,0.214286,0.25,0.868476,0.950397,18,2,21,4,hn00
19,epoch18.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate\yolo11n_gate2_formal_200ep\weights\epoch_019.pt,1.363829,0.24,0.33,0.214286,0.345238,0.883227,0.934524,18,2,29,4,hn00
20,epoch19.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate\yolo11n_gate2_formal_200ep\weights\epoch_020.pt,1.096383,0.23,0.32,0.178571,0.297619,0.875789,0.94246,15,2,25,4,hn00
21,epoch20.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate\yolo11n_gate2_formal_200ep\weights\epoch_021.pt,1.098769,0.18,0.35,0.107143,0.321429,0.879493,0.938492,9,1,27,4,hn00
22,epoch21.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate\yolo11n_gate2_formal_200ep\weights\epoch_022.pt,1.091686,0.38,0.45,0.357143,0.488095,0.906318,0.910714,30,2,41,4,hn00
23,epoch22.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate\yolo11n_gate2_formal_200ep\weights\epoch_023.pt,1.12516,0.12,0.27,0.190476,0.357143,0.885106,0.93254,16,2,30,4,hn00
