ratio_id,ratio_percent,spec_at_r995,formal_rank
hn00,0,0.595238,2
hn02,2,0.642857,1
hn04,4,0.559524,5
hn06,6,0.595238,3
hn08,8,0.583333,4
hn10,10,0.52381,7
hn12,12,0.535714,6
