ratio_id,ratio_percent,best_epoch,formal_rank
hn00,0,76,11
hn02,2,43,3
hn04,4,72,9
hn06,6,1,8
hn08,8,100,1
hn10,10,1,6
hn12,12,1,5
hn14,14,87,10
hn16,16,1,7
hn18,18,1,2
hn20,20,1,4
