ratio_id,epoch,Prec@R99.0
hn00,1,0.872117
hn00,2,0.840726
hn00,3,0.837349
hn00,4,0.852459
hn00,5,0.864865
hn00,6,0.879493
hn00,7,0.888889
hn00,8,0.845528
hn00,9,0.849287
hn00,10,0.877637
hn00,11,0.86875
hn00,12,0.870293
hn00,13,0.861284
hn00,14,0.870293
hn00,15,0.881356
hn00,16,0.86875
hn00,17,0.886994
hn00,18,0.886994
hn00,19,0.874214
hn00,20,0.866667
hn00,21,0.881356
hn00,22,0.894624
hn00,23,0.891026
hn00,24,0.890792
hn00,25,0.900433
hn00,26,0.898488
hn00,27,0.891026
hn00,28,0.900648
hn00,29,0.904555
hn00,30,0.894624
hn00,31,0.896552
hn00,32,0.885106
hn00,33,0.879493
hn00,34,0.887234
hn00,35,0.887234
hn00,36,0.888889
hn00,37,0.920354
hn00,38,0.885106
hn00,39,0.883475
hn00,40,0.896996
hn00,41,0.890792
hn00,42,0.902386
hn00,43,0.902386
hn00,44,0.896552
hn00,45,0.891026
hn00,46,0.902386
hn00,47,0.894624
hn00,48,0.890792
hn00,49,0.888889
hn00,50,0.900862
hn00,51,0.887234
hn00,52,0.910284
hn00,53,0.910284
hn00,54,0.912281
hn00,55,0.912281
hn00,56,0.896552
hn00,57,0.902386
hn00,58,0.904348
hn00,59,0.896552
hn00,60,0.920354
hn00,61,0.898488
hn00,62,0.91048
hn00,63,0.906318
hn00,64,0.906318
hn00,65,0.894624
hn00,66,0.910284
hn00,67,0.902386
hn00,68,0.892704
hn00,69,0.902386
hn00,70,0.918322
hn00,71,0.900433
hn00,72,0.898488
hn00,73,0.908696
hn00,74,0.922395
hn00,75,0.910675
hn00,76,0.912473
hn00,77,0.928571
hn00,78,0.934831
hn00,79,0.9163
hn00,80,0.910284
hn00,81,0.902597
hn00,82,0.912281
hn00,83,0.912281
hn00,84,0.918322
hn00,85,0.908297
hn00,86,0.914286
hn00,87,0.916484
hn00,88,0.912473
hn00,89,0.918322
hn00,90,0.918322
hn00,91,0.910284
hn00,92,0.928571
hn00,93,0.920354
hn00,94,0.934831
hn00,95,0.922395
hn00,96,0.89485
hn00,97,0.924444
hn00,98,0.912281
hn00,99,0.906318
hn00,100,0.902386
hn00,101,0.922395
hn00,102,0.922395
hn00,103,0.91048
hn00,104,0.9163
hn00,105,0.922566
hn00,106,0.934831
hn00,107,0.914286
hn00,108,0.9163
hn00,109,0.910284
hn00,110,0.910284
hn00,111,0.912281
hn00,112,0.918502
hn00,113,0.922395
hn00,114,0.926503
hn00,115,0.926503
hn00,116,0.928571
hn00,117,0.922395
hn00,118,0.924444
hn00,119,0.926503
hn00,120,0.928731
hn00,121,0.934831
hn00,122,0.936937
hn00,123,0.928571
hn00,124,0.904348
hn00,125,0.900433
hn00,126,0.914286
hn00,127,0.922395
hn00,128,0.920354
hn00,129,0.9163
hn00,130,0.918322
hn00,131,0.918322
hn00,132,0.918322
hn00,133,0.920354
hn00,134,0.9163
hn00,135,0.914286
hn00,136,0.912281
hn00,137,0.914286
hn00,138,0.914286
hn00,139,0.912281
hn00,140,0.914286
hn00,141,0.906318
hn00,142,0.908497
hn00,143,0.910284
hn00,144,0.908297
hn00,145,0.908497
hn00,146,0.920354
hn00,147,0.924444
hn00,148,0.924444
hn00,149,0.924444
hn00,150,0.924444
hn00,151,0.924444
hn00,152,0.926503
hn00,153,0.926503
hn00,154,0.924444
hn00,155,0.924444
hn00,156,0.928571
hn00,157,0.924444
hn00,158,0.924444
hn00,159,0.924444
hn00,160,0.924444
hn00,161,0.924444
hn00,162,0.926503
hn00,163,0.928571
hn00,164,0.928571
hn00,165,0.928571
hn00,166,0.926503
hn00,167,0.926503
hn00,168,0.926503
hn00,169,0.924444
hn00,170,0.926503
hn00,171,0.922395
hn00,172,0.922395
hn00,173,0.922395
hn00,174,0.922395
hn00,175,0.914286
hn00,176,0.9163
hn00,177,0.920354
hn00,178,0.920354
hn00,179,0.9163
hn00,180,0.9163
hn00,181,0.9163
hn00,182,0.9163
hn00,183,0.9163
hn00,184,0.9163
hn00,185,0.9163
hn00,186,0.9163
hn00,187,0.920354
hn00,188,0.920354
hn00,189,0.924444
hn00,190,0.922395
hn00,191,0.922395
hn00,192,0.920354
hn00,193,0.920354
hn00,194,0.918322
hn00,195,0.918322
hn00,196,0.918322
hn00,197,0.918322
hn00,198,0.918322
hn00,199,0.918322
hn00,200,0.918322
hn02,1,0.928571
hn02,2,0.908497
hn02,3,0.866667
hn02,4,0.877637
hn02,5,0.898488
hn02,6,0.9163
hn02,7,0.9163
hn02,8,0.896552
hn02,9,0.868476
hn02,10,0.872385
hn02,11,0.89485
hn02,12,0.902386
hn02,13,0.912281
hn02,14,0.892704
hn02,15,0.900433
hn02,16,0.914474
hn02,17,0.902386
hn02,18,0.900648
hn02,19,0.879493
hn02,20,0.875789
hn02,21,0.892934
hn02,22,0.895075
hn02,23,0.902386
hn02,24,0.912281
hn02,25,0.889126
hn02,26,0.898488
hn02,27,0.908297
hn02,28,0.910284
hn02,29,0.902386
hn02,30,0.92053
hn02,31,0.924444
hn02,32,0.910284
hn02,33,0.887234
hn02,34,0.888889
hn02,35,0.906318
hn02,36,0.924612
hn02,37,0.900648
hn02,38,0.889126
hn02,39,0.918322
hn02,40,0.914286
hn02,41,0.924444
hn02,42,0.912281
hn02,43,0.922395
hn02,44,0.886994
hn02,45,0.894624
hn02,46,0.887234
hn02,47,0.910284
hn02,48,0.922737
hn02,49,0.886994
hn02,50,0.908297
hn02,51,0.933036
hn02,52,0.906318
hn02,53,0.912281
hn02,54,0.928571
hn02,55,0.902386
hn02,56,0.914286
hn02,57,0.886994
hn02,58,0.924444
hn02,59,0.914286
hn02,60,0.922395
hn02,61,0.912473
hn02,62,0.904555
hn02,63,0.912281
hn02,64,0.887234
hn02,65,0.928571
hn02,66,0.888889
hn02,67,0.904348
hn02,68,0.9163
hn02,69,0.891026
hn02,70,0.902597
hn02,71,0.914286
hn02,72,0.906318
hn02,73,0.912281
hn02,74,0.900433
hn02,75,0.902386
hn02,76,0.904555
hn02,77,0.908297
hn02,78,0.928571
hn02,79,0.908297
hn02,80,0.906318
hn02,81,0.900433
hn02,82,0.906522
hn02,83,0.906318
hn02,84,0.910284
hn02,85,0.924444
hn02,86,0.914286
hn02,87,0.910284
hn02,88,0.910284
hn02,89,0.922566
hn02,90,0.912473
hn02,91,0.912281
hn02,92,0.910284
hn02,93,0.906318
hn02,94,0.892704
hn02,95,0.906318
hn02,96,0.908297
hn02,97,0.904348
hn02,98,0.896552
hn02,99,0.912281
hn02,100,0.9163
hn02,101,0.912281
hn02,102,0.914286
hn02,103,0.910284
hn02,104,0.910284
hn02,105,0.9163
hn02,106,0.918322
hn02,107,0.904348
hn02,108,0.912664
hn02,109,0.908297
hn02,110,0.92053
hn02,111,0.92053
hn02,112,0.9163
hn02,113,0.926503
hn02,114,0.920354
hn02,115,0.926503
hn02,116,0.922395
hn02,117,0.916484
hn02,118,0.922395
hn02,119,0.926503
hn02,120,0.922395
hn02,121,0.916484
hn02,122,0.914286
hn02,123,0.920354
hn02,124,0.912281
hn02,125,0.914286
hn02,126,0.912281
hn02,127,0.904348
hn02,128,0.904348
hn02,129,0.910284
hn02,130,0.910284
hn02,131,0.908297
hn02,132,0.906318
hn02,133,0.910284
hn02,134,0.91048
hn02,135,0.9163
hn02,136,0.914286
hn02,137,0.926503
hn02,138,0.918322
hn02,139,0.9163
hn02,140,0.912281
hn02,141,0.910284
hn02,142,0.910284
hn02,143,0.910284
hn02,144,0.910284
hn02,145,0.910284
hn02,146,0.908297
hn02,147,0.906522
hn02,148,0.906318
hn02,149,0.906318
hn02,150,0.904555
hn02,151,0.902597
hn02,152,0.902386
hn02,153,0.900648
hn02,154,0.900648
hn02,155,0.900433
hn02,156,0.902386
hn02,157,0.900648
hn02,158,0.898488
hn02,159,0.896552
hn02,160,0.898488
hn02,161,0.900433
hn02,162,0.900433
hn02,163,0.902386
hn02,164,0.900433
hn02,165,0.900433
hn02,166,0.900433
hn02,167,0.900433
hn02,168,0.898488
hn02,169,0.896552
hn02,170,0.894624
hn02,171,0.894624
hn02,172,0.892934
hn02,173,0.898488
hn02,174,0.898488
hn02,175,0.902386
hn02,176,0.902386
hn02,177,0.904348
hn02,178,0.902386
hn02,179,0.902386
hn02,180,0.904348
hn02,181,0.902386
hn02,182,0.902386
hn02,183,0.902386
hn02,184,0.902386
hn02,185,0.904348
hn02,186,0.902386
hn02,187,0.902386
hn02,188,0.902386
hn02,189,0.902386
hn02,190,0.902386
hn02,191,0.902386
hn02,192,0.902386
hn02,193,0.902386
hn02,194,0.898488
hn02,195,0.898488
hn02,196,0.898488
hn02,197,0.898488
hn02,198,0.898488
hn02,199,0.898488
hn02,200,0.898488
hn12,1,0.922395
hn12,2,0.912281
hn12,3,0.877637
hn12,4,0.877637
hn12,5,0.896552
hn12,6,0.883475
hn12,7,0.912281
hn12,8,0.898488
hn12,9,0.879493
hn12,10,0.892934
hn12,11,0.890792
hn12,12,0.89485
hn12,13,0.875789
hn12,14,0.910284
hn12,15,0.896552
hn12,16,0.900433
hn12,17,0.914286
hn12,18,0.896774
hn12,19,0.886994
hn12,20,0.912281
hn12,21,0.912281
hn12,22,0.888889
hn12,23,0.910284
hn12,24,0.863071
hn12,25,0.890792
hn12,26,0.918322
hn12,27,0.918322
hn12,28,0.902386
hn12,29,0.898488
hn12,30,0.904348
hn12,31,0.870293
hn12,32,0.889126
hn12,33,0.88535
hn12,34,0.900433
hn12,35,0.898488
hn12,36,0.885106
hn12,37,0.890792
hn12,38,0.888889
hn12,39,0.892704
hn12,40,0.886994
hn12,41,0.892704
hn12,42,0.902386
hn12,43,0.883475
hn12,44,0.896552
hn12,45,0.872917
hn12,46,0.900433
hn12,47,0.92053
hn12,48,0.902386
hn12,49,0.890792
hn12,50,0.892704
hn12,51,0.879493
hn12,52,0.881607
hn12,53,0.900648
hn12,54,0.896552
hn12,55,0.904348
hn12,56,0.898488
hn12,57,0.920354
hn12,58,0.898488
hn12,59,0.870293
hn12,60,0.886994
hn12,61,0.900433
hn12,62,0.896774
hn12,63,0.910284
hn12,64,0.908297
hn12,65,0.910284
hn12,66,0.892934
hn12,67,0.906318
hn12,68,0.91048
hn12,69,0.900433
hn12,70,0.904348
hn12,71,0.888889
hn12,72,0.902386
hn12,73,0.875789
hn12,74,0.914286
hn12,75,0.89485
hn12,76,0.908297
hn12,77,0.894624
hn12,78,0.896552
hn12,79,0.908297
hn12,80,0.9163
hn12,81,0.910284
hn12,82,0.902386
hn12,83,0.900433
hn12,84,0.910284
hn12,85,0.92053
hn12,86,0.918502
hn12,87,0.924444
hn12,88,0.908497
hn12,89,0.918322
hn12,90,0.928571
hn12,91,0.924444
hn12,92,0.920354
hn12,93,0.908297
hn12,94,0.922566
hn12,95,0.932735
hn12,96,0.916484
hn12,97,0.912473
hn12,98,0.910284
hn12,99,0.912281
hn12,100,0.918322
hn12,101,0.9163
hn12,102,0.922395
hn12,103,0.912473
hn12,104,0.910284
hn12,105,0.904555
hn12,106,0.912281
hn12,107,0.9163
hn12,108,0.908497
hn12,109,0.908297
hn12,110,0.9163
hn12,111,0.914286
hn12,112,0.918322
hn12,113,0.912473
hn12,114,0.918322
hn12,115,0.920354
hn12,116,0.92053
hn12,117,0.91048
hn12,118,0.908497
hn12,119,0.904348
hn12,120,0.904348
hn12,121,0.904555
hn12,122,0.902386
hn12,123,0.902597
hn12,124,0.912281
hn12,125,0.912281
hn12,126,0.912281
hn12,127,0.918322
hn12,128,0.908297
hn12,129,0.900862
hn12,130,0.900862
hn12,131,0.912281
hn12,132,0.910284
hn12,133,0.904348
hn12,134,0.908297
hn12,135,0.902386
hn12,136,0.900433
hn12,137,0.906318
hn12,138,0.912281
hn12,139,0.914286
hn12,140,0.9163
hn12,141,0.914286
hn12,142,0.912281
hn12,143,0.906318
hn12,144,0.910284
hn12,145,0.914286
hn12,146,0.9163
hn12,147,0.918322
hn12,148,0.910284
hn12,149,0.908297
hn12,150,0.906318
hn12,151,0.902597
hn12,152,0.906318
hn12,153,0.908297
hn12,154,0.908297
hn12,155,0.908297
hn12,156,0.908297
hn12,157,0.906318
hn12,158,0.906318
hn12,159,0.904348
hn12,160,0.904348
hn12,161,0.906318
hn12,162,0.910284
hn12,163,0.908297
hn12,164,0.914286
hn12,165,0.9163
hn12,166,0.9163
hn12,167,0.9163
hn12,168,0.9163
hn12,169,0.9163
hn12,170,0.914286
hn12,171,0.914286
hn12,172,0.9163
hn12,173,0.9163
hn12,174,0.9163
hn12,175,0.918322
hn12,176,0.9163
hn12,177,0.918322
hn12,178,0.920354
hn12,179,0.920354
hn12,180,0.920354
hn12,181,0.920354
hn12,182,0.920354
hn12,183,0.920354
hn12,184,0.920354
hn12,185,0.920354
hn12,186,0.920354
hn12,187,0.918322
hn12,188,0.918322
hn12,189,0.918322
hn12,190,0.9163
hn12,191,0.914286
hn12,192,0.914286
hn12,193,0.914286
hn12,194,0.914286
hn12,195,0.914286
hn12,196,0.914286
hn12,197,0.914286
hn12,198,0.914286
hn12,199,0.914286
hn12,200,0.914286
