operating_point,before_threshold,after_threshold,before_specificity,after_specificity,before_precision,after_precision,before_ptr,after_ptr
recall_ge_99_5,,0.15,,0.416667,,0.895075,,0.926587
recall_ge_99_0,0.03,0.23,0.488095,0.488095,0.906318,0.906318,0.910714,0.910714
recall_ge_98_0,0.24,0.41,0.654762,0.654762,0.93424,0.93424,0.875,0.875
