variant,variant_desc,threshold,tp,fn,fp,tn,recall,precision,specificity,fpr,fnr,npv,accuracy,f1,ptr,normal_filtered,normal_left,abnormal_kept,abnormal_missed
P2,single-prototype trust,0.21,418,2,40,44,0.995238,0.912664,0.52381,0.47619,0.004762,0.956522,0.916667,0.952164,0.90873,44,40,418,2
P2,single-prototype trust,0.22,416,4,37,47,0.990476,0.918322,0.559524,0.440476,0.009524,0.921569,0.918651,0.953036,0.89881,47,37,416,4
P2,single-prototype trust,0.23,415,5,34,50,0.988095,0.924276,0.595238,0.404762,0.011905,0.909091,0.922619,0.955121,0.890873,50,34,415,5
P2,single-prototype trust,0.24,412,8,33,51,0.980952,0.925843,0.607143,0.392857,0.019048,0.864407,0.918651,0.952601,0.882937,51,33,412,8
P2,single-prototype trust,0.25,407,13,25,59,0.969048,0.94213,0.702381,0.297619,0.030952,0.819444,0.924603,0.955399,0.857143,59,25,407,13
P2,single-prototype trust,0.26,404,16,23,61,0.961905,0.946136,0.72619,0.27381,0.038095,0.792208,0.922619,0.953955,0.847222,61,23,404,16
P2,single-prototype trust,0.27,401,19,21,63,0.954762,0.950237,0.75,0.25,0.045238,0.768293,0.920635,0.952494,0.837302,63,21,401,19
P2,single-prototype trust,0.28,398,22,21,63,0.947619,0.949881,0.75,0.25,0.052381,0.741176,0.914683,0.948749,0.831349,63,21,398,22
P2,single-prototype trust,0.29,394,26,20,64,0.938095,0.951691,0.761905,0.238095,0.061905,0.711111,0.90873,0.944844,0.821429,64,20,394,26
P2,single-prototype trust,0.3,393,27,18,66,0.935714,0.956204,0.785714,0.214286,0.064286,0.709677,0.910714,0.945848,0.815476,66,18,393,27
P2,single-prototype trust,0.31,388,32,15,69,0.92381,0.962779,0.821429,0.178571,0.07619,0.683168,0.906746,0.942892,0.799603,69,15,388,32
P2,single-prototype trust,0.32,383,37,14,70,0.911905,0.964736,0.833333,0.166667,0.088095,0.654206,0.89881,0.937576,0.787698,70,14,383,37
P2,single-prototype trust,0.33,377,43,14,70,0.897619,0.964194,0.833333,0.166667,0.102381,0.619469,0.886905,0.929716,0.775794,70,14,377,43
P2,single-prototype trust,0.34,371,49,14,70,0.883333,0.963636,0.833333,0.166667,0.116667,0.588235,0.875,0.921739,0.763889,70,14,371,49
P2,single-prototype trust,0.35,360,60,13,71,0.857143,0.965147,0.845238,0.154762,0.142857,0.541985,0.855159,0.907945,0.740079,71,13,360,60
P2,single-prototype trust,0.36,350,70,12,72,0.833333,0.966851,0.857143,0.142857,0.166667,0.507042,0.837302,0.895141,0.718254,72,12,350,70
P2,single-prototype trust,0.37,325,95,9,75,0.77381,0.973054,0.892857,0.107143,0.22619,0.441176,0.793651,0.862069,0.662698,75,9,325,95
P2,single-prototype trust,0.38,291,129,5,79,0.692857,0.983108,0.940476,0.059524,0.307143,0.379808,0.734127,0.812849,0.587302,79,5,291,129
P2,single-prototype trust,0.39,225,195,4,80,0.535714,0.982533,0.952381,0.047619,0.464286,0.290909,0.605159,0.693374,0.454365,80,4,225,195
P2,single-prototype trust,0.4,92,328,0,84,0.219048,1.0,1.0,0.0,0.780952,0.203883,0.349206,0.359375,0.18254,84,0,92,328
P2,single-prototype trust,0.41,17,403,0,84,0.040476,1.0,1.0,0.0,0.959524,0.172485,0.200397,0.077803,0.03373,84,0,17,403
P2,single-prototype trust,0.42,0,420,0,84,0.0,0.0,1.0,0.0,1.0,0.166667,0.166667,0.0,0.0,84,0,0,420
P2,single-prototype trust,0.43,0,420,0,84,0.0,0.0,1.0,0.0,1.0,0.166667,0.166667,0.0,0.0,84,0,0,420
P2,single-prototype trust,0.44,0,420,0,84,0.0,0.0,1.0,0.0,1.0,0.166667,0.166667,0.0,0.0,84,0,0,420
P2,single-prototype trust,0.45,0,420,0,84,0.0,0.0,1.0,0.0,1.0,0.166667,0.166667,0.0,0.0,84,0,0,420
P2,single-prototype trust,0.46,0,420,0,84,0.0,0.0,1.0,0.0,1.0,0.166667,0.166667,0.0,0.0,84,0,0,420
P2,single-prototype trust,0.47,0,420,0,84,0.0,0.0,1.0,0.0,1.0,0.166667,0.166667,0.0,0.0,84,0,0,420
P2,single-prototype trust,0.48,0,420,0,84,0.0,0.0,1.0,0.0,1.0,0.166667,0.166667,0.0,0.0,84,0,0,420
P2,single-prototype trust,0.49,0,420,0,84,0.0,0.0,1.0,0.0,1.0,0.166667,0.166667,0.0,0.0,84,0,0,420
P2,single-prototype trust,0.5,0,420,0,84,0.0,0.0,1.0,0.0,1.0,0.166667,0.166667,0.0,0.0,84,0,0,420
P2,single-prototype trust,0.51,0,420,0,84,0.0,0.0,1.0,0.0,1.0,0.166667,0.166667,0.0,0.0,84,0,0,420
P2,single-prototype trust,0.52,0,420,0,84,0.0,0.0,1.0,0.0,1.0,0.166667,0.166667,0.0,0.0,84,0,0,420
P2,single-prototype trust,0.53,0,420,0,84,0.0,0.0,1.0,0.0,1.0,0.166667,0.166667,0.0,0.0,84,0,0,420
P2,single-prototype trust,0.54,0,420,0,84,0.0,0.0,1.0,0.0,1.0,0.166667,0.166667,0.0,0.0,84,0,0,420
P2,single-prototype trust,0.55,0,420,0,84,0.0,0.0,1.0,0.0,1.0,0.166667,0.166667,0.0,0.0,84,0,0,420
P2,single-prototype trust,0.56,0,420,0,84,0.0,0.0,1.0,0.0,1.0,0.166667,0.166667,0.0,0.0,84,0,0,420
P2,single-prototype trust,0.57,0,420,0,84,0.0,0.0,1.0,0.0,1.0,0.166667,0.166667,0.0,0.0,84,0,0,420
P2,single-prototype trust,0.58,0,420,0,84,0.0,0.0,1.0,0.0,1.0,0.166667,0.166667,0.0,0.0,84,0,0,420
P2,single-prototype trust,0.59,0,420,0,84,0.0,0.0,1.0,0.0,1.0,0.166667,0.166667,0.0,0.0,84,0,0,420
P2,single-prototype trust,0.6,0,420,0,84,0.0,0.0,1.0,0.0,1.0,0.166667,0.166667,0.0,0.0,84,0,0,420
P2,single-prototype trust,0.61,0,420,0,84,0.0,0.0,1.0,0.0,1.0,0.166667,0.166667,0.0,0.0,84,0,0,420
P2,single-prototype trust,0.62,0,420,0,84,0.0,0.0,1.0,0.0,1.0,0.166667,0.166667,0.0,0.0,84,0,0,420
P2,single-prototype trust,0.63,0,420,0,84,0.0,0.0,1.0,0.0,1.0,0.166667,0.166667,0.0,0.0,84,0,0,420
P2,single-prototype trust,0.64,0,420,0,84,0.0,0.0,1.0,0.0,1.0,0.166667,0.166667,0.0,0.0,84,0,0,420
P2,single-prototype trust,0.65,0,420,0,84,0.0,0.0,1.0,0.0,1.0,0.166667,0.166667,0.0,0.0,84,0,0,420
P2,single-prototype trust,0.66,0,420,0,84,0.0,0.0,1.0,0.0,1.0,0.166667,0.166667,0.0,0.0,84,0,0,420
P2,single-prototype trust,0.67,0,420,0,84,0.0,0.0,1.0,0.0,1.0,0.166667,0.166667,0.0,0.0,84,0,0,420
