relative_path,path,category,required,exists,size_bytes,sha256,modified_time
weights/best.pt,D:\ssh\AI\runs\stage1_cls_sweep\full_yolo11x_cls_20260614-185818\weights\best.pt,required,True,True,57026744,8ad33e38ca58cf34c71da714227f40051a90c1a16c977e81d184fe507d4efa04,2026-06-15T12:28:30
weights/last.pt,D:\ssh\AI\runs\stage1_cls_sweep\full_yolo11x_cls_20260614-185818\weights\last.pt,required,True,True,57026744,1fb7737c5915ea6a42df9b39b281e540b87254f480d5843955e5654afbb8a95d,2026-06-15T12:28:29
results.csv,D:\ssh\AI\runs\stage1_cls_sweep\full_yolo11x_cls_20260614-185818\results.csv,required,True,True,22888,6adf6a52ae042795e66a866ad78caf803fb0d77f8ed44a53c02b5a373c8456c1,2026-06-15T12:28:24
args.yaml,D:\ssh\AI\runs\stage1_cls_sweep\full_yolo11x_cls_20260614-185818\args.yaml,required,True,True,1880,d06c927a55a9707eecfa8932a456f7743046c2c8715c4dce3309d494bd5fda59,2026-06-14T18:58:25
train_log.txt,D:\ssh\AI\runs\stage1_cls_sweep\full_yolo11x_cls_20260614-185818\train_log.txt,required,True,True,26069964,72b520cd2cf1d555372c0491759db31a10eccbbeb826bbc6809e41bc1614855b,2026-06-15T12:28:55
run_meta.json,D:\ssh\AI\runs\stage1_cls_sweep\full_yolo11x_cls_20260614-185818\run_meta.json,required,True,True,4765,58c91e11cd26e9a059ec4aac3a79b89c3b9342b69e7ef773abf56fdedf35f99a,2026-06-15T12:28:57
confusion_matrix.png,D:\ssh\AI\runs\stage1_cls_sweep\full_yolo11x_cls_20260614-185818\confusion_matrix.png,optional,False,True,120153,923e435046e3c376ca45228857a658598164f387f2c026587cff5deae98a695b,2026-06-15T12:28:55
confusion_matrix_normalized.png,D:\ssh\AI\runs\stage1_cls_sweep\full_yolo11x_cls_20260614-185818\confusion_matrix_normalized.png,optional,False,True,115582,e68413303d66985c2a8513102fdffd8d708500327bbabefcdd0f2fa1c866c92b,2026-06-15T12:28:55
results.png,D:\ssh\AI\runs\stage1_cls_sweep\full_yolo11x_cls_20260614-185818\results.png,optional,False,True,120245,30613082d1c6eda38d83d6af3b796c4877e53a5189285c86f3e882419279de28,2026-06-15T12:28:57
train_batch0.jpg,D:\ssh\AI\runs\stage1_cls_sweep\full_yolo11x_cls_20260614-185818\train_batch0.jpg,optional,False,True,134898,0d3c06be6293a3aaa2562d36e737d4564094db47b6fd5b03e31f4ab9cd79def5,2026-06-14T18:59:04
