epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,396.19,0.36814,0.89608,1,0.26547,0.00998934,0.00332978,0.00998934,0.00332978,0.00998934,0.00332978,0.00998934,0.00332978
2,731.479,0.25014,0.91067,1,0.22994,0.0198904,0.00663013,0.0198904,0.00663013,0.0198904,0.00663013,0.0198904,0.00663013
3,1064.95,0.25344,0.88867,1,0.28043,0.0296924,0.00989748,0.0296924,0.00989748,0.0296924,0.00989748,0.0296924,0.00989748
4,1393.72,0.2738,0.87629,1,0.30505,0.0295545,0.0098515,0.0295545,0.0098515,0.0295545,0.0098515,0.0295545,0.0098515
5,1716.85,0.26758,0.90104,1,0.24924,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802
6,2034.52,0.26459,0.91242,1,0.22916,0.0292575,0.0097525,0.0292575,0.0097525,0.0292575,0.0097525,0.0292575,0.0097525
7,2353.59,0.26155,0.91079,1,0.23366,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
8,2668.29,0.26191,0.91408,1,0.22005,0.0289605,0.0096535,0.0289605,0.0096535,0.0289605,0.0096535,0.0289605,0.0096535
9,2983.28,0.26054,0.91904,1,0.21211,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
10,3296.93,0.26075,0.91896,1,0.20673,0.0286635,0.0095545,0.0286635,0.0095545,0.0286635,0.0095545,0.0286635,0.0095545
11,3609.34,0.26082,0.92083,1,0.20526,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
12,3923.28,0.25749,0.91858,1,0.20973,0.0283665,0.0094555,0.0283665,0.0094555,0.0283665,0.0094555,0.0283665,0.0094555
13,4236.71,0.25964,0.91962,1,0.21237,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
14,4549.75,0.25893,0.92308,1,0.20849,0.0280695,0.0093565,0.0280695,0.0093565,0.0280695,0.0093565,0.0280695,0.0093565
15,4862.49,0.25683,0.92196,1,0.20826,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
16,5174.87,0.25507,0.92158,1,0.2111,0.0277725,0.0092575,0.0277725,0.0092575,0.0277725,0.0092575,0.0277725,0.0092575
17,5487.39,0.25583,0.92196,1,0.21167,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
18,5800.18,0.25535,0.92142,1,0.2112,0.0274755,0.0091585,0.0274755,0.0091585,0.0274755,0.0091585,0.0274755,0.0091585
19,6112.96,0.25282,0.92096,1,0.21345,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
20,6426.74,0.25226,0.92004,1,0.21423,0.0271785,0.0090595,0.0271785,0.0090595,0.0271785,0.0090595,0.0271785,0.0090595
21,6740.6,0.25222,0.91967,1,0.21455,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
22,7053.43,0.24921,0.91879,1,0.21548,0.0268815,0.0089605,0.0268815,0.0089605,0.0268815,0.0089605,0.0268815,0.0089605
23,7366.36,0.24952,0.91821,1,0.21642,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
24,7679.38,0.24974,0.91775,1,0.2167,0.0265845,0.0088615,0.0265845,0.0088615,0.0265845,0.0088615,0.0265845,0.0088615
25,7992.08,0.24926,0.91683,1,0.21758,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
26,8305.22,0.24775,0.91596,1,0.21778,0.0262875,0.0087625,0.0262875,0.0087625,0.0262875,0.0087625,0.0262875,0.0087625
27,8618.14,0.24718,0.91483,1,0.2185,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
28,8931.68,0.24796,0.91396,1,0.21932,0.0259905,0.0086635,0.0259905,0.0086635,0.0259905,0.0086635,0.0259905,0.0086635
29,9245.71,0.24584,0.91363,1,0.22019,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
30,9558.01,0.24581,0.913,1,0.22129,0.0256935,0.0085645,0.0256935,0.0085645,0.0256935,0.0085645,0.0256935,0.0085645
31,9871.15,0.24531,0.91267,1,0.22217,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
32,10184.3,0.24144,0.91204,1,0.22332,0.0253965,0.0084655,0.0253965,0.0084655,0.0253965,0.0084655,0.0253965,0.0084655
33,10498.2,0.24374,0.91167,1,0.22421,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
34,10812.7,0.24346,0.91171,1,0.22515,0.0250995,0.0083665,0.0250995,0.0083665,0.0250995,0.0083665,0.0250995,0.0083665
35,11125.5,0.24009,0.91079,1,0.22606,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
36,11439.6,0.24198,0.91013,1,0.22762,0.0248025,0.0082675,0.0248025,0.0082675,0.0248025,0.0082675,0.0248025,0.0082675
37,11752.9,0.24069,0.9095,1,0.22861,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
38,12066.8,0.23937,0.909,1,0.22952,0.0245055,0.0081685,0.0245055,0.0081685,0.0245055,0.0081685,0.0245055,0.0081685
39,12378.6,0.2377,0.90867,1,0.23067,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119
40,12693.2,0.23892,0.90892,1,0.23106,0.0242085,0.0080695,0.0242085,0.0080695,0.0242085,0.0080695,0.0242085,0.0080695
41,13006.5,0.23907,0.90858,1,0.23097,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
42,13319.9,0.23784,0.90846,1,0.23143,0.0239115,0.0079705,0.0239115,0.0079705,0.0239115,0.0079705,0.0239115,0.0079705
43,13634,0.23618,0.90883,1,0.23153,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921
44,13948.6,0.23502,0.90892,1,0.23129,0.0236145,0.0078715,0.0236145,0.0078715,0.0236145,0.0078715,0.0236145,0.0078715
45,14262.9,0.23558,0.90854,1,0.23128,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
46,14575.7,0.23539,0.90858,1,0.23136,0.0233175,0.0077725,0.0233175,0.0077725,0.0233175,0.0077725,0.0233175,0.0077725
47,14890.2,0.23443,0.90863,1,0.23084,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723
48,15203.5,0.23441,0.90867,1,0.23007,0.0230205,0.0076735,0.0230205,0.0076735,0.0230205,0.0076735,0.0230205,0.0076735
49,15518.3,0.23411,0.90892,1,0.22921,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
50,15832.4,0.23344,0.90987,1,0.22874,0.0227235,0.0075745,0.0227235,0.0075745,0.0227235,0.0075745,0.0227235,0.0075745
51,16145.3,0.2315,0.90962,1,0.22809,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
52,16463.3,0.23181,0.91017,1,0.22765,0.0224265,0.0074755,0.0224265,0.0074755,0.0224265,0.0074755,0.0224265,0.0074755
53,16776.8,0.23189,0.91046,1,0.22649,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
54,17090.7,0.23027,0.911,1,0.22526,0.0221295,0.0073765,0.0221295,0.0073765,0.0221295,0.0073765,0.0221295,0.0073765
55,17404.3,0.23035,0.91125,1,0.22431,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327
56,17718,0.23122,0.91113,1,0.22371,0.0218325,0.0072775,0.0218325,0.0072775,0.0218325,0.0072775,0.0218325,0.0072775
57,18033.5,0.22738,0.91137,1,0.22249,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
58,18350.4,0.22768,0.91192,1,0.22138,0.0215355,0.0071785,0.0215355,0.0071785,0.0215355,0.0071785,0.0215355,0.0071785
59,18665.5,0.22714,0.91192,1,0.2202,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129
60,18980.5,0.22698,0.91233,1,0.21914,0.0212385,0.0070795,0.0212385,0.0070795,0.0212385,0.0070795,0.0212385,0.0070795
61,19295.8,0.2252,0.91279,1,0.21841,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
62,19609.2,0.22571,0.91354,1,0.21747,0.0209415,0.0069805,0.0209415,0.0069805,0.0209415,0.0069805,0.0209415,0.0069805
63,19923.5,0.22585,0.914,1,0.21681,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
64,20237.8,0.22516,0.91467,1,0.21576,0.0206445,0.0068815,0.0206445,0.0068815,0.0206445,0.0068815,0.0206445,0.0068815
65,20552.2,0.22315,0.91467,1,0.21517,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
66,20867.2,0.22296,0.91483,1,0.21449,0.0203475,0.0067825,0.0203475,0.0067825,0.0203475,0.0067825,0.0203475,0.0067825
67,21181.5,0.22349,0.91542,1,0.21372,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
68,21496.6,0.2229,0.91617,1,0.21271,0.0200505,0.0066835,0.0200505,0.0066835,0.0200505,0.0066835,0.0200505,0.0066835
69,21811.1,0.22127,0.91658,1,0.21148,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
70,22125.1,0.22096,0.91721,1,0.21076,0.0197535,0.0065845,0.0197535,0.0065845,0.0197535,0.0065845,0.0197535,0.0065845
71,22440.2,0.22125,0.91742,1,0.2099,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
72,22755.6,0.21958,0.91796,1,0.20916,0.0194565,0.0064855,0.0194565,0.0064855,0.0194565,0.0064855,0.0194565,0.0064855
73,23070.1,0.21952,0.91883,1,0.20761,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
