bin_index,lower,upper,count,avg_confidence,empirical_positive_rate,gap
0,0.0,0.1,61,0.012201,0.114754,0.102553
1,0.1,0.2,9,0.13772,0.555556,0.417836
2,0.2,0.3,9,0.242143,0.333333,0.09119
3,0.3,0.4,6,0.341232,0.166667,0.174565
4,0.4,0.5,3,0.447858,1.0,0.552142
5,0.5,0.6,3,0.526158,1.0,0.473842
6,0.6,0.7,5,0.659574,0.8,0.140426
7,0.7,0.8,6,0.745851,0.833333,0.087482
8,0.8,0.9,4,0.863242,1.0,0.136758
9,0.9,1.0,398,0.996115,0.967337,0.028778
