operating_point,before_threshold,after_threshold,before_specificity,after_specificity,before_precision,after_precision,before_ptr,after_ptr
recall_ge_99_5,0.01,0.16,0.47619,0.47619,0.904762,0.904762,0.916667,0.916667
recall_ge_99_0,0.04,0.24,0.595238,0.595238,0.924444,0.924444,0.892857,0.892857
recall_ge_98_0,0.12,0.33,0.654762,0.654762,0.93424,0.93424,0.875,0.875
