bin_index,lower,upper,count,avg_confidence,empirical_positive_rate,gap
0,0.0,0.1,29,0.036806,0.034483,0.002323
1,0.1,0.2,12,0.152265,0.333333,0.181069
2,0.2,0.3,16,0.230773,0.375,0.144227
3,0.3,0.4,8,0.343298,0.375,0.031702
4,0.4,0.5,11,0.449082,0.181818,0.267264
5,0.5,0.6,9,0.56207,0.555556,0.006514
6,0.6,0.7,8,0.646211,0.5,0.146211
7,0.7,0.8,14,0.75232,0.857143,0.104823
8,0.8,0.9,54,0.851421,0.888889,0.037468
9,0.9,1.0,343,0.982482,0.976676,0.005805
