epoch,checkpoint_file,checkpoint_path,checkpoint_exists,evaluated,temperature_T,tau_r995,tau_r990,spec_at_r995,spec_at_r990,prec_at_r990,ptr_at_r990
1,epoch_001.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate_hn\yolo11x_gate2_formal_hn02_200ep\weights\epoch_001.pt,1,1,2.90778,0.31,0.33,0.52381,0.547619,0.9163,0.900794
2,epoch_002.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate_hn\yolo11x_gate2_formal_hn02_200ep\weights\epoch_002.pt,1,1,3.091941,0.14,0.21,0.428571,0.511905,0.910284,0.906746
3,epoch_003.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate_hn\yolo11x_gate2_formal_hn02_200ep\weights\epoch_003.pt,1,1,2.894377,0.15,0.21,0.380952,0.416667,0.89485,0.924603
4,epoch_004.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate_hn\yolo11x_gate2_formal_hn02_200ep\weights\epoch_004.pt,1,1,2.481977,0.32,0.38,0.404762,0.464286,0.902597,0.916667
5,epoch_005.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate_hn\yolo11x_gate2_formal_hn02_200ep\weights\epoch_005.pt,1,1,2.081385,0.24,0.35,0.392857,0.5,0.908297,0.90873
6,epoch_006.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate_hn\yolo11x_gate2_formal_hn02_200ep\weights\epoch_006.pt,1,1,1.858442,0.29,0.38,0.428571,0.547619,0.9163,0.900794
7,epoch_007.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate_hn\yolo11x_gate2_formal_hn02_200ep\weights\epoch_007.pt,1,1,1.768685,0.2,0.25,0.440476,0.47619,0.904348,0.912698
8,epoch_008.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate_hn\yolo11x_gate2_formal_hn02_200ep\weights\epoch_008.pt,1,1,2.066905,0.21,0.24,0.47619,0.488095,0.906522,0.912698
9,epoch_009.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate_hn\yolo11x_gate2_formal_hn02_200ep\weights\epoch_009.pt,1,1,1.890618,0.17,0.25,0.285714,0.345238,0.883227,0.934524
10,epoch_010.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate_hn\yolo11x_gate2_formal_hn02_200ep\weights\epoch_010.pt,1,1,2.392615,0.2,0.23,0.166667,0.202381,0.86157,0.960317
11,epoch_011.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate_hn\yolo11x_gate2_formal_hn02_200ep\weights\epoch_011.pt,1,1,1.98822,0.1,0.19,0.25,0.369048,0.887234,0.93254
12,epoch_012.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate_hn\yolo11x_gate2_formal_hn02_200ep\weights\epoch_012.pt,1,1,1.587369,0.1,0.14,0.285714,0.392857,0.891026,0.928571
13,epoch_013.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate_hn\yolo11x_gate2_formal_hn02_200ep\weights\epoch_013.pt,1,1,2.036806,0.12,0.17,0.297619,0.345238,0.883227,0.934524
14,epoch_014.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate_hn\yolo11x_gate2_formal_hn02_200ep\weights\epoch_014.pt,1,1,2.057335,0.13,0.18,0.261905,0.297619,0.875789,0.94246
15,epoch_015.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate_hn\yolo11x_gate2_formal_hn02_200ep\weights\epoch_015.pt,1,1,2.49997,0.17,0.19,0.27381,0.285714,0.87395,0.944444
16,epoch_016.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate_hn\yolo11x_gate2_formal_hn02_200ep\weights\epoch_016.pt,1,1,1.910323,0.15,0.19,0.404762,0.464286,0.902386,0.914683
17,epoch_017.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate_hn\yolo11x_gate2_formal_hn02_200ep\weights\epoch_017.pt,1,1,1.496003,0.12,0.12,0.428571,0.428571,0.896996,0.924603
18,epoch_018.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate_hn\yolo11x_gate2_formal_hn02_200ep\weights\epoch_018.pt,1,1,1.842984,0.21,0.26,0.357143,0.428571,0.896552,0.920635
19,epoch_019.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate_hn\yolo11x_gate2_formal_hn02_200ep\weights\epoch_019.pt,1,1,1.870572,0.22,0.23,0.416667,0.428571,0.896552,0.920635
20,epoch_020.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate_hn\yolo11x_gate2_formal_hn02_200ep\weights\epoch_020.pt,1,1,2.300708,0.18,0.21,0.345238,0.416667,0.894624,0.922619
21,epoch_021.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate_hn\yolo11x_gate2_formal_hn02_200ep\weights\epoch_021.pt,1,1,1.935247,0.16,0.29,0.333333,0.47619,0.904348,0.912698
22,epoch_022.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate_hn\yolo11x_gate2_formal_hn02_200ep\weights\epoch_022.pt,1,1,2.049146,0.11,0.26,0.202381,0.464286,0.902386,0.914683
23,epoch_023.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate_hn\yolo11x_gate2_formal_hn02_200ep\weights\epoch_023.pt,1,1,2.251371,0.13,0.17,0.297619,0.357143,0.885106,0.93254
24,epoch_024.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate_hn\yolo11x_gate2_formal_hn02_200ep\weights\epoch_024.pt,1,1,1.896533,0.26,0.3,0.404762,0.464286,0.902386,0.914683
