variant,description,temperature,alpha,beta,gamma,auroc,average_precision,ece,brier_score,spec_at_r995,spec_at_r990,prec_at_r990,ptr_at_r990,threshold_at_r995,threshold_at_r990
P0,calibrated p_abnormal,2.47993453,1.0,1.0,0.5,0.955159,0.98997,0.020857,0.053123,0.52381,0.547619,0.916484,0.902778,0.22,0.24
P1,p_abnormal + uncertainty,2.47993453,1.0,1.0,0.5,0.852268,0.924717,0.408045,0.241216,0.52381,0.571429,0.920354,0.896825,0.34,0.36
P2,p_abnormal + trust,2.47993453,1.0,1.0,0.5,0.94708,0.983979,0.500357,0.337403,0.369048,0.547619,0.9163,0.900794,0.19,0.21
P3,p_abnormal + trust + uncertainty,2.47993453,1.0,1.0,0.5,0.918509,0.976679,0.491087,0.331442,0.452381,0.547619,0.9163,0.900794,0.21,0.24
P4,P3 + HN-aware normal bank,2.47993453,1.0,1.0,0.5,0.918367,0.976729,0.491269,0.331643,0.452381,0.547619,0.9163,0.900794,0.21,0.24
