threshold,tpr,recall,fpr,specificity,tp,fn,fp,tn
0.999996,0.426667,0.426667,0.008333,0.991667,256,344,1,119
0.999996,0.426667,0.426667,0.008333,0.991667,256,344,1,119
0.999996,0.428333,0.428333,0.008333,0.991667,257,343,1,119
0.999995,0.43,0.43,0.008333,0.991667,258,342,1,119
0.999995,0.433333,0.433333,0.008333,0.991667,260,340,1,119
0.999995,0.435,0.435,0.008333,0.991667,261,339,1,119
0.999995,0.435,0.435,0.008333,0.991667,261,339,1,119
0.999994,0.436667,0.436667,0.008333,0.991667,262,338,1,119
0.999994,0.44,0.44,0.008333,0.991667,264,336,1,119
0.999994,0.441667,0.441667,0.008333,0.991667,265,335,1,119
0.999994,0.443333,0.443333,0.008333,0.991667,266,334,1,119
0.999993,0.445,0.445,0.008333,0.991667,267,333,1,119
0.999993,0.446667,0.446667,0.008333,0.991667,268,332,1,119
0.999992,0.448333,0.448333,0.008333,0.991667,269,331,1,119
0.999992,0.45,0.45,0.008333,0.991667,270,330,1,119
0.999992,0.451667,0.451667,0.008333,0.991667,271,329,1,119
0.999992,0.453333,0.453333,0.008333,0.991667,272,328,1,119
0.999992,0.453333,0.453333,0.008333,0.991667,272,328,1,119
0.999991,0.455,0.455,0.008333,0.991667,273,327,1,119
0.999991,0.458333,0.458333,0.008333,0.991667,275,325,1,119
0.999991,0.46,0.46,0.008333,0.991667,276,324,1,119
0.99999,0.46,0.46,0.008333,0.991667,276,324,1,119
0.99999,0.461667,0.461667,0.008333,0.991667,277,323,1,119
0.99999,0.463333,0.463333,0.008333,0.991667,278,322,1,119
0.99999,0.465,0.465,0.008333,0.991667,279,321,1,119
0.99999,0.468333,0.468333,0.008333,0.991667,281,319,1,119
0.999989,0.47,0.47,0.008333,0.991667,282,318,1,119
0.999989,0.471667,0.471667,0.008333,0.991667,283,317,1,119
0.999988,0.471667,0.471667,0.016667,0.983333,283,317,2,118
0.999988,0.471667,0.471667,0.016667,0.983333,283,317,2,118
0.999988,0.473333,0.473333,0.016667,0.983333,284,316,2,118
0.999987,0.476667,0.476667,0.016667,0.983333,286,314,2,118
0.999987,0.478333,0.478333,0.016667,0.983333,287,313,2,118
0.999986,0.48,0.48,0.016667,0.983333,288,312,2,118
0.999986,0.48,0.48,0.016667,0.983333,288,312,2,118
0.999986,0.481667,0.481667,0.016667,0.983333,289,311,2,118
0.999985,0.483333,0.483333,0.016667,0.983333,290,310,2,118
0.999985,0.483333,0.483333,0.025,0.975,290,310,3,117
0.999985,0.486667,0.486667,0.025,0.975,292,308,3,117
0.999985,0.488333,0.488333,0.025,0.975,293,307,3,117
0.999984,0.488333,0.488333,0.025,0.975,293,307,3,117
0.999984,0.49,0.49,0.025,0.975,294,306,3,117
0.999984,0.493333,0.493333,0.025,0.975,296,304,3,117
0.999984,0.493333,0.493333,0.025,0.975,296,304,3,117
0.999984,0.496667,0.496667,0.025,0.975,298,302,3,117
