bin_index,lower,upper,count,avg_confidence,empirical_positive_rate,gap
0,0.0,0.1,80,0.016146,0.15,0.133854
1,0.1,0.2,8,0.15154,0.5,0.34846
2,0.2,0.3,3,0.232347,0.333333,0.100987
3,0.3,0.4,9,0.361631,0.0,0.361631
4,0.4,0.5,6,0.430196,0.833333,0.403137
5,0.5,0.6,4,0.583006,0.5,0.083006
6,0.6,0.7,6,0.661581,0.666667,0.005086
7,0.7,0.8,7,0.745413,0.428571,0.316841
8,0.8,0.9,12,0.848528,0.5,0.348528
9,0.9,1.0,585,0.995746,0.962393,0.033353
