actual_label,Deformation,DepositAttachment,JointAnomaly,Normal,Roots,WallDamage
Deformation,0.833333,0.025,0.033333,0.075,0.0,0.033333
DepositAttachment,0.083333,0.641667,0.108333,0.066667,0.033333,0.066667
JointAnomaly,0.025,0.066667,0.65,0.016667,0.075,0.166667
Normal,0.075,0.033333,0.05,0.708333,0.033333,0.1
Roots,0.0,0.033333,0.183333,0.0,0.708333,0.075
WallDamage,0.016667,0.158333,0.116667,0.041667,0.083333,0.583333
