relative_path,path,category,required,exists,size_bytes,sha256,modified_time
weights/epoch100.pt,D:\ssh\AI\runs\stage1_cls_sweep\full_yolo11l_cls_20260615-123305\weights\epoch100.pt,optional,False,True,77360519,9ce6fe10d5f22b6e01873d87a25b4bb2fdc5d756810b6ebcbcbda3c37d256917,2026-06-15T19:07:08
weights/epoch101.pt,D:\ssh\AI\runs\stage1_cls_sweep\full_yolo11l_cls_20260615-123305\weights\epoch101.pt,optional,False,True,77360583,dcac7d8ca7a193a74887ab567bef981f85295cad4b869547dd4f4e5a1f6560c1,2026-06-15T19:11:01
weights/epoch102.pt,D:\ssh\AI\runs\stage1_cls_sweep\full_yolo11l_cls_20260615-123305\weights\epoch102.pt,optional,False,True,77360711,b6e4dbc28af20efdaea3a01fadaf5a8336f6a84074ca0f7473d1684ee03e7605,2026-06-15T19:14:55
weights/epoch103.pt,D:\ssh\AI\runs\stage1_cls_sweep\full_yolo11l_cls_20260615-123305\weights\epoch103.pt,optional,False,True,77360839,cb0e4552e0241f881d60373133c230956d5bae0f387ed872d4b4e78320696f84,2026-06-15T19:18:48
weights/epoch104.pt,D:\ssh\AI\runs\stage1_cls_sweep\full_yolo11l_cls_20260615-123305\weights\epoch104.pt,optional,False,True,77360967,b8840adc94b8cd31a6cc666f63a767eecb38f0379d752070c4c182fcfeac1b6c,2026-06-15T19:22:42
weights/epoch105.pt,D:\ssh\AI\runs\stage1_cls_sweep\full_yolo11l_cls_20260615-123305\weights\epoch105.pt,optional,False,True,77361031,24db7c5b588e3db64285b15b94588db3fdbcf25777c1467d8db3cd94bcd9a528,2026-06-15T19:26:35
weights/epoch106.pt,D:\ssh\AI\runs\stage1_cls_sweep\full_yolo11l_cls_20260615-123305\weights\epoch106.pt,optional,False,True,77361159,cecba5cb04a3d088d5bb8061f06bd648618effc6bb1571ac50e3dde42210f2eb,2026-06-15T19:30:29
weights/epoch107.pt,D:\ssh\AI\runs\stage1_cls_sweep\full_yolo11l_cls_20260615-123305\weights\epoch107.pt,optional,False,True,77361287,4eebd4433a397a08f145f1a3559f42fee934a2d28541ec3879bbdf52e10b887d,2026-06-15T19:34:24
weights/epoch108.pt,D:\ssh\AI\runs\stage1_cls_sweep\full_yolo11l_cls_20260615-123305\weights\epoch108.pt,optional,False,True,77361415,d546304edd5e73d38f4c07f35aaeba0b258db1c053a20f1759e3376388d73726,2026-06-15T19:38:17
weights/epoch109.pt,D:\ssh\AI\runs\stage1_cls_sweep\full_yolo11l_cls_20260615-123305\weights\epoch109.pt,optional,False,True,77361479,779cdd1390682797e5ecc85a9451b0657ee83e858f383dc0b9b1419f840be994,2026-06-15T19:42:10
weights/epoch11.pt,D:\ssh\AI\runs\stage1_cls_sweep\full_yolo11l_cls_20260615-123305\weights\epoch11.pt,optional,False,True,77350535,7818460f6497e2c5391affdcf2a4e9204649d37064c81497fff6470fff2c5f45,2026-06-15T13:24:11
weights/epoch110.pt,D:\ssh\AI\runs\stage1_cls_sweep\full_yolo11l_cls_20260615-123305\weights\epoch110.pt,optional,False,True,77361607,f30dbc521a5bbd66a8787284a0e8e248cf52ba00a40c28a279c40d2e1aae7130,2026-06-15T19:46:04
weights/epoch111.pt,D:\ssh\AI\runs\stage1_cls_sweep\full_yolo11l_cls_20260615-123305\weights\epoch111.pt,optional,False,True,77361735,9e16383707d24f5a0f2af9261e3f172a6803338ecd52ba68b5b8290fac61a8bf,2026-06-15T19:49:58
weights/epoch112.pt,D:\ssh\AI\runs\stage1_cls_sweep\full_yolo11l_cls_20260615-123305\weights\epoch112.pt,optional,False,True,77361863,ae4034de8cc2776781fba8f7eda00fe3eee52beceb28398fea0c422de2c4fa2d,2026-06-15T19:53:51
weights/epoch113.pt,D:\ssh\AI\runs\stage1_cls_sweep\full_yolo11l_cls_20260615-123305\weights\epoch113.pt,optional,False,True,77361927,2d03bde0ee0e8c458d37d19ce196c6fa72cfdd89117457f58d7becc7c6dc7857,2026-06-15T19:57:45
weights/epoch114.pt,D:\ssh\AI\runs\stage1_cls_sweep\full_yolo11l_cls_20260615-123305\weights\epoch114.pt,optional,False,True,77362055,2ac263a1ea961b4d24877269641cdc2dce31a8daaa138a7df90af0a92a7688ee,2026-06-15T20:01:39
weights/epoch115.pt,D:\ssh\AI\runs\stage1_cls_sweep\full_yolo11l_cls_20260615-123305\weights\epoch115.pt,optional,False,True,77362183,d11b8d71493d6823624888d42797669af7a2062cc62d5ec5c836f3ed5ab6c71b,2026-06-15T20:05:33
weights/epoch116.pt,D:\ssh\AI\runs\stage1_cls_sweep\full_yolo11l_cls_20260615-123305\weights\epoch116.pt,optional,False,True,77362311,d64eb0cea61ffc0c4bf8e62cb8e17c4c039ae9c0f243a9a5a985692deb3169af,2026-06-15T20:09:27
weights/epoch117.pt,D:\ssh\AI\runs\stage1_cls_sweep\full_yolo11l_cls_20260615-123305\weights\epoch117.pt,optional,False,True,77362375,13b4a1b8035d121abd3e59e2b7b62c26733e920e162e58f540039b7ef597537c,2026-06-15T20:13:20
weights/epoch118.pt,D:\ssh\AI\runs\stage1_cls_sweep\full_yolo11l_cls_20260615-123305\weights\epoch118.pt,optional,False,True,77362503,c3e321544940b6dfc20ec47417c9df79e49f2e69cc248018e93da930ca0548d3,2026-06-15T20:17:13
weights/epoch119.pt,D:\ssh\AI\runs\stage1_cls_sweep\full_yolo11l_cls_20260615-123305\weights\epoch119.pt,optional,False,True,77362631,e2ae50af6cc05b367a3b2f99357721efd58a932ce208335519e4166d4556ca13,2026-06-15T20:21:08
weights/epoch12.pt,D:\ssh\AI\runs\stage1_cls_sweep\full_yolo11l_cls_20260615-123305\weights\epoch12.pt,optional,False,True,77350663,a9acd1befe9306db0ba9cd369b1fdb4fc28ba9abed1d77b39a52d7abbe57b9da,2026-06-15T13:28:11
weights/epoch120.pt,D:\ssh\AI\runs\stage1_cls_sweep\full_yolo11l_cls_20260615-123305\weights\epoch120.pt,optional,False,True,77362759,ced8f1e6bd37559620d136a188dd62c3691604e33fafb5121f5c4b545b8bb43f,2026-06-15T20:25:01
weights/epoch121.pt,D:\ssh\AI\runs\stage1_cls_sweep\full_yolo11l_cls_20260615-123305\weights\epoch121.pt,optional,False,True,77362823,efa5e2246d83b99f32b1aaf0e42ea91bc17cb5e4a036ccb93f1abcd4410d5b91,2026-06-15T20:28:54
weights/epoch122.pt,D:\ssh\AI\runs\stage1_cls_sweep\full_yolo11l_cls_20260615-123305\weights\epoch122.pt,optional,False,True,77362951,8d030b23869581605b9af59e8556187e6f944758bc0a6fa60e8ec0bc3dfc0d6d,2026-06-15T20:32:49
weights/epoch123.pt,D:\ssh\AI\runs\stage1_cls_sweep\full_yolo11l_cls_20260615-123305\weights\epoch123.pt,optional,False,True,77363079,5e779b5728d27824796b2c4a2302cc8a299da5e36e604e8cfdd85c055baf6d4b,2026-06-15T20:36:43
weights/epoch124.pt,D:\ssh\AI\runs\stage1_cls_sweep\full_yolo11l_cls_20260615-123305\weights\epoch124.pt,optional,False,True,77363207,f37af95663b29be9ed6b2ac6847f4a4e1e9307d0f63821323a31fc618a2838c5,2026-06-15T20:40:37
weights/epoch125.pt,D:\ssh\AI\runs\stage1_cls_sweep\full_yolo11l_cls_20260615-123305\weights\epoch125.pt,optional,False,True,77363271,b68275e140fd9518d5214629f2dd0931ca6ac2a43c68e97d2de244ac8cbac11f,2026-06-15T20:44:32
weights/epoch126.pt,D:\ssh\AI\runs\stage1_cls_sweep\full_yolo11l_cls_20260615-123305\weights\epoch126.pt,optional,False,True,77363399,9f0260416fa9a2fdcee86d9453253fc0171a4e259c86d102852c5f8db4ed81df,2026-06-15T20:48:26
weights/epoch127.pt,D:\ssh\AI\runs\stage1_cls_sweep\full_yolo11l_cls_20260615-123305\weights\epoch127.pt,optional,False,True,77363527,0b7e99456a657b112f6648277799e49dae6fb79ab307d0e3a4873e260b5affcd,2026-06-15T20:52:20
weights/epoch128.pt,D:\ssh\AI\runs\stage1_cls_sweep\full_yolo11l_cls_20260615-123305\weights\epoch128.pt,optional,False,True,77363655,02ac7ae00b62d302e0bea51274631a93b54602fecbc5736362005ecd9930ff9e,2026-06-15T20:56:13
weights/epoch129.pt,D:\ssh\AI\runs\stage1_cls_sweep\full_yolo11l_cls_20260615-123305\weights\epoch129.pt,optional,False,True,77363719,07ea0ae184caaa8217395a790be766238cb17deafaeb976499200a021fafef72,2026-06-15T21:00:07
weights/epoch13.pt,D:\ssh\AI\runs\stage1_cls_sweep\full_yolo11l_cls_20260615-123305\weights\epoch13.pt,optional,False,True,77350727,fb86772048676a492c1cbd38bfe4c5e322b3373c59b842d97505e6b9a8aed7a9,2026-06-15T13:32:08
weights/epoch130.pt,D:\ssh\AI\runs\stage1_cls_sweep\full_yolo11l_cls_20260615-123305\weights\epoch130.pt,optional,False,True,77363847,4703c1ec59981b1c7ddd7700330fbbb0723c67f9f2ad586ccc191aa9b51f60af,2026-06-15T21:04:02
weights/epoch131.pt,D:\ssh\AI\runs\stage1_cls_sweep\full_yolo11l_cls_20260615-123305\weights\epoch131.pt,optional,False,True,77363975,b907eb5e561bfc2025b1cd56cedd09bb3850ea9804312cbfb40fc4e46213d97a,2026-06-15T21:07:55
