bin_index,lower,upper,count,avg_confidence,empirical_positive_rate,gap
0,0.0,0.1,0,,,
1,0.1,0.2,33,0.178185,0.030303,0.147882
2,0.2,0.3,27,0.240351,0.185185,0.055166
3,0.3,0.4,399,0.383372,0.924812,0.54144
4,0.4,0.5,45,0.402932,1.0,0.597068
5,0.5,0.6,0,,,
6,0.6,0.7,0,,,
7,0.7,0.8,0,,,
8,0.8,0.9,0,,,
9,0.9,1.0,0,,,
