variant,variant_desc,threshold,tp,fn,fp,tn,recall,precision,specificity,fpr,fnr,npv,accuracy,f1,ptr,normal_filtered,normal_left,abnormal_kept,abnormal_missed
P0,calibrated p_abnormal,0.4,412,8,24,60,0.980952,0.944954,0.714286,0.285714,0.019048,0.882353,0.936508,0.962617,0.865079,60,24,412,8
P0,calibrated p_abnormal,0.41,411,9,23,61,0.978571,0.947005,0.72619,0.27381,0.021429,0.871429,0.936508,0.962529,0.861111,61,23,411,9
P0,calibrated p_abnormal,0.42,410,10,23,61,0.97619,0.946882,0.72619,0.27381,0.02381,0.859155,0.934524,0.961313,0.859127,61,23,410,10
P0,calibrated p_abnormal,0.43,408,12,22,62,0.971429,0.948837,0.738095,0.261905,0.028571,0.837838,0.93254,0.96,0.853175,62,22,408,12
P0,calibrated p_abnormal,0.44,406,14,21,63,0.966667,0.95082,0.75,0.25,0.033333,0.818182,0.930556,0.958678,0.847222,63,21,406,14
P0,calibrated p_abnormal,0.45,405,15,21,63,0.964286,0.950704,0.75,0.25,0.035714,0.807692,0.928571,0.957447,0.845238,63,21,405,15
P0,calibrated p_abnormal,0.46,405,15,21,63,0.964286,0.950704,0.75,0.25,0.035714,0.807692,0.928571,0.957447,0.845238,63,21,405,15
P0,calibrated p_abnormal,0.47,405,15,20,64,0.964286,0.952941,0.761905,0.238095,0.035714,0.810127,0.930556,0.95858,0.843254,64,20,405,15
P0,calibrated p_abnormal,0.48,405,15,20,64,0.964286,0.952941,0.761905,0.238095,0.035714,0.810127,0.930556,0.95858,0.843254,64,20,405,15
P0,calibrated p_abnormal,0.49,405,15,19,65,0.964286,0.955189,0.77381,0.22619,0.035714,0.8125,0.93254,0.959716,0.84127,65,19,405,15
P0,calibrated p_abnormal,0.5,404,16,18,66,0.961905,0.957346,0.785714,0.214286,0.038095,0.804878,0.93254,0.95962,0.837302,66,18,404,16
P0,calibrated p_abnormal,0.51,404,16,18,66,0.961905,0.957346,0.785714,0.214286,0.038095,0.804878,0.93254,0.95962,0.837302,66,18,404,16
P0,calibrated p_abnormal,0.52,404,16,17,67,0.961905,0.95962,0.797619,0.202381,0.038095,0.807229,0.934524,0.960761,0.835317,67,17,404,16
P0,calibrated p_abnormal,0.53,402,18,17,67,0.957143,0.959427,0.797619,0.202381,0.042857,0.788235,0.930556,0.958284,0.831349,67,17,402,18
P0,calibrated p_abnormal,0.54,401,19,16,68,0.954762,0.961631,0.809524,0.190476,0.045238,0.781609,0.930556,0.958184,0.827381,68,16,401,19
P0,calibrated p_abnormal,0.55,400,20,16,68,0.952381,0.961538,0.809524,0.190476,0.047619,0.772727,0.928571,0.956938,0.825397,68,16,400,20
P0,calibrated p_abnormal,0.56,399,21,16,68,0.95,0.961446,0.809524,0.190476,0.05,0.764045,0.926587,0.955689,0.823413,68,16,399,21
P0,calibrated p_abnormal,0.57,398,22,16,68,0.947619,0.961353,0.809524,0.190476,0.052381,0.755556,0.924603,0.954436,0.821429,68,16,398,22
P0,calibrated p_abnormal,0.58,398,22,15,69,0.947619,0.96368,0.821429,0.178571,0.052381,0.758242,0.926587,0.955582,0.819444,69,15,398,22
P0,calibrated p_abnormal,0.59,397,23,15,69,0.945238,0.963592,0.821429,0.178571,0.054762,0.75,0.924603,0.954327,0.81746,69,15,397,23
P0,calibrated p_abnormal,0.6,396,24,15,69,0.942857,0.963504,0.821429,0.178571,0.057143,0.741935,0.922619,0.953069,0.815476,69,15,396,24
P0,calibrated p_abnormal,0.61,395,25,15,69,0.940476,0.963415,0.821429,0.178571,0.059524,0.734043,0.920635,0.951807,0.813492,69,15,395,25
P0,calibrated p_abnormal,0.62,395,25,15,69,0.940476,0.963415,0.821429,0.178571,0.059524,0.734043,0.920635,0.951807,0.813492,69,15,395,25
P0,calibrated p_abnormal,0.63,392,28,15,69,0.933333,0.963145,0.821429,0.178571,0.066667,0.71134,0.914683,0.948005,0.80754,69,15,392,28
P0,calibrated p_abnormal,0.64,391,29,14,70,0.930952,0.965432,0.833333,0.166667,0.069048,0.707071,0.914683,0.947879,0.803571,70,14,391,29
P0,calibrated p_abnormal,0.65,389,31,14,70,0.92619,0.965261,0.833333,0.166667,0.07381,0.693069,0.910714,0.945322,0.799603,70,14,389,31
P0,calibrated p_abnormal,0.66,387,33,14,70,0.921429,0.965087,0.833333,0.166667,0.078571,0.679612,0.906746,0.942753,0.795635,70,14,387,33
P0,calibrated p_abnormal,0.67,383,37,14,70,0.911905,0.964736,0.833333,0.166667,0.088095,0.654206,0.89881,0.937576,0.787698,70,14,383,37
P0,calibrated p_abnormal,0.68,382,38,13,71,0.909524,0.967089,0.845238,0.154762,0.090476,0.651376,0.89881,0.937423,0.78373,71,13,382,38
