variant,description,temperature,alpha,beta,gamma,auroc,average_precision,ece,brier_score,spec_at_r995,spec_at_r990,prec_at_r990,ptr_at_r990,threshold_at_r995,threshold_at_r990
P0,calibrated p_abnormal,1.98526164,1.0,1.0,0.5,0.950893,0.988995,0.035266,0.05646,0.428571,0.535714,0.914286,0.902778,0.13,0.2
P1,p_abnormal + uncertainty,1.98526164,1.0,1.0,0.5,0.882554,0.944242,0.408438,0.238188,0.428571,0.547619,0.9163,0.900794,0.31,0.35
P2,p_abnormal + trust,1.98526164,1.0,1.0,0.5,0.943367,0.984496,0.50523,0.339878,0.440476,0.535714,0.914286,0.902778,0.19,0.2
P3,p_abnormal + trust + uncertainty,1.98526164,1.0,1.0,0.5,0.941355,0.98354,0.494836,0.327972,0.404762,0.511905,0.910284,0.906746,0.2,0.22
P4,P3 + HN-aware normal bank,1.98526164,1.0,1.0,0.5,0.941241,0.983581,0.495196,0.328368,0.404762,0.511905,0.910284,0.906746,0.2,0.22
